tBeforeMeasure,tAfterMeasure,tAfterAlgo,realValue_WU,OFFSET,relativeVal_WU,realValue_WU_AngleAdj,realValue,realValueFiltered,correctedValueFiltered,myAx,myAy,myAz,myGx,myGy,myGz,thetadeg,phideg,myTmp,timeNorm,realWeight
6149.0,6668.0,6669.0,-62787.0,-62763.0,-24.0,-24.0,-0.56145,0.0,0.0,0.02,0.02,0.99,44.87,-0.61,-1.55,-1.0,0.87,25.05,0.0,104
6827.0,7362.0,7363.0,-62777.0,-62763.0,-14.0,-14.0,-0.32752,-0.21981,0.0,0.01,0.0,1.0,44.96,-0.53,-1.76,-0.62,0.25,24.95,678.0,104
7520.0,8057.0,8057.0,-62760.0,-62763.0,3.0,3.0,0.07018,-0.26198,0.0,0.02,-0.0,1.0,44.96,-0.4,-1.51,-0.88,-0.04,25.09,1371.0,104
8215.0,8751.0,8752.0,-62758.0,-62763.0,5.0,5.0,0.11697,-0.13194,0.0,0.02,0.01,1.0,44.54,-0.53,-1.59,-1.06,0.42,25.0,2066.0,104
8909.0,9445.0,9446.0,-62802.0,-62763.0,-39.0,-39.0,-0.91236,-0.03449,0.0,0.02,0.0,1.0,44.82,-0.44,-1.42,-0.92,0.25,25.05,2760.0,104
9603.0,10140.0,10140.0,-62760.0,-62763.0,3.0,3.0,0.07018,-0.37818,0.0,0.02,0.01,1.0,44.81,-0.52,-1.66,-0.88,0.41,25.09,3454.0,104
10297.0,10834.0,10835.0,-62773.0,-62763.0,-10.0,-10.0,-0.23394,-0.20264,0.0,0.02,0.0,1.0,44.79,-0.47,-1.42,-0.94,0.25,25.09,4148.0,104
10992.0,11528.0,11529.0,-62787.0,-62763.0,-24.0,-24.0,-0.56145,-0.2149,0.0,0.02,0.0,1.01,44.75,-0.56,-1.73,-1.01,0.19,25.14,4843.0,104
11687.0,12223.0,12223.0,-62754.0,-62763.0,9.0,9.0,0.21055,-0.35057,0.0,0.01,0.01,1.0,45.02,-0.73,-1.72,-0.74,0.7,25.0,5538.0,104
12381.0,12917.0,12918.0,-62762.0,-62763.0,1.0,1.0,0.02339,-0.1309,0.0,0.02,-0.0,1.0,44.96,-0.4,-1.6,-0.95,-0.1,25.09,6232.0,104
13075.0,13611.0,13612.0,-62743.0,-62763.0,20.0,20.0,0.46788,-0.07049,0.0,0.01,0.0,1.0,44.74,-0.56,-1.32,-0.83,0.21,25.05,6926.0,104
13769.0,14306.0,14306.0,-62774.0,-62763.0,-11.0,-11.0,-0.25733,0.14028,0.0,0.01,0.0,1.0,44.95,-0.42,-1.73,-0.53,0.13,25.09,7620.0,104
14464.0,15000.0,15001.0,-62781.0,-62763.0,-18.0,-18.0,-0.42109,-0.01539,0.0,0.01,0.0,1.0,44.92,-0.56,-1.27,-0.6,0.21,25.05,8315.0,104
15158.0,15694.0,15695.0,-62780.0,-62763.0,-17.0,-17.0,-0.3977,-0.17422,0.0,0.01,0.0,1.0,44.85,-0.46,-1.7,-0.7,0.01,25.09,9009.0,104
15852.0,16388.0,16389.0,-62785.0,-62763.0,-22.0,-22.0,-0.51467,-0.26171,0.0,0.02,0.0,1.01,44.85,-0.73,-1.43,-1.18,0.15,25.09,9703.0,104
16547.0,17083.0,17083.0,-62764.0,-62763.0,-1.0,-1.0,-0.02339,-0.36074,0.0,0.02,-0.0,1.0,44.61,-0.39,-1.7,-0.91,-0.1,25.05,10398.0,104
17241.0,17777.0,17778.0,-62749.0,-62763.0,14.0,14.0,0.32752,-0.22867,0.0,0.02,-0.0,1.0,44.92,-0.55,-1.5,-0.88,-0.1,25.0,11092.0,104
17935.0,18471.0,18472.0,-62749.0,-62763.0,14.0,14.0,0.32752,-0.01092,0.0,0.02,0.0,1.0,45.08,-0.74,-1.83,-1.22,0.06,25.05,11786.0,104
18629.0,19166.0,19166.0,-62744.0,-62763.0,19.0,19.0,0.44448,0.12157,0.0,0.01,0.01,1.01,44.92,-0.71,-1.45,-0.75,0.65,25.14,12480.0,104
19324.0,19860.0,19861.0,-62754.0,-62763.0,9.0,9.0,0.21055,0.24799,0.0,0.01,-0.0,1.0,44.69,-0.55,-1.68,-0.77,-0.01,25.05,13175.0,104
20018.0,20554.0,20555.0,-62762.0,-62763.0,1.0,1.0,0.02339,0.23333,0.0,0.01,0.0,1.0,45.03,-0.27,-1.24,-0.71,0.11,25.09,13869.0,104
20712.0,21248.0,21249.0,-62784.0,-62763.0,-21.0,-21.0,-0.49127,0.15114,0.0,0.01,0.01,1.0,44.77,-0.51,-1.51,-0.77,0.59,25.05,14563.0,104
21407.0,21943.0,21943.0,-62783.0,-62763.0,-20.0,-20.0,-0.46788,-0.10036,0.0,0.01,0.01,1.0,44.84,-0.37,-1.53,-0.62,0.84,25.0,15258.0,104
22101.0,22637.0,22638.0,-62769.0,-62763.0,-6.0,-6.0,-0.14036,-0.24425,0.0,0.02,0.01,1.0,44.79,-0.65,-1.55,-1.0,0.47,25.09,15952.0,104
22795.0,23331.0,23332.0,-62772.0,-62763.0,-9.0,-9.0,-0.21055,-0.20358,0.0,0.01,0.01,1.0,44.6,-0.37,-1.69,-0.7,0.7,25.0,16646.0,104
23489.0,24025.0,24026.0,-62773.0,-62763.0,-10.0,-10.0,-0.23394,-0.2063,0.0,0.02,0.01,1.0,44.87,-0.32,-1.56,-0.97,0.52,25.09,17340.0,104
24184.0,24720.0,24720.0,-62796.0,-62763.0,-33.0,-33.0,-0.772,-0.21712,0.0,0.01,0.0,1.0,44.95,-0.57,-1.47,-0.59,0.17,25.05,18035.0,104
24878.0,25414.0,25415.0,-62779.0,-62763.0,-16.0,-16.0,-0.3743,-0.43436,0.0,0.01,0.0,1.0,44.83,-0.4,-1.6,-0.8,0.11,25.0,18729.0,104
25572.0,26108.0,26109.0,-62774.0,-62763.0,-11.0,-11.0,-0.25733,-0.41085,0.0,0.01,0.0,1.01,45.06,-0.73,-1.52,-0.74,0.17,25.05,19423.0,104
26267.0,26803.0,26804.0,-62795.0,-62763.0,-32.0,-32.0,-0.74861,-0.35075,0.0,0.02,0.0,1.0,45.05,-0.6,-1.43,-0.91,0.14,25.09,20118.0,104
26961.0,27497.0,27498.0,-62792.0,-62763.0,-29.0,-29.0,-0.67842,-0.50651,0.0,0.02,0.0,1.0,44.85,-0.54,-1.56,-0.89,0.06,25.09,20812.0,104
27655.0,28191.0,28192.0,-62792.0,-62763.0,-29.0,-29.01,-0.67842,-0.57381,0.0,0.02,-0.0,1.0,44.91,-0.46,-1.43,-1.19,-0.08,25.05,21506.0,104
28350.0,28886.0,28886.0,-62770.0,-62763.0,-7.0,-7.0,-0.16376,-0.61477,0.0,0.02,0.01,1.0,44.6,-0.76,-1.53,-0.87,0.5,25.05,22201.0,104
29044.0,29580.0,29581.0,-62791.0,-62763.0,-28.0,-28.0,-0.65503,-0.4382,0.0,0.01,0.01,1.0,44.89,-0.54,-1.69,-0.73,0.34,25.05,22895.0,104
29738.0,30274.0,30275.0,-62749.0,-62763.0,14.0,14.0,0.32752,-0.52309,0.0,0.02,0.0,1.0,44.82,-0.44,-1.46,-0.91,0.22,25.0,23589.0,104
30432.0,30968.0,30969.0,-62747.0,-62763.0,16.0,16.0,0.3743,-0.19008,0.0,0.02,0.01,1.0,44.97,-0.21,-1.48,-1.0,0.32,25.05,24283.0,104
31126.0,31663.0,31663.0,-62789.0,-62763.0,-26.0,-26.0,-0.60824,0.03088,0.0,0.01,0.01,1.0,44.61,-0.57,-1.69,-0.63,0.68,25.05,24977.0,104
31821.0,32357.0,32358.0,-62796.0,-62763.0,-33.0,-33.0,-0.772,-0.21934,0.0,0.01,0.0,1.0,44.73,-0.45,-1.48,-0.85,0.0,25.05,25672.0,104
32515.0,33051.0,33052.0,-62753.0,-62763.0,10.0,10.0,0.23394,-0.43571,0.0,0.02,0.0,1.0,44.79,-0.62,-1.82,-0.97,0.17,25.09,26366.0,104
33209.0,33745.0,33746.0,-62771.0,-62763.0,-8.0,-8.0,-0.18715,-0.17354,0.0,0.02,0.0,1.0,44.98,-0.42,-1.46,-0.95,0.24,25.0,27060.0,104
33904.0,34440.0,34440.0,-62784.0,-62763.0,-21.0,-21.0,-0.49127,-0.17887,0.0,0.02,-0.0,1.0,44.92,-0.68,-1.52,-0.91,-0.21,25.0,27755.0,104
34598.0,35134.0,35135.0,-62760.0,-62763.0,3.0,3.0,0.07018,-0.30117,0.0,0.01,0.0,1.0,44.79,-0.37,-1.26,-0.6,0.06,25.09,28449.0,104
35292.0,35828.0,35829.0,-62778.0,-62763.0,-15.0,-15.0,-0.35091,-0.15579,0.0,0.01,-0.0,1.01,45.05,-0.6,-1.52,-0.6,-0.15,25.09,29143.0,104
35987.0,36522.0,36523.0,-62768.0,-62763.0,-5.0,-5.0,-0.11697,-0.23218,0.0,0.01,0.0,1.0,44.75,-0.47,-1.34,-0.83,0.24,25.09,29838.0,104
36680.0,37217.0,37217.0,-62768.0,-62763.0,-5.0,-5.0,-0.11697,-0.18707,0.0,0.02,0.02,1.0,44.73,-0.38,-1.47,-0.91,0.89,25.05,30531.0,104
37375.0,37911.0,37912.0,-62791.0,-62763.0,-28.0,-28.0,-0.65503,-0.15963,0.0,0.01,0.0,1.0,44.68,-0.5,-1.6,-0.71,0.06,25.09,31226.0,104
38069.0,38605.0,38606.0,-62759.0,-62763.0,4.0,4.0,0.09358,-0.35358,0.0,0.01,0.0,1.0,44.8,-0.7,-1.38,-0.85,0.17,25.05,31920.0,104
38763.0,39299.0,39300.0,-62781.0,-62763.0,-18.0,-18.0,-0.42109,-0.17852,0.0,0.02,0.0,1.0,44.95,-0.75,-1.55,-0.87,0.11,25.09,32614.0,104
39458.0,39994.0,39994.0,-62775.0,-62763.0,-12.0,-12.0,-0.28073,-0.27348,0.0,0.01,0.0,1.0,44.76,-0.32,-1.64,-0.78,0.21,25.05,33309.0,104
40152.0,40688.0,40689.0,-62769.0,-62763.0,-6.0,-6.0,-0.14036,-0.27632,0.0,0.02,0.0,1.0,44.83,-0.76,-1.39,-1.0,0.01,25.05,34003.0,104
40846.0,41382.0,41383.0,-62766.0,-62763.0,-3.0,-3.0,-0.07018,-0.22309,0.0,0.02,-0.01,1.0,44.9,-0.52,-1.47,-0.98,-0.38,24.95,34697.0,104
41541.0,42077.0,42077.0,-62770.0,-62763.0,-7.0,-7.0,-0.16376,-0.16323,0.0,0.01,0.01,1.0,44.8,-0.53,-1.58,-0.85,0.38,24.95,35392.0,104
42235.0,42771.0,42772.0,-62789.0,-62763.0,-26.0,-26.0,-0.60824,-0.16344,0.0,0.01,0.01,1.01,44.97,-0.36,-1.63,-0.78,0.56,25.14,36086.0,104
42929.0,43465.0,43466.0,-62791.0,-62763.0,-28.0,-28.0,-0.65503,-0.33758,0.0,0.02,0.0,1.0,44.84,-0.64,-1.54,-1.02,0.03,25.05,36780.0,104
43624.0,44160.0,44160.0,-62770.0,-62763.0,-7.0,-7.0,-0.16376,-0.46186,0.0,0.01,-0.01,1.01,44.7,-0.31,-1.61,-0.85,-0.54,25.09,37475.0,104
44318.0,44854.0,44855.0,-62778.0,-62763.0,-15.0,-15.0,-0.35091,-0.34515,0.0,0.01,-0.01,1.0,44.89,-0.68,-1.59,-0.57,-0.34,25.0,38169.0,104
45013.0,45548.0,45549.0,-62775.0,-62763.0,-12.0,-12.0,-0.28073,-0.34741,0.0,0.02,0.01,1.0,44.81,-0.54,-1.57,-1.01,0.43,25.09,38864.0,104
45707.0,46243.0,46243.0,-62757.0,-62763.0,6.0,6.0,0.14036,-0.3213,0.0,0.01,-0.0,1.0,44.73,-0.52,-1.6,-0.62,-0.18,25.0,39558.0,104
46401.0,46937.0,46938.0,-62770.0,-62763.0,-7.0,-7.0,-0.16376,-0.14056,0.0,0.02,-0.0,1.0,45.01,-0.31,-1.57,-0.98,-0.01,25.09,40252.0,104
47095.0,47631.0,47632.0,-62802.0,-62763.0,-39.0,-39.0,-0.91236,-0.14964,0.0,0.01,0.0,1.0,44.6,-0.44,-1.54,-0.56,0.0,25.09,40946.0,104
47790.0,48326.0,48327.0,-62766.0,-62763.0,-3.0,-3.0,-0.07018,-0.44825,0.0,0.02,-0.01,1.0,44.8,-0.43,-1.6,-1.0,-0.29,25.09,41641.0,104
48484.0,49020.0,49021.0,-62787.0,-62763.0,-24.0,-24.0,-0.56145,-0.30023,0.0,0.01,0.0,1.0,44.88,-0.18,-1.58,-0.84,0.18,25.0,42335.0,104
49179.0,49715.0,49715.0,-62776.0,-62763.0,-13.0,-13.0,-0.30412,-0.4025,0.0,0.01,0.0,1.0,44.92,-0.54,-1.4,-0.78,0.27,25.0,43030.0,104
49873.0,50409.0,50410.0,-62774.0,-62763.0,-11.0,-11.0,-0.25733,-0.36399,0.0,0.01,-0.0,1.0,45.08,-0.6,-1.76,-0.75,-0.04,25.0,43724.0,104
50568.0,51103.0,51104.0,-62760.0,-62763.0,3.0,3.0,0.07018,-0.32223,0.0,0.02,0.0,1.0,44.79,-0.47,-1.34,-0.92,0.03,25.0,44419.0,104
51261.0,51798.0,51799.0,-62771.0,-62763.0,-8.0,-8.0,-0.18715,-0.1686,0.0,0.01,0.01,1.0,44.72,-0.52,-1.63,-0.67,0.56,25.09,45112.0,104
51956.0,52492.0,52493.0,-62782.0,-62763.0,-19.0,-19.0,-0.44448,-0.17586,0.0,0.02,0.01,1.0,44.53,-0.56,-1.37,-0.89,0.41,25.09,45807.0,104
52650.0,53187.0,53187.0,-62791.0,-62763.0,-28.0,-28.0,-0.65503,-0.28103,0.0,0.01,0.0,1.0,44.82,-0.4,-1.74,-0.63,0.18,25.0,46501.0,104
53345.0,53881.0,53882.0,-62817.0,-62763.0,-54.0,-54.01,-1.26327,-0.42745,0.0,0.02,0.0,1.0,44.73,-0.39,-1.47,-1.01,0.2,25.05,47196.0,104
54039.0,54575.0,54576.0,-62814.0,-62763.0,-51.0,-51.0,-1.19309,-0.75468,0.0,0.01,0.0,1.0,45.09,-0.67,-1.55,-0.64,0.21,25.0,47890.0,104
54734.0,55270.0,55271.0,-62790.0,-62763.0,-27.0,-27.0,-0.63164,-0.92632,0.0,0.02,0.0,1.0,44.89,-0.32,-1.47,-0.91,0.11,25.14,48585.0,104
55428.0,55964.0,55965.0,-62773.0,-62763.0,-10.0,-10.0,-0.23394,-0.81095,0.0,0.01,0.0,1.01,44.97,-0.55,-1.59,-0.82,0.14,25.09,49279.0,104
56122.0,56659.0,56659.0,-62748.0,-62763.0,15.0,15.0,0.35091,-0.58505,0.0,0.01,0.0,1.0,44.79,-0.54,-1.56,-0.63,0.28,25.05,49973.0,104
56817.0,57353.0,57354.0,-62764.0,-62763.0,-1.0,-1.0,-0.02339,-0.21862,0.0,0.02,-0.01,1.0,44.75,-0.68,-1.5,-1.07,-0.43,25.05,50668.0,104
57511.0,58047.0,58048.0,-62772.0,-62763.0,-9.0,-9.0,-0.21055,-0.14219,0.0,0.01,0.0,1.0,44.86,-0.56,-1.67,-0.86,0.24,25.05,51362.0,104
58205.0,58742.0,58742.0,-62768.0,-62763.0,-5.0,-5.0,-0.11697,-0.16895,0.0,0.02,0.01,1.0,44.95,-0.53,-1.53,-0.95,0.41,25.09,52056.0,104
58900.0,59436.0,59437.0,-62785.0,-62763.0,-22.0,-22.0,-0.51467,-0.1486,0.0,0.01,0.0,1.0,44.9,-0.36,-1.59,-0.6,0.07,25.09,52751.0,104
59594.0,60130.0,60131.0,-62777.0,-62763.0,-14.0,-14.0,-0.32752,-0.29192,0.0,0.01,0.01,1.0,44.86,-0.7,-1.73,-0.7,0.45,25.05,53445.0,104
60289.0,60825.0,60826.0,-62772.0,-62763.0,-9.0,-9.0,-0.21055,-0.30585,0.0,0.02,-0.01,1.01,44.81,-0.69,-1.58,-0.88,-0.57,25.0,54140.0,104
60983.0,61519.0,61520.0,-62790.0,-62763.0,-27.0,-27.0,-0.63164,-0.26854,0.0,0.01,0.01,1.0,44.73,-0.58,-1.62,-0.82,0.42,25.05,54834.0,104
61677.0,62213.0,62214.0,-62789.0,-62763.0,-26.0,-26.0,-0.60824,-0.41069,0.0,0.01,0.01,1.0,44.69,-0.56,-1.53,-0.7,0.38,25.09,55528.0,104
62372.0,62908.0,62908.0,-62789.0,-62763.0,-26.0,-26.0,-0.60824,-0.48803,0.0,0.02,-0.0,1.0,44.85,-0.37,-1.57,-0.93,-0.13,25.09,56223.0,104
63066.0,63602.0,63603.0,-62771.0,-62763.0,-8.0,-8.0,-0.18715,-0.5351,0.0,0.01,0.01,0.99,44.79,-0.56,-1.58,-0.66,0.37,25.14,56917.0,104
63760.0,64296.0,64297.0,-62801.0,-62763.0,-38.0,-38.01,-0.88897,-0.39888,0.0,0.02,0.01,1.0,44.74,-0.52,-1.39,-1.15,0.56,25.14,57611.0,104
64454.0,64990.0,64991.0,-62786.0,-62763.0,-23.0,-23.0,-0.53806,-0.59075,0.0,0.01,-0.0,1.0,44.78,-0.48,-1.52,-0.72,-0.17,25.09,58305.0,104
65149.0,65685.0,65685.0,-62775.0,-62763.0,-12.0,-12.0,-0.28073,-0.57012,0.0,0.01,0.0,1.0,44.88,-0.46,-1.44,-0.67,0.18,25.09,59000.0,104
65843.0,66379.0,66380.0,-62799.0,-62763.0,-36.0,-36.0,-0.84218,-0.45682,0.0,0.02,0.0,1.0,44.92,-0.47,-1.59,-0.94,0.1,24.95,59694.0,104
66537.0,67073.0,67074.0,-62771.0,-62763.0,-8.0,-8.0,-0.18715,-0.60769,0.0,0.01,-0.01,1.0,44.71,-0.41,-1.62,-0.83,-0.55,25.09,60388.0,104
67231.0,67767.0,67768.0,-62771.0,-62763.0,-8.0,-8.0,-0.18715,-0.44305,0.0,0.01,0.0,1.02,44.54,-0.5,-1.95,-0.67,0.1,25.05,61082.0,104
67925.0,68461.0,68462.0,-62740.0,-62763.0,23.0,23.0,0.53806,-0.34287,0.0,0.01,0.0,1.01,44.78,-0.72,-1.56,-0.72,0.17,25.09,61776.0,104
68619.0,69156.0,69156.0,-62791.0,-62763.0,-28.0,-28.0,-0.65503,0.00202,0.0,0.02,0.0,1.0,44.56,-0.71,-1.5,-0.88,0.1,25.05,62470.0,104
69314.0,69850.0,69851.0,-62765.0,-62763.0,-2.0,-2.0,-0.04679,-0.25522,0.0,0.01,0.0,1.0,44.72,-0.62,-1.56,-0.77,0.24,25.05,63165.0,104
70008.0,70544.0,70545.0,-62806.0,-62763.0,-43.0,-43.0,-1.00594,-0.17362,0.0,0.01,0.0,1.0,44.89,-0.26,-1.76,-0.84,0.15,25.05,63859.0,104
70702.0,71238.0,71239.0,-62780.0,-62763.0,-17.0,-17.0,-0.3977,-0.49947,0.0,0.01,0.0,1.0,44.79,-0.63,-1.46,-0.78,0.2,25.05,64553.0,104
71396.0,71932.0,71933.0,-62783.0,-62763.0,-20.0,-20.0,-0.46788,-0.45963,0.0,0.01,0.0,1.0,44.91,-0.56,-1.77,-0.71,0.07,25.05,65247.0,104
72091.0,72627.0,72627.0,-62776.0,-62763.0,-13.0,-13.0,-0.30412,-0.46286,0.0,0.01,0.0,1.0,44.77,-0.47,-1.5,-0.64,0.2,25.05,65942.0,104
72785.0,73321.0,73322.0,-62769.0,-62763.0,-6.0,-6.0,-0.14036,-0.40071,0.0,0.01,0.01,1.0,44.77,-0.46,-1.62,-0.64,0.42,25.09,66636.0,104
73479.0,74015.0,74016.0,-62783.0,-62763.0,-20.0,-20.0,-0.46788,-0.29879,0.0,0.01,0.0,1.0,44.85,-0.41,-1.52,-0.77,0.04,25.0,67330.0,104
74174.0,74710.0,74710.0,-62770.0,-62763.0,-7.0,-7.0,-0.16376,-0.36499,0.0,0.02,0.0,1.0,44.55,-0.64,-1.57,-0.91,0.21,25.09,68025.0,104
74868.0,75404.0,75405.0,-62758.0,-62763.0,5.0,5.0,0.11697,-0.2862,0.0,0.01,0.01,1.0,44.9,-0.59,-1.44,-0.83,0.6,25.0,68719.0,104
