tBeforeMeasure,tAfterMeasure,tAfterAlgo,realValue_WU,OFFSET,relativeVal_WU,realValue_WU_AngleAdj,realValue,realValueFiltered,correctedValueFiltered,myAx,myAy,myAz,myGx,myGy,myGz,thetadeg,phideg,myTmp,timeNorm,realWeight
1371276.0,1371812.0,1371813.0,-62701.0,-62758.0,57.0,57.05,1.33345,2.30218,0.0,0.04,-0.01,1.0,47.1,0.95,7.21,-2.41,-0.4,25.28,0.0,104
1371971.0,1372506.0,1372507.0,-62772.0,-62758.0,-14.0,-14.01,-0.32752,1.92292,0.0,0.04,0.01,1.0,45.53,-0.02,1.95,-2.48,0.39,25.19,695.0,104
1372665.0,1373201.0,1373202.0,-62679.0,-62758.0,79.0,79.12,1.84812,1.04188,0.0,0.06,0.01,1.0,47.08,0.09,0.52,-3.33,0.39,25.28,1389.0,104
1373359.0,1373895.0,1373896.0,-62740.0,-62758.0,18.0,18.02,0.42109,1.35752,0.0,0.04,0.01,1.01,45.25,-1.62,-9.7,-2.55,0.43,25.19,2083.0,104
1374054.0,1374590.0,1374591.0,-62673.0,-62758.0,85.0,85.06,1.98849,0.99091,0.0,0.04,0.01,0.99,45.73,-0.89,-3.63,-2.26,0.69,25.19,2778.0,104
1374748.0,1375284.0,1375285.0,-62758.0,-62758.0,0.0,0.0,0.0,1.38146,0.0,0.03,0.0,1.0,44.23,-1.12,-4.89,-1.79,0.06,25.09,3472.0,104
1375443.0,1375979.0,1375979.0,-62641.0,-62758.0,117.0,117.07,2.73709,0.84062,0.0,0.04,0.01,1.0,44.48,0.24,5.27,-2.12,0.45,25.19,4167.0,104
1376137.0,1376673.0,1376674.0,-62759.0,-62758.0,-1.0,-1.0,-0.02339,1.58309,0.0,0.04,0.0,1.0,43.34,-0.21,0.51,-2.23,0.06,25.19,4861.0,104
1376832.0,1377368.0,1377368.0,-62672.0,-62758.0,86.0,86.1,2.01188,0.95415,0.0,0.05,0.01,1.0,44.58,0.07,3.26,-2.9,0.49,25.24,5556.0,104
1377526.0,1378062.0,1378063.0,-62764.0,-62758.0,-6.0,-6.01,-0.14036,1.36825,0.0,0.05,-0.01,1.0,43.7,-1.33,-6.88,-2.7,-0.49,25.19,6250.0,104
1378221.0,1378756.0,1378757.0,-62671.0,-62758.0,87.0,87.07,2.03527,0.77763,0.0,0.04,0.01,1.0,44.95,-0.83,-3.25,-2.31,0.45,25.24,6945.0,104
1378915.0,1379451.0,1379452.0,-62741.0,-62758.0,17.0,17.01,0.3977,1.27,0.0,0.04,-0.01,1.0,44.45,-1.21,-7.3,-2.16,-0.36,25.19,7639.0,104
1379610.0,1380145.0,1380146.0,-62631.0,-62758.0,127.0,127.07,2.97103,0.92849,0.0,0.03,-0.01,1.0,45.3,-0.24,2.16,-1.96,-0.29,25.19,8334.0,104
