tBeforeMeasure,tAfterMeasure,tAfterAlgo,realValue_WU,OFFSET,calibrationFactor,relativeVal_WU,realValue_WU_AngleAdj,realValue,realValueFiltered,correctedValueFiltered,myAx,myAy,myAz,myGx,myGy,myGz,thetadeg,phideg,myTmp,realWeight,timeNorm
24156.0,24689.0,24690.0,-66849.0,-66871.0,42.746101,22.0,22.0,0.51467,0.64888,0.0,-0.0,-0.06,1.0,46.05,-0.18,-1.58,0.15,-3.67,24.11,104,0.0
24850.0,25383.0,25384.0,-66849.0,-66871.0,42.746101,22.0,22.0,0.51467,0.59634,0.0,-0.0,-0.06,1.0,45.76,-0.48,-1.4,0.01,-3.33,24.2,104,694.0
25544.0,26077.0,26078.0,-66833.0,-66871.0,42.746101,38.0,38.0,0.88898,0.56436,0.0,0.0,-0.06,1.0,45.99,-0.53,-1.43,-0.21,-3.61,24.06,104,1388.0
26238.0,26771.0,26772.0,-66841.0,-66871.0,42.746101,30.0,30.0,0.70182,0.69145,0.0,-0.0,-0.07,1.0,45.88,-0.57,-1.48,0.1,-4.05,24.29,104,2082.0
26932.0,27465.0,27466.0,-66842.0,-66871.0,42.746101,29.0,29.0,0.67843,0.69551,0.0,0.0,-0.05,1.0,45.88,-0.54,-1.37,-0.1,-2.87,24.2,104,2776.0
27626.0,28159.0,28160.0,-66836.0,-66871.0,42.746101,35.0,35.0,0.81879,0.68882,0.0,-0.0,-0.06,1.0,45.95,-0.36,-1.64,0.14,-3.19,24.2,104,3470.0
28320.0,28853.0,28854.0,-66854.0,-66871.0,42.746101,17.0,17.0,0.3977,0.7397,0.0,0.0,-0.07,0.99,45.85,-0.11,-1.5,-0.01,-4.27,24.15,104,4164.0
29014.0,29547.0,29548.0,-66838.0,-66871.0,42.746101,33.0,33.0,0.772,0.60581,0.0,-0.0,-0.06,0.99,45.99,-0.42,-1.53,0.06,-3.66,24.2,104,4858.0
29708.0,30241.0,30242.0,-66866.0,-66871.0,42.746101,5.0,5.0,0.11697,0.67087,0.0,-0.0,-0.07,1.0,46.04,-0.37,-1.63,0.03,-3.83,24.25,104,5552.0
30402.0,30935.0,30936.0,-66832.0,-66871.0,42.746101,39.0,39.0,0.91236,0.45402,0.0,0.0,-0.07,1.0,45.94,-0.53,-1.56,-0.06,-4.21,24.15,104,6246.0
