tBeforeMeasure,tAfterMeasure,tAfterAlgo,realValue_WU,OFFSET,calibrationFactor,relativeVal_WU,realValue_WU_AngleAdj,realValue,realValueFiltered,correctedValueFiltered,myAx,myAy,myAz,myGx,myGy,myGz,thetadeg,phideg,myTmp,realWeight,timeNorm
1312490.0,1313023.0,1313024.0,698.0,754.0,42.746101,-56.0,-56.0,-1.31006,-1.85873,0.0,-0.0,-0.07,1.0,45.27,-0.34,-1.59,0.06,-3.75,24.77,104,0.0
1313184.0,1313717.0,1313718.0,694.0,754.0,42.746101,-60.0,-60.0,-1.40364,-1.64393,0.0,-0.0,-0.06,1.0,45.37,-0.29,-1.56,0.14,-3.56,24.67,104,694.0
1313878.0,1314411.0,1314412.0,689.0,754.0,42.746101,-65.0,-65.0,-1.52061,-1.54985,0.0,0.0,-0.06,1.0,45.53,-0.41,-1.56,-0.1,-3.69,24.62,104,1388.0
1314573.0,1315106.0,1315106.0,695.0,754.0,42.746101,-59.0,-59.0,-1.38025,-1.5384,0.0,0.0,-0.07,1.0,45.34,-0.47,-1.39,-0.21,-3.8,24.72,104,2083.0
1315267.0,1315800.0,1315801.0,678.0,754.0,42.746101,-76.0,-76.0,-1.77796,-1.47649,0.0,-0.0,-0.07,0.99,45.34,-0.27,-1.5,0.27,-4.06,24.67,104,2777.0
1315961.0,1316494.0,1316495.0,697.0,754.0,42.746101,-57.0,-57.0,-1.33345,-1.59451,0.0,0.0,-0.06,1.0,45.63,-0.46,-1.24,-0.01,-3.65,24.72,104,3471.0
1316655.0,1317188.0,1317189.0,689.0,754.0,42.746101,-65.0,-65.0,-1.52063,-1.49231,0.0,0.01,-0.06,1.0,45.5,-0.16,-1.71,-0.34,-3.48,24.67,104,4165.0
1317349.0,1317883.0,1317883.0,683.0,754.0,42.746101,-71.0,-71.0,-1.66098,-1.5034,0.0,-0.0,-0.06,1.0,45.35,-0.66,-1.39,0.24,-3.56,24.77,104,4859.0
1318044.0,1318577.0,1318577.0,685.0,754.0,42.746101,-69.0,-69.0,-1.61419,-1.56509,0.0,-0.0,-0.07,1.0,45.53,-0.39,-1.52,0.24,-3.81,24.72,104,5554.0
1318738.0,1319271.0,1319272.0,555.0,754.0,42.746101,-199.0,-199.0,-4.6554,-1.58432,0.0,0.0,-0.07,1.0,45.44,-0.02,-1.66,-0.08,-3.82,24.77,104,6248.0
1319432.0,1319965.0,1319966.0,-1155.0,754.0,42.746101,-1909.0,-1909.0,-44.65908,-44.65908,-44.0,-0.0,-0.06,1.0,45.37,-0.4,-1.53,0.07,-3.49,24.77,104,6942.0
1320127.0,1320659.0,1320660.0,678.0,754.0,42.746101,-76.0,-76.0,-1.77794,-1.77794,0.0,-0.0,-0.06,1.0,45.36,-0.47,-1.56,0.03,-3.66,24.67,104,7637.0
1320821.0,1321354.0,1321354.0,689.0,754.0,42.746101,-65.0,-65.0,-1.52061,-1.77794,0.0,0.0,-0.07,1.0,45.52,-0.21,-1.53,-0.1,-3.81,24.81,104,8331.0
1321515.0,1322048.0,1322049.0,-918.0,754.0,42.746101,-1672.0,-1672.02,-39.1151,-39.1151,-39.0,-0.0,-0.07,1.0,45.4,-0.33,-1.65,0.28,-4.09,24.77,104,9025.0
1322210.0,1322742.0,1322743.0,490.0,754.0,42.746101,-264.0,-264.0,-6.17603,-6.17603,-6.0,0.0,-0.06,1.0,45.66,-0.39,-1.53,-0.2,-3.58,24.67,104,9720.0
1322904.0,1323436.0,1323437.0,697.0,754.0,42.746101,-57.0,-57.0,-1.33346,-6.17603,-6.0,-0.0,-0.07,1.0,45.21,-0.46,-1.42,0.18,-3.74,24.77,104,10414.0
1323598.0,1324131.0,1324131.0,123.0,754.0,42.746101,-631.0,-631.0,-14.76165,-14.76165,-14.0,-0.0,-0.06,1.0,45.53,-0.46,-1.54,0.18,-3.33,24.72,104,11108.0
1324292.0,1324825.0,1324826.0,-377.0,754.0,42.746101,-1131.0,-1131.0,-26.45864,-26.45864,-26.0,-0.0,-0.07,1.0,45.55,-0.66,-1.46,0.15,-3.88,24.72,104,11802.0
1324987.0,1325519.0,1325520.0,703.0,754.0,42.746101,-51.0,-51.0,-1.19309,-1.19309,0.0,-0.0,-0.07,1.0,45.4,-0.47,-1.44,0.03,-4.08,24.81,104,12497.0
1325680.0,1326213.0,1326214.0,668.0,754.0,42.746101,-86.0,-86.0,-2.01188,-1.19309,0.0,0.0,-0.06,1.0,45.47,-0.53,-1.61,-0.03,-3.28,24.81,104,13190.0
1326374.0,1326908.0,1326908.0,1585.0,754.0,42.746101,831.0,831.0,19.44043,19.44043,19.5,0.0,-0.06,1.0,45.25,-0.4,-1.27,-0.15,-3.54,24.77,104,13884.0
1327069.0,1327602.0,1327602.0,666.0,754.0,42.746101,-88.0,-88.0,-2.05867,-2.05867,0.0,-0.0,-0.06,1.0,45.56,-0.4,-1.48,0.07,-3.48,24.72,104,14579.0
1327763.0,1328296.0,1328297.0,697.0,754.0,42.746101,-57.0,-57.0,-1.3335,-2.05867,0.0,-0.01,-0.05,1.0,45.62,-0.35,-1.5,0.52,-3.05,24.72,104,15273.0
1328457.0,1328990.0,1328991.0,676.0,754.0,42.746101,-78.0,-78.0,-1.82474,-1.77477,0.0,-0.0,-0.05,1.0,45.55,-0.37,-1.56,0.2,-3.09,24.62,104,15967.0
1329151.0,1329684.0,1329685.0,1496.0,754.0,42.746101,742.0,742.02,17.35879,17.35879,17.0,-0.01,-0.06,1.0,45.4,-0.44,-1.22,0.45,-3.66,24.67,104,16661.0
1329846.0,1330378.0,1330379.0,636.0,754.0,42.746101,-118.0,-118.0,-2.7605,-2.7605,0.0,0.0,-0.06,1.0,45.48,-0.4,-1.64,-0.17,-3.33,24.77,104,17356.0
1330540.0,1331073.0,1331073.0,641.0,754.0,42.746101,-113.0,-113.0,-2.64352,-2.7605,0.0,0.0,-0.06,1.0,45.44,-0.34,-1.53,0.0,-3.36,24.77,104,18050.0
1331234.0,1331767.0,1331767.0,690.0,754.0,42.746101,-64.0,-64.0,-1.49723,-2.7147,0.0,-0.01,-0.06,0.99,45.44,-0.33,-1.54,0.29,-3.47,24.62,104,18744.0
1331928.0,1332461.0,1332462.0,696.0,754.0,42.746101,-58.0,-58.0,-1.35687,-2.23806,0.0,0.01,-0.06,1.0,45.32,-0.21,-1.51,-0.31,-3.36,24.77,104,19438.0
1332622.0,1333155.0,1333156.0,686.0,754.0,42.746101,-68.0,-68.0,-1.59079,-1.89307,0.0,-0.0,-0.06,1.0,45.43,-0.55,-1.45,0.08,-3.56,24.67,104,20132.0
1333316.0,1333849.0,1333850.0,684.0,754.0,42.746101,-70.0,-70.0,-1.63762,-1.77473,0.0,-0.01,-0.06,1.0,45.32,-0.47,-1.55,0.42,-3.44,24.77,104,20826.0
1334010.0,1334543.0,1334544.0,664.0,754.0,42.746101,-90.0,-90.0,-2.10546,-1.72105,0.0,-0.0,-0.06,1.0,45.44,-0.29,-1.44,0.03,-3.33,24.77,104,21520.0
1334705.0,1335238.0,1335238.0,666.0,754.0,42.746101,-88.0,-88.0,-2.05867,-1.87154,0.0,-0.0,-0.06,0.99,45.53,-0.39,-1.6,0.06,-3.57,24.77,104,22215.0
1335399.0,1335932.0,1335932.0,659.0,754.0,42.746101,-95.0,-95.0,-2.22247,-1.9448,0.0,-0.01,-0.06,1.0,45.39,-0.4,-1.56,0.36,-3.69,24.67,104,22909.0
