tBeforeMeasure,tAfterMeasure,tAfterAlgo,realValue_WU,OFFSET,calibrationFactor,relativeVal_WU,realValue_WU_AngleAdj,realValue_WU_MovAvg,realValue,realValueFiltered,correctedValueFiltered,myAx,myAy,myAz,myGx,myGy,myGz,thetadeg,phideg,myTmp,vccReadBits,vccReadVolts,vccGPIO,vccVolts,ratioVCCMAX,B_GOOGLE_HTTPREQ,B_SERIALPORT,B_SERIALTELNET,B_ANGLE_ADJUSTMENT,B_DEBUG_MODE,BF_GOOGLE_HTTPREQ,BF_SERIALPORT,BF_SERIALTELNET,BF_MPU,BF_WIFI,realWeight,timeNorm,timeMeasure,timeAlgo,timeSim
938314,938869,938870,-67878,-67795,42.7461,-83,-84.52465,-89.54612,-1.977365,-2.133606,0,0.205078,0.103271,1.016357,-11.45802,6.244275,-1.427481,-11.35089,5.801865,29.00059,2676.4,2.156806,2.358068,7.27947,0.997188,False,True,True,True,True,False,False,False,False,False,104,0,555,1,0.0
940540,941051,941052,-67902,-67795,42.7461,-107,-109.0738,-93.04752,-2.551668,-2.072438,0,0.209473,0.094482,1.01123,-11.42748,6.137404,-1.419847,-11.6537,5.337815,29.00059,2673.4,2.154388,2.355424,7.27131,0.99607,False,True,True,True,True,False,False,False,False,False,104,2226,511,1,2085.0852130325816
942694,943232,943232,-67897,-67795,42.7461,-102,-103.9749,-97.40501,-2.432383,-2.260056,0,0.208008,0.096924,1.004395,-11.50382,6.267176,-1.465649,-11.64778,5.511949,29.09471,2674.0,2.154872,2.355953,7.272942,0.996293,False,True,True,True,True,False,False,False,False,False,104,4380,538,0,4170.170426065163
944889,945413,945414,-67874,-67795,42.7461,-79,-80.56528,-93.77771,-1.88474,-2.327522,0,0.212646,0.098145,1.014893,-11.41221,6.335878,-1.549618,-11.78033,5.523563,29.00059,2673.8,2.154711,2.355777,7.272398,0.996219,False,True,True,True,True,False,False,False,False,False,104,6575,524,1,6255.255639097744
947003,947499,947500,-67882,-67795,42.7461,-87,-88.70101,-92.46349,-2.075067,-2.154173,0,0.208984,0.101807,1.003662,-11.47328,6.114504,-1.450382,-11.70375,5.791983,29.04765,2673.5,2.154469,2.355513,7.271582,0.996107,False,True,True,True,True,False,False,False,False,False,104,8689,496,1,8340.340852130326
948853,949396,949397,-67878,-67795,42.7461,-83,-84.53535,-91.87168,-1.977615,-2.123203,0,0.205078,0.098877,1.013184,-11.43511,6.175572,-1.610687,-11.38991,5.573853,29.09471,2674.0,2.154872,2.355953,7.272942,0.996293,False,True,True,True,True,False,False,False,False,False,104,10539,543,1,10425.426065162908
951006,951482,951483,-67890,-67795,42.7461,-95,-96.85653,-92.60455,-2.265857,-2.066205,0,0.210205,0.094971,1.010498,-11.41221,6.198473,-1.641221,-11.70099,5.369106,29.00059,2674.3,2.155113,2.356217,7.273757,0.996405,False,True,True,True,True,False,False,False,False,False,104,12692,476,1,12510.511278195489
952846,953379,953380,-67919,-67795,42.7461,-124,-126.4369,-98.592,-2.957858,-2.144369,0,0.211426,0.095947,1.013428,-11.59542,6.167939,-1.374046,-11.73324,5.408401,28.90647,2674.2,2.155033,2.356129,7.273486,0.996368,False,True,True,True,True,False,False,False,False,False,104,14532,533,1,14595.59649122807
954759,955275,955276,-67866,-67795,42.7461,-71,-72.3126,-93.3404,-1.691677,-2.46285,0,0.205322,0.096924,1.014893,-11.42748,6.129771,-1.427481,-11.38663,5.455279,29.14177,2674.3,2.155113,2.356217,7.273757,0.996405,False,True,True,True,True,False,False,False,False,False,104,16445,516,1,16680.681704260653
956675,957172,957173,-67885,-67795,42.7461,-90,-91.73767,-91.59222,-2.146106,-2.160936,0,0.208008,0.099121,1.005615,-11.54198,6.053435,-1.534351,-11.63176,5.629312,29.00059,2674.4,2.155194,2.356305,7.27403,0.996442,False,True,True,True,True,False,False,False,False,False,104,18361,497,1,18765.766917293233
958691,959259,959259,-67867,-67795,42.7461,-72,-73.44574,-90.57515,-1.718186,-2.15513,0,0.213623,0.098145,1.012695,-11.50382,6.259542,-1.427481,-11.85763,5.535473,29.00059,2674.0,2.154872,2.355953,7.272942,0.996293,False,True,True,True,True,False,False,False,False,False,104,20377,568,0,20850.852130325817
