tBeforeMeasure,tAfterMeasure,tAfterAlgo,realValue_WU,OFFSET,relativeVal_WU,realValue_WU_AngleAdj,realValue,realValueFiltered,correctedValueFiltered,Ax,Ay,Az,Gx,Gy,Gz,thetadeg,phideg,myTmp,realWeight
22291.0,22829.0,22829.0,19908.0,19910.0,-2.0,-2.0,-0.04679,-0.24933,0.0,296.0,16356.0,440.0,5787.0,-97.0,-203.0,-1.04,-1.54,25.09,2000
22985.0,23523.0,23524.0,19909.0,19910.0,-1.0,-1.0,-0.02339,-0.17004,0.0,356.0,16404.0,336.0,5776.0,-68.0,-221.0,-1.24,-1.17,25.05,2000
23679.0,24217.0,24218.0,19909.0,19910.0,-1.0,-1.0,-0.02339,-0.11263,0.0,308.0,16352.0,372.0,5765.0,-81.0,-211.0,-1.08,-1.3,25.09,2000
24374.0,24911.0,24912.0,19887.0,19910.0,-23.0,-23.0,-0.53806,-0.07769,0.0,352.0,16340.0,364.0,5764.0,-51.0,-205.0,-1.23,-1.28,25.14,2000
25068.0,25606.0,25606.0,19904.0,19910.0,-6.0,-6.0,-0.14036,-0.25793,0.0,292.0,16408.0,400.0,5784.0,-87.0,-188.0,-1.02,-1.4,25.14,2000
25762.0,26300.0,26301.0,19909.0,19910.0,-1.0,-1.0,-0.02339,-0.2119,0.0,272.0,16428.0,508.0,5784.0,-76.0,-191.0,-0.95,-1.77,25.14,2000
26456.0,26994.0,26995.0,19911.0,19910.0,1.0,1.0,0.02339,-0.1381,0.0,308.0,16340.0,320.0,5785.0,-51.0,-236.0,-1.08,-1.12,25.14,2000
27151.0,27689.0,27689.0,19907.0,19910.0,-3.0,-3.0,-0.07018,-0.07488,0.0,328.0,16392.0,372.0,5811.0,-74.0,-185.0,-1.15,-1.3,25.09,2000
27845.0,28383.0,28384.0,19913.0,19910.0,3.0,3.0,0.07018,-0.07304,0.0,260.0,16400.0,332.0,5799.0,-85.0,-241.0,-0.91,-1.16,24.95,2000
28539.0,29077.0,29078.0,19903.0,19910.0,-7.0,-7.0,-0.16376,-0.01697,0.0,288.0,16316.0,396.0,5805.0,-57.0,-188.0,-1.01,-1.39,25.09,2000
29234.0,29771.0,29772.0,19926.0,19910.0,16.0,16.0,0.3743,-0.07444,0.0,252.0,16456.0,336.0,5788.0,-59.0,-203.0,-0.88,-1.17,25.09,2000
29928.0,30466.0,30466.0,19900.0,19910.0,-10.0,-10.0,-0.23394,0.10125,0.0,248.0,16356.0,444.0,5780.0,-61.0,-187.0,-0.87,-1.55,25.14,2000
30622.0,31160.0,31161.0,19883.0,19910.0,-27.0,-27.0,-0.63164,-0.02998,0.0,208.0,16428.0,276.0,5768.0,-85.0,-191.0,-0.73,-0.96,25.24,2000
31317.0,31855.0,31855.0,19895.0,19910.0,-15.0,-15.0,-0.35091,-0.26553,0.0,184.0,16420.0,360.0,5787.0,-73.0,-210.0,-0.64,-1.26,25.19,2000
32011.0,32549.0,32550.0,19888.0,19910.0,-22.0,-22.0,-0.51467,-0.29895,0.0,280.0,16396.0,396.0,5778.0,-102.0,-192.0,-0.98,-1.38,25.05,2000
32706.0,33244.0,33244.0,19930.0,19910.0,20.0,20.0,0.46788,-0.38341,0.0,252.0,16348.0,364.0,5771.0,-53.0,-235.0,-0.88,-1.28,25.09,2000
33400.0,33938.0,33939.0,19909.0,19910.0,-1.0,-1.0,-0.02339,-0.05013,0.0,328.0,16380.0,340.0,5794.0,-67.0,-182.0,-1.15,-1.19,25.09,2000
34095.0,34633.0,34633.0,19900.0,19910.0,-10.0,-10.0,-0.23394,-0.03966,0.0,228.0,16372.0,196.0,5811.0,-75.0,-205.0,-0.8,-0.69,25.14,2000
34789.0,35327.0,35328.0,19898.0,19910.0,-12.0,-12.0,-0.28073,-0.11572,0.0,244.0,16260.0,416.0,5797.0,-65.0,-190.0,-0.86,-1.47,25.09,2000
35484.0,36022.0,36022.0,19896.0,19910.0,-14.0,-14.0,-0.32752,-0.18032,0.0,236.0,16380.0,412.0,5773.0,-58.0,-165.0,-0.83,-1.44,25.14,2000
36178.0,36716.0,36717.0,19930.0,19910.0,20.0,20.0,0.46788,-0.23795,0.0,200.0,16372.0,268.0,5776.0,-97.0,-205.0,-0.7,-0.94,25.09,2000
36872.0,37411.0,37411.0,19890.0,19910.0,-20.0,-20.0,-0.46788,0.03838,0.0,364.0,16392.0,416.0,5761.0,-77.0,-193.0,-1.27,-1.45,25.09,2000
37567.0,38105.0,38106.0,19940.0,19910.0,30.0,30.0,0.70182,-0.15982,0.0,196.0,16480.0,316.0,5774.0,-43.0,-211.0,-0.68,-1.1,25.05,2000
38261.0,38800.0,38800.0,19915.0,19910.0,5.0,5.0,0.11697,0.17751,0.0,260.0,16480.0,424.0,5779.0,-69.0,-180.0,-0.9,-1.47,25.19,2000
38956.0,39494.0,39495.0,19906.0,19910.0,-4.0,-4.0,-0.09358,0.15381,0.0,216.0,16468.0,412.0,5772.0,-72.0,-198.0,-0.75,-1.43,25.19,2000
39650.0,40188.0,40189.0,19893.0,19910.0,-17.0,-17.0,-0.3977,0.05696,0.0,348.0,16408.0,384.0,5787.0,-68.0,-225.0,-1.21,-1.34,25.14,2000
40345.0,40883.0,40884.0,19921.0,19910.0,11.0,11.0,0.25733,-0.12104,0.0,380.0,16352.0,448.0,5785.0,-64.0,-185.0,-1.33,-1.57,25.19,2000
41039.0,41577.0,41578.0,19909.0,19910.0,-1.0,-1.0,-0.02339,0.02709,0.0,288.0,16312.0,396.0,5763.0,-105.0,-220.0,-1.01,-1.39,25.09,2000
41734.0,42272.0,42273.0,19882.0,19910.0,-28.0,-28.0,-0.65503,0.00733,0.0,308.0,16324.0,416.0,5795.0,-56.0,-180.0,-1.08,-1.46,25.19,2000
