tBeforeMeasure,tAfterMeasure,tAfterAlgo,realValue_WU,OFFSET,calibrationFactor,relativeVal_WU,realValue_WU_AngleAdj,realValue_WU_MovAvg,realValue_WU_Filt,realValue,realValueFiltered,correctedValueFiltered,myAx,myAy,myAz,myGx,myGy,myGz,thetadeg,phideg,myTmp,bSync,vccReadBits,vccReadVolts,vccGPIO,vccVolts,ratioVCCMAX,B_GOOGLE_HTTPREQ,B_SERIALPORT,B_SERIALTELNET,B_ANGLE_ADJUSTMENT,B_DEBUG_MODE,BF_GOOGLE_HTTPREQ,BF_SERIALPORT,BF_SERIALTELNET,BF_MPU,BF_WIFI,realWeight,timeNorm,timeMeasure,timeAlgo,timeSim
333479,334027,334028,-39236,-39315,42.7461,79,79.02592,73.17268,78.71665,1.841493,0,0.0,0.02832,0.005127,1.059814,-11.45038,5.931298,-1.770992,-1.530669,0.277171,29.37706,False,2624.5,2.114982,2.312341,7.138308,0.929699,False,True,True,True,True,False,False,False,False,False,500,0,548,1,0.0
334137,334692,334693,-39262,-39315,42.7461,53,53.02108,71.02923,76.54619,1.790717,0,0.0,0.03125,0.004395,1.062256,-11.54962,6.21374,-1.496183,-1.685053,0.23703,29.33,False,2625.1,2.115465,2.312869,7.13994,0.930409,False,True,True,True,True,False,False,False,False,False,500,658,555,1,838.367231638418
334806,335356,335357,-39238,-39315,42.7461,77,77.01893,70.31126,74.3863,1.740189,0,0.0,0.024658,0.003906,1.066162,-11.67939,5.954198,-1.21374,-1.324889,0.209921,29.23588,False,2626.6,2.116674,2.314191,7.14402,0.932182,False,True,True,True,True,False,False,False,False,False,500,1327,550,1,1676.734463276836
335469,336021,336022,-39236,-39315,42.7461,79,79.03748,70.74028,72.79092,1.702867,0,0.0,0.03418,0.009521,1.063721,-11.73282,6.198473,-1.564886,-1.840328,0.512846,29.18882,False,2624.0,2.114579,2.3119,7.136948,0.929108,False,True,True,True,True,False,False,False,False,False,500,1990,552,1,2515.101694915254
336135,336686,336686,-39236,-39315,42.7461,79,79.03516,71.74139,71.9881,1.684086,0,0.0,0.033203,0.001953,1.066895,-11.41985,6.129771,-1.679389,-1.782536,0.104889,29.18882,False,2625.6,2.115868,2.31331,7.1413,0.931,False,True,True,True,True,False,False,False,False,False,500,2656,551,0,3353.468926553672
336795,337350,337351,-39226,-39315,42.7461,89,89.03929,73.45813,71.89151,1.681826,0,0.0,0.032959,0.011719,1.063232,-11.53435,6.007634,-1.519084,-1.775423,0.631476,29.18882,False,2625.5,2.115788,2.313222,7.141028,0.930882,False,True,True,True,True,False,False,False,False,False,500,3316,555,1,4191.83615819209
338128,338679,338680,-39242,-39315,42.7461,73,73.03332,77.74646,74.8921,1.752022,0,0.0,0.033447,0.005371,1.061279,-11.59542,5.824428,-1.534351,-1.805108,0.289969,29.18882,False,2622.8,2.113612,2.310843,7.133684,0.927689,False,True,True,True,True,False,False,False,False,False,500,4649,551,1,5030.203389830508
338791,339344,339345,-39245,-39315,42.7461,70,70.02579,80.1757,76.00958,1.778164,0,0.0,0.030029,0.001465,1.060547,-11.67939,6.091603,-1.48855,-1.621887,0.079138,29.23588,False,2626.9,2.116916,2.314455,7.144836,0.932537,False,True,True,True,True,False,False,False,False,False,500,5312,553,1,5868.570621468926
339455,340008,340009,-39205,-39315,42.7461,110,110.0331,84.89201,77.64062,1.81632,0,0.0,0.0271,0.000244,1.059082,-11.74809,6.0,-1.435115,-1.465751,0.013208,29.28294,False,2626.7,2.116755,2.314279,7.144292,0.932301,False,True,True,True,True,False,False,False,False,False,500,5976,553,1,6706.937853107344
340123,340673,340674,-39247,-39315,42.7461,68,68.02464,83.31875,80.47954,1.882734,0,0.0,0.029785,0.003662,1.060791,-11.51908,6.022901,-1.541985,-1.608329,0.197798,29.23588,False,2627.0,2.116996,2.314543,7.145108,0.932655,False,True,True,True,True,False,False,False,False,False,500,6644,550,1,7545.3050847457625
