tBeforeMeasure,tAfterMeasure,tAfterAlgo,realValue_WU,OFFSET,calibrationFactor,relativeVal_WU,realValue_WU_AngleAdj,realValue_WU_MovAvg,realValue_WU_Filt,realValue,realValueFiltered,correctedValueFiltered,myAx,myAy,myAz,myGx,myGy,myGz,thetadeg,phideg,myTmp,bSync,vccReadBits,vccReadVolts,vccGPIO,vccVolts,ratioVCCMAX,B_GOOGLE_HTTPREQ,B_SERIALPORT,B_SERIALTELNET,B_ANGLE_ADJUSTMENT,B_DEBUG_MODE,BF_GOOGLE_HTTPREQ,BF_SERIALPORT,BF_SERIALTELNET,BF_MPU,BF_WIFI,realWeight,timeNorm,timeMeasure,timeAlgo,timeSim
233023,233588,233588,-4390,-4392,42.7461,2,2.001501,-10.43723,-17.02122,-0.398193,0,0.0,0.042969,0.053711,1.061768,-11.64122,5.885496,-1.778626,-2.314481,2.895909,28.81235,False,1870.5,1.507363,1.648022,5.087523,0,False,True,True,True,True,False,False,False,False,False,500,0,565,0,0.0
234363,234916,234917,-4399,-4392,42.7461,-7,-7.004093,-8.576653,-11.81094,-0.276304,0,0.0,0.038086,0.05127,1.066406,-11.58015,5.946565,-1.977099,-2.043046,2.752479,28.81235,False,1867.6,1.505026,1.645467,5.079636,0,False,True,True,True,True,False,False,False,False,False,500,1340,553,1,742.4217391304347
235026,235581,235582,-4396,-4392,42.7461,-4,-4.00242,-10.0065,-10.54471,-0.246683,0,0.0,0.038574,0.049561,1.061768,-11.69466,5.877862,-1.312977,-2.078386,2.672472,28.90647,False,1865.7,1.503495,1.643793,5.074468,0,False,True,True,True,True,False,False,False,False,False,500,2003,555,1,1484.8434782608695
235693,236245,236246,-4425,-4392,42.7461,-33,-33.02134,-10.14956,-10.33401,-0.241753,0,0.0,0.039795,0.050293,1.05957,-11.54962,5.961832,-1.671756,-2.14846,2.717523,28.7653,False,1867.1,1.504623,1.645026,5.078276,0,False,True,True,True,True,False,False,False,False,False,500,2670,552,1,2227.2652173913043
236357,236910,236910,-4406,-4392,42.7461,-14,-14.00932,-13.15175,-10.2618,-0.240064,0,0.0,0.040527,0.05249,1.063232,-11.51908,5.80916,-1.664122,-2.180235,2.826308,28.90647,False,1865.8,1.503575,1.643881,5.07474,0,False,True,True,True,True,False,False,False,False,False,500,3334,553,0,2969.686956521739
237021,237574,237575,-4402,-4392,42.7461,-10,-10.00664,-13.00862,-11.39321,-0.266532,0,0.0,0.040283,0.053223,1.05835,-11.47328,5.770992,-1.687023,-2.177003,2.878878,28.85941,False,1866.3,1.503978,1.644321,5.0761,0,False,True,True,True,True,False,False,False,False,False,500,3998,553,1,3712.1086956521735
237683,238238,238239,-4407,-4392,42.7461,-15,-15.01401,-15.43941,-12.02565,-0.281327,0,0.0,0.047852,0.053467,1.060059,-11.65649,6.061069,-1.328244,-2.581322,2.887407,28.90647,False,1866.4,1.504059,1.644409,5.076372,0,False,True,True,True,True,False,False,False,False,False,500,4660,555,1,4454.530434782609
238349,238903,238904,-4410,-4392,42.7461,-18,-18.01821,-14.43943,-13.36214,-0.312593,0,0.0,0.049805,0.049805,1.060059,-11.72519,5.885496,-1.480916,-2.686981,2.689941,28.95353,False,1866.9,1.504462,1.64485,5.077732,0,False,True,True,True,True,False,False,False,False,False,500,5326,554,1,5196.952173913043
239013,239567,239568,-4411,-4392,42.7461,-19,-19.014,-16.15513,-13.7839,-0.32246,0,0.0,0.04248,0.052246,1.05957,-11.60305,5.969466,-1.435115,-2.293094,2.822891,28.81235,False,1865.9,1.503656,1.643969,5.075012,0,False,True,True,True,True,False,False,False,False,False,500,5990,554,1,5939.373913043478
239678,240232,240233,-4393,-4392,42.7461,-1,-1.000936,-15.72635,-14.71223,-0.344177,0,0.0,0.048096,0.047852,1.064209,-11.62595,6.022901,-1.29771,-2.585042,2.574533,28.90647,False,1866.1,1.503817,1.644145,5.075556,0,False,True,True,True,True,False,False,False,False,False,500,6655,554,1,6681.7956521739125
