tBeforeMeasure,tAfterMeasure,tAfterAlgo,realValue_WU,OFFSET,calibrationFactor,relativeVal_WU,realValue_WU_AngleAdj,realValue_WU_MovAvg,realValue_WU_Filt,realValue,realValueFiltered,correctedValueFiltered,myAx,myAy,myAz,myGx,myGy,myGz,thetadeg,phideg,myTmp,bSync,vccReadBits,vccReadVolts,vccGPIO,vccVolts,ratioVCCMAX,B_DEBUG_MODE,B_SERIALPORT,BF_SERIALPORT,B_WIFI,BF_WIFI,timeNorm,timeMeasure,timeAlgo,timeTotal,timeSim
659765,660352,660353,-21836,-63467,42,41631,41631.0,41611.46,41607.95,990.6653,0,990.5,0.000225,-0.010713,0.981895,-3.312977,-0.435115,-0.503817,-0.013106,-0.625095,28.34176,False,0,0,0,0,0,False,True,False,True,True,0,587,1,588,0.0
660440,661028,661028,-21847,-63467,42,41620,41620.43,41613.75,41609.32,990.6981,0,990.5,-0.004658,-0.010713,0.977012,-3.412214,-0.473282,-0.442748,0.273156,-0.628219,28.38882,False,0,0,0,0,0,False,True,False,True,True,675,588,0,588,675.1758793969849
661115,661703,661704,-21833,-63467,42,41634,41634.03,41618.74,41611.05,990.7394,0,991.0,-0.00124,-0.01291,0.973838,-3.480916,-0.068702,-0.59542,0.072963,-0.759523,28.29471,False,0,0,0,0,0,False,True,False,True,True,1350,588,1,589,1350.3517587939698
661790,662378,662379,-21828,-63467,42,41639,41639.2,41623.63,41614.06,990.811,0,991.0,-0.003193,-0.010957,0.985557,-3.358779,-0.59542,-0.40458,0.185635,-0.636964,28.38882,False,0,0,0,0,0,False,True,False,True,True,2025,588,1,589,2025.5276381909548
662465,663053,663054,-21855,-63467,42,41612,41612.38,41622.82,41617.8,990.9001,0,991.0,-0.004414,-0.018525,0.987022,-3.709924,-0.175573,-0.694657,0.256185,-1.075255,28.38882,False,0,0,0,0,0,False,True,False,True,True,2700,588,1,589,2700.7035175879396
663140,663728,663729,-21863,-63467,42,41604,41604.18,41620.55,41619.77,990.9468,0,991.0,-0.002949,-0.014863,0.970176,-3.221374,-0.557252,-0.251908,0.174151,-0.877712,28.34176,False,0,0,0,0,0,False,True,False,True,True,3375,588,1,589,3375.8793969849244
663816,664403,664404,-21850,-63467,42,41617,41617.52,41622.56,41620.07,990.9542,0,991.0,-0.005146,-0.009004,0.986289,-3.442748,-0.503817,-0.412214,0.298955,-0.523042,28.38882,False,0,0,0,0,0,False,True,False,True,True,4051,587,1,588,4051.0552763819096
664492,665078,665079,-21836,-63467,42,41631,41631.12,41622.57,41621.05,990.9773,0,991.0,-0.002461,-0.012178,0.98043,-3.427481,-0.198473,-0.381679,0.143804,-0.711622,28.48294,False,0,0,0,0,0,False,True,False,True,True,4727,586,1,587,4726.231155778894
665166,665754,665754,-21850,-63467,42,41617,41617.1,41622.1,41621.64,990.9915,0,991.0,-0.002217,-0.007539,0.975547,-3.435115,-0.557252,-0.358779,0.130192,-0.442774,28.38882,False,0,0,0,0,0,False,True,False,True,True,5401,588,0,588,5401.407035175879
665842,666429,666429,-21835,-63467,42,41632,41632.1,41621.82,41621.82,990.9957,0,991.0,-0.002217,-0.009492,0.973594,-3.618321,-0.229008,-0.648855,0.130451,-0.558594,28.38882,False,0,0,0,0,0,False,True,False,True,True,6077,587,0,587,6076.582914572864
666516,667104,667105,-21865,-63467,42,41602,41602.58,41616.59,41621.82,990.9957,0,991.0,-0.005391,-0.021211,0.980918,-3.206107,-0.480916,-0.625954,0.314791,-1.238743,28.34176,False,0,0,0,0,0,False,True,False,True,True,6751,588,1,589,6751.758793969849
667191,667779,667780,-21832,-63467,42,41635,41637.01,41620.11,41619.77,990.947,0,991.0,-0.010029,-0.013154,0.978721,-3.267176,-0.343511,-0.572519,0.587055,-0.770024,28.43588,False,0,0,0,0,0,False,True,False,True,True,7426,588,1,589,7426.9346733668335
667867,668454,668455,-21862,-63467,42,41605,41605.0,41620.23,41619.9,990.9501,0,991.0,-0.000508,-0.013887,0.979697,-3.412214,-0.10687,-0.59542,0.029695,-0.812083,28.53,False,0,0,0,0,0,False,True,False,True,True,8102,587,1,588,8102.110552763819
668541,669129,669130,-21837,-63467,42,41630,41630.54,41622.09,41620.03,990.953,0,991.0,-0.005146,-0.011445,0.973594,-3.351145,-0.625954,-0.427481,0.302845,-0.673522,28.38882,False,0,0,0,0,0,False,True,False,True,True,8776,588,1,589,8777.286432160803
669216,669804,669805,-21843,-63467,42,41624,41624.0,41621.07,41620.84,990.9723,0,991.0,-2e-05,-0.01291,0.973838,-3.473282,-0.083969,-0.664122,0.001149,-0.759523,28.34176,False,0,0,0,0,0,False,True,False,True,True,9451,588,1,589,9452.462311557789
669892,670480,670480,-21843,-63467,42,41624,41624.48,41622.13,41620.93,990.9744,0,991.0,0.004863,-0.00876,0.970908,-3.083969,-0.419847,-0.580153,-0.28698,-0.516921,28.34176,False,0,0,0,0,0,False,True,False,True,True,10127,588,0,588,10127.638190954773
670567,671155,671156,-21839,-63467,42,41628,41628.01,41621.54,41621.39,990.9856,0,991.0,0.000713,-0.006807,0.963584,-3.587786,-0.366412,-0.541985,-0.042388,-0.404723,28.34176,False,0,0,0,0,0,False,True,False,True,True,10802,588,1,589,10802.814070351758
671242,671830,671831,-21853,-63467,42,41614,41614.0,41623.17,41621.45,990.9869,0,991.0,0.000225,-0.01584,0.983115,-3.366412,-0.328244,-0.343511,-0.013088,-0.923061,28.38882,False,0,0,0,0,0,False,True,False,True,True,11477,588,1,589,11477.989949748744
671917,672505,672506,-21837,-63467,42,41630,41630.27,41622.21,41622.12,991.0029,0,991.0,0.003643,-0.009248,0.970908,-3.374046,-0.51145,-0.030534,-0.214947,-0.545733,28.38882,False,0,0,0,0,0,False,True,False,True,True,12152,588,1,589,12153.165829145728
672593,673180,673181,-21829,-63467,42,41638,41638.14,41626.95,41622.16,991.0037,0,991.0,-0.002705,-0.016816,0.982627,-3.358779,-0.29771,-0.122137,0.157706,-0.980446,28.43588,False,0,0,0,0,0,False,True,False,True,True,12828,587,1,588,12828.341708542714
673267,673855,673856,-21862,-63467,42,41605,41605.03,41623.3,41624.03,991.0483,0,991.0,0.001201,-0.01291,0.984336,-3.206107,-0.572519,-0.183206,-0.069911,-0.751424,28.34176,False,0,0,0,0,0,False,True,False,True,True,13502,588,1,589,13503.517587939697
673943,674531,674531,-21830,-63467,42,41637,41637.17,41625.19,41623.75,991.0416,0,991.0,0.00291,-0.011201,0.972861,-3.656489,-0.183206,-0.290076,-0.171379,-0.659652,28.29471,False,0,0,0,0,0,False,True,False,True,True,14178,588,0,588,14178.693467336683
674618,675206,675206,-21848,-63467,42,41619,41619.28,41624.44,41624.31,991.055,0,991.0,-0.003682,-0.011445,0.96627,-3.259542,-0.320611,-0.19084,0.218289,-0.678626,28.43588,False,0,0,0,0,0,False,True,False,True,True,14853,588,0,588,14853.869346733667
675293,675881,675882,-21857,-63467,42,41610,41610.12,41621.88,41624.36,991.0562,0,991.0,-0.002461,-0.015107,0.981406,-3.519084,-0.374046,-0.328244,0.143655,-0.881919,28.43588,False,0,0,0,0,0,False,True,False,True,True,15528,588,1,589,15529.045226130653
675969,676556,676557,-21859,-63467,42,41608,41608.03,41621.03,41623.39,991.0331,0,991.0,0.001201,-0.014375,0.965781,-3.587786,-0.396947,-0.839695,-0.071252,-0.852744,28.38882,False,0,0,0,0,0,False,True,False,True,True,16204,587,1,588,16204.221105527638
676643,677231,677232,-21841,-63467,42,41626,41626.18,41620.45,41622.47,991.0112,0,991.0,-0.002949,-0.020723,0.971885,-3.0,-0.603053,0.053435,0.173826,-1.22148,28.34176,False,0,0,0,0,0,False,True,False,True,True,16878,588,1,589,16879.396984924624
677317,677906,677907,-21863,-63467,42,41604,41604.48,41615.64,41621.68,990.9923,0,991.0,-0.004902,-0.021699,0.978965,-3.450382,-0.122137,-0.122137,0.286846,-1.269777,28.38882,False,0,0,0,0,0,False,True,False,True,True,17552,589,1,590,17554.572864321606
677994,678581,678582,-21871,-63467,42,41596,41597.86,41614.62,41619.31,990.936,0,991.0,-0.009541,-0.01291,0.966758,-3.396947,-0.29771,-1.832061,0.565387,-0.765085,28.43588,False,0,0,0,0,0,False,True,False,True,True,18229,587,1,588,18229.748743718592
678668,679257,679257,-21867,-63467,42,41600,41600.02,41609.31,41617.47,990.8922,0,991.0,0.000957,-0.006074,0.975547,-3.458015,-0.587786,-2.48855,-0.056207,-0.356745,28.38882,False,0,0,0,0,0,False,True,False,True,True,18903,589,0,589,18904.924623115578
679344,679932,679933,-21845,-63467,42,41622,41622.44,41609.76,41614.28,990.8161,0,991.0,-0.004658,-0.013643,0.971397,-3.290076,0.480916,-0.900763,0.274725,-0.804624,28.34176,False,0,0,0,0,0,False,True,False,True,True,19579,588,1,589,19580.100502512563
680019,680607,680608,-21847,-63467,42,41620,41620.08,41611.18,41612.51,990.774,0,991.0,-0.001973,-0.017061,0.985068,-3.320611,-0.641221,-1.236641,0.114721,-0.992213,28.43588,False,0,0,0,0,0,False,True,False,True,True,20254,588,1,589,20255.276381909545
