tBeforeMeasure1,tAfterMeasure1,tAfterAlgo1,realValue_WU1,offset1,relativeVal_WU1,realValue_WU_MovAvg1,realValue_WU_Filt1,tBeforeMeasure2,tAfterMeasure2,tAfterAlgo2,realValue_WU2,offset2,relativeVal_WU2,realValue_WU_MovAvg2,realValue_WU_Filt2,tBeforeMeasure3,tAfterMeasure3,tAfterAlgo3,realValue_WU3,offset3,relativeVal_WU3,realValue_WU_MovAvg3,realValue_WU_Filt3,tBeforeMeasure4,tAfterMeasure4,tAfterAlgo4,realValue_WU4,offset4,relativeVal_WU4,realValue_WU_MovAvg4,realValue_WU_Filt4,realValueFiltered,realValue,correctedValueFiltered,bSync,vccReadBits,vccReadVolts,vccGPIO,vccVolts,ratioVCCMAX,B_DEBUG_MODE,B_SERIALPORT,BF_SERIALPORT
51265,51565,52465,-18514.25,-29934,11419.75,11419.75,11419.75,51565,51865,52465,8347.75,6614,1733.75,1733.75,1733.75,51865,52165,52465,-1451.75,-1463,11.25,11.25,11.25,52165,52465,52465,107608.8,94197,13411.75,13411.75,13411.75,0,551.3232,551.0,True,0,0,0,0,0,True,True,False
52586,52886,53786,-18516.25,-29934,11417.75,11419.25,11419.75,52886,53186,53786,8366.75,6614,1752.75,1738.5,1733.75,53186,53486,53786,-1435.5,-1463,27.5,15.3125,11.25,53486,53786,53786,107645.8,94197,13448.75,13421.0,13411.75,0,551.3232,551.0,False,0,0,0,0,0,True,True,False
53907,54207,55107,-18504.25,-29934,11429.75,11421.75,11419.63,54207,54507,55107,8378.25,6614,1764.25,1746.125,1734.931,54507,54807,55107,-1458.25,-1463,4.75,13.6875,12.25962,54807,55107,55107,107620.3,94197,13423.25,13423.88,13414.05,0,551.4138,551.5,False,0,0,0,0,0,True,True,False
55229,55529,56429,-18492.0,-29934,11442.0,11427.31,11420.15,55529,55829,56429,8368.5,6614,1754.5,1751.313,1737.713,55829,56129,56429,-1477.5,-1463,-14.5,7.25,12.61448,56129,56429,56429,107598.5,94197,13401.5,13421.31,13416.49,0,551.5405,551.5,False,0,0,0,0,0,True,True,False
56550,56850,57750,-18500.25,-29934,11433.75,11430.81,11421.93,56850,57150,57750,8351.25,6614,1737.25,1752.188,1741.093,57150,57450,57750,-1465.25,-1463,-2.25,3.875,11.28129,57450,57750,57750,107596.3,94197,13399.25,13418.19,13417.69,0,551.6447,551.5,False,0,0,0,0,0,True,True,False
57872,58172,59072,-18498.0,-29934,11436.0,11435.38,11424.14,58172,58472,59072,8373.0,6614,1759.0,1753.75,1743.85,58472,58772,59072,-1463.0,-1463,0.0,-3.0,9.440658,58772,59072,59072,107577.8,94197,13380.75,13401.19,13417.81,0,551.7121,552.0,False,0,0,0,0,0,True,True,False
59193,59493,60393,-18528.25,-29934,11405.75,11429.38,11426.93,59493,59793,60393,8365.0,6614,1751.0,1750.438,1746.31,59793,60093,60393,-1438.5,-1463,24.5,1.9375,6.348872,60093,60393,60393,107614.5,94197,13417.5,13399.75,13413.68,0,551.6712,551.5,False,0,0,0,0,0,True,True,False
60516,60816,61716,-18501.0,-29934,11433.0,11427.13,11427.54,60816,61116,61716,8356.75,6614,1742.75,1747.5,1747.336,61116,61416,61716,-1464.0,-1463,-1.0,5.3125,5.252546,61416,61716,61716,107625.0,94197,13428.0,13406.38,13410.22,0,551.6105,551.5,False,0,0,0,0,0,True,True,False
61836,62136,63036,-18499.5,-29934,11434.5,11427.31,11427.44,62136,62436,63036,8373.25,6614,1759.25,1753.0,1747.377,62436,62736,63036,-1491.25,-1463,-28.25,-1.1875,5.267446,62736,63036,63036,107608.3,94197,13411.25,13409.38,13409.26,0,551.5898,551.5,False,0,0,0,0,0,True,True,False
63158,63458,64358,-18474.5,-29934,11459.5,11433.19,11427.41,63458,63758,64358,8345.75,6614,1731.75,1746.188,1748.774,63758,64058,64358,-1451.5,-1463,11.5,1.6875,3.663245,64058,64358,64358,107576.3,94197,13379.25,13409.0,13409.29,0,551.5854,551.5,False,0,0,0,0,0,True,True,False
64479,64779,65679,-18477.25,-29934,11456.75,11445.94,11428.84,64779,65079,65679,8364.5,6614,1750.5,1746.063,1748.131,65079,65379,65679,-1483.0,-1463,-20.0,-9.4375,3.172228,65379,65679,65679,107600.0,94197,13403.0,13405.38,13409.22,0,551.5901,551.5,False,0,0,0,0,0,True,True,False
65800,66100,67000,-18515.5,-29934,11418.5,11442.31,11433.09,66100,66400,67000,8343.0,6614,1729.0,1742.625,1747.617,66400,66700,67000,-1487.0,-1463,-24.0,-15.1875,0.038424,66700,67000,67000,107600.3,94197,13403.25,13399.19,13408.26,0,551.5828,551.5,False,0,0,0,0,0,True,True,False
67122,67422,68322,-18485.0,-29934,11449.0,11445.94,11435.38,67422,67722,68322,8364.5,6614,1750.5,1740.438,1746.377,67722,68022,68322,-1469.75,-1463,-6.75,-9.8125,-3.745564,68022,68322,68322,107592.3,94197,13395.25,13395.19,13406.01,0,551.4793,551.5,False,0,0,0,0,0,True,True,False
68445,68745,69645,-18483.75,-29934,11450.25,11443.63,11438.01,68745,69045,69645,8354.5,6614,1740.5,1742.625,1744.901,69045,69345,69645,-1478.75,-1463,-15.75,-16.625,-5.253335,69345,69645,69645,107620.5,94197,13423.5,13406.25,13403.32,0,551.416,551.5,False,0,0,0,0,0,True,True,False
69769,70069,70969,-18499.0,-29934,11435.0,11438.19,11439.4,70069,70369,70969,8362.0,6614,1748.0,1742.0,1744.335,70369,70669,70969,-1472.5,-1463,-9.5,-14.0,-8.079453,70669,70969,70969,107609.0,94197,13412.0,13408.5,13404.05,0,551.3898,551.0,False,0,0,0,0,0,True,True,False
