tBeforeMeasure,tAfterMeasure,tAfterAlgo,realValue_WU,realValue,realValueFiltered,correctedValueFiltered,thetadeg,phideg,myTmp,OFFSET,tareButtonFlank,realWeight
1656051.0,1656567.0,1656567.0,61714.0,2996.41357,2996.32251,2996.0,-0.18,-3.2,23.26,-66371.0,0.0,3000
1656844.0,1657360.0,1657360.0,61684.0,2995.71191,2996.35815,2996.0,-0.37,-3.6,23.21,-66371.0,0.0,3000
1657637.0,1658154.0,1658154.0,61727.0,2996.71777,2996.10522,2996.0,-0.31,-3.59,23.21,-66371.0,0.0,3000
1658430.0,1658947.0,1658947.0,61693.0,2995.92236,2996.34497,2996.0,-0.08,-3.33,23.26,-66371.0,0.0,3000
1659223.0,1659740.0,1659740.0,61728.0,2996.74121,2996.17944,2996.0,-0.59,-3.54,23.21,-66371.0,0.0,3000
1660017.0,1660533.0,1660533.0,61710.0,2996.32007,2996.39941,2996.0,-0.49,-3.48,23.26,-66371.0,0.0,3000
1660810.0,1661326.0,1661326.0,61737.0,2996.95166,2996.36841,2996.0,-1.65,-3.61,23.26,-66371.0,0.0,3000
1661603.0,1662119.0,1662119.0,61755.0,2997.3728,2996.59668,2996.5,-3.47,-3.89,23.21,-66371.0,0.0,3000
1662396.0,1662912.0,1662912.0,61717.0,2996.48389,2996.90063,2997.0,-3.9,-3.14,23.21,-66371.0,0.0,3000
1663189.0,1663705.0,1663705.0,61695.0,2995.96924,2996.73755,2997.0,-4.68,-4.1,23.26,-66371.0,0.0,3000
1663982.0,1664498.0,1664498.0,61600.0,2993.74658,2996.43677,2996.5,-4.81,-3.75,23.26,-66371.0,0.0,3000
1664775.0,1665291.0,1665291.0,61540.0,2992.34302,2995.38354,2995.0,-5.7,-4.01,23.21,-66371.0,0.0,3000
1665568.0,1666084.0,1666084.0,61451.0,2990.26099,2994.19312,2994.0,-5.54,-3.17,23.17,-66371.0,0.0,3000
1666361.0,1666878.0,1666878.0,61352.0,2987.94507,2992.65381,2992.5,-6.99,-3.98,23.12,-66371.0,0.0,3000
1667154.0,1667671.0,1667671.0,61198.0,2984.34229,2990.8103,2991.0,-7.56,-3.97,23.26,-66371.0,0.0,3000
1667947.0,1668464.0,1668464.0,61006.0,2979.85059,2988.27808,2988.0,-8.66,-3.77,23.26,-66371.0,0.0,3000
1668740.0,1669257.0,1669257.0,60814.0,2975.35913,2984.97876,2985.0,-9.75,-3.64,23.17,-66371.0,0.0,3000
1669533.0,1670050.0,1670050.0,60484.0,2967.63916,2967.63916,2967.5,-10.45,-4.34,23.26,-66371.0,0.0,3000
1670327.0,1670843.0,1670843.0,60222.0,2961.50977,2961.50977,2961.5,-11.13,-3.5,23.26,-66371.0,0.0,3000
1671120.0,1671636.0,1671636.0,59995.0,2956.19946,2956.19946,2956.0,-11.68,-4.12,23.35,-66371.0,0.0,3000
1671913.0,1672429.0,1672429.0,59792.0,2951.45044,2956.19946,2956.0,-12.3,-3.8,23.26,-66371.0,0.0,3000
1672706.0,1673222.0,1673222.0,59679.0,2948.80688,2954.34033,2954.0,-11.49,-4.01,23.26,-66371.0,0.0,3000
1673499.0,1674015.0,1674015.0,59504.0,2944.71289,2952.17383,2952.0,-12.82,-3.84,23.21,-66371.0,0.0,3000
1674293.0,1674808.0,1674808.0,59263.0,2939.07495,2939.07495,2939.0,-13.45,-3.75,23.21,-66371.0,0.0,3000
1675086.0,1675601.0,1675601.0,59020.0,2933.39038,2933.39038,2933.0,-14.21,-3.98,23.17,-66371.0,0.0,3000
1675879.0,1676394.0,1676394.0,58725.0,2926.48901,2926.48901,2926.5,-14.78,-4.34,23.21,-66371.0,0.0,3000
1676672.0,1677187.0,1677187.0,58414.0,2919.21362,2919.21362,2919.0,-15.64,-4.09,23.26,-66371.0,0.0,3000
1677465.0,1677980.0,1677980.0,58139.0,2912.78027,2912.78027,2913.0,-15.42,-4.64,23.26,-66371.0,0.0,3000
1678258.0,1678773.0,1678773.0,57863.0,2906.32349,2906.32349,2906.0,-15.94,-4.43,23.31,-66371.0,0.0,3000
1679051.0,1679566.0,1679566.0,57583.0,2899.77319,2899.77319,2900.0,-19.56,-3.41,23.31,-66371.0,0.0,3000
1679844.0,1680360.0,1680360.0,57329.0,2893.83105,2893.83105,2894.0,-16.52,-4.11,23.26,-66371.0,0.0,3000
1680637.0,1681153.0,1681153.0,57295.0,2893.03564,2893.83105,2894.0,-17.13,-4.09,23.31,-66371.0,0.0,3000
1681431.0,1681946.0,1681946.0,57083.0,2888.07617,2893.51978,2893.5,-16.77,-4.33,23.26,-66371.0,0.0,3000
1682224.0,1682739.0,1682739.0,56891.0,2883.58472,2891.38867,2891.0,-17.02,-4.29,23.17,-66371.0,0.0,3000
1683017.0,1683532.0,1683532.0,56650.0,2877.94678,2877.94678,2878.0,-17.8,-4.0,23.21,-66371.0,0.0,3000
1683810.0,1684325.0,1684325.0,56456.0,2873.4082,2877.94678,2878.0,-17.97,-4.66,23.17,-66371.0,0.0,3000
1684603.0,1685118.0,1685118.0,56016.0,2863.11499,2863.11499,2863.0,-19.44,-4.37,23.12,-66371.0,0.0,3000
1685396.0,1685911.0,1685911.0,55656.0,2854.69312,2854.69312,2854.5,-19.84,-4.0,23.21,-66371.0,0.0,3000
1686189.0,1686704.0,1686704.0,55442.0,2849.68677,2849.68677,2849.5,-19.51,-4.7,23.26,-66371.0,0.0,3000
1686982.0,1687498.0,1687498.0,55168.0,2843.27686,2843.27686,2843.0,-20.04,-4.27,23.21,-66371.0,0.0,3000
1687775.0,1688291.0,1688291.0,54980.0,2838.87866,2843.27686,2843.0,-20.61,-4.05,23.21,-66371.0,0.0,3000
1688568.0,1689084.0,1689084.0,54309.0,2823.1814,2823.1814,2823.0,-21.37,-4.63,23.12,-66371.0,0.0,3000
1689362.0,1689877.0,1689877.0,53671.0,2808.2561,2808.2561,2808.0,-22.16,-4.64,23.17,-66371.0,0.0,3000
1690155.0,1690670.0,1690670.0,52974.0,2791.95044,2791.95044,2792.0,-23.18,-4.4,23.31,-66371.0,0.0,3000
1690948.0,1691463.0,1691463.0,51730.0,2762.84839,2762.84839,2763.0,-25.17,-4.7,23.31,-66371.0,0.0,3000
1691741.0,1692256.0,1692256.0,50285.0,2729.04419,2729.04419,2729.0,-25.2,-4.6,23.26,-66371.0,0.0,3000
