tBeforeMeasure,tAfterMeasure,tAfterAlgo,realValue_WU,realValue,realValueFiltered,correctedValueFiltered,thetadeg,phideg,myTmp,OFFSET,tareButtonFlank,realWeight
10293401.0,10293914.0,10293914.0,147169.0,4991.35596,4991.60986,4991.5,-0.56,-0.61,26.37,-66192.0,0.0,5000
10294195.0,10294708.0,10294708.0,147177.0,4991.54297,4991.51025,4991.5,-1.01,-0.71,26.32,-66192.0,0.0,5000
10294989.0,10295502.0,10295502.0,147192.0,4991.89404,4991.52295,4991.5,-0.96,-0.37,26.27,-66192.0,0.0,5000
10295783.0,10296295.0,10296295.0,147185.0,4991.72998,4991.66846,4991.5,-1.06,-0.9,26.37,-66192.0,0.0,5000
10296576.0,10297089.0,10297089.0,147165.0,4991.26221,4991.69238,4991.5,-1.12,-0.41,26.32,-66192.0,0.0,5000
10297370.0,10297883.0,10297883.0,147153.0,4990.98145,4991.52393,4991.5,-0.81,-0.57,26.27,-66192.0,0.0,5000
10298164.0,10298676.0,10298676.0,147191.0,4991.87061,4991.31152,4991.0,-1.13,-0.79,26.32,-66192.0,0.0,5000
10298957.0,10299470.0,10299470.0,147163.0,4991.21533,4991.53027,4991.5,-1.14,-0.62,26.27,-66192.0,0.0,5000
10299751.0,10300264.0,10300264.0,147193.0,4991.91699,4991.40674,4991.5,-1.09,0.55,26.32,-66192.0,0.0,5000
10300544.0,10301057.0,10301057.0,147217.0,4992.47852,4991.60645,4991.5,0.3,-0.7,26.27,-66192.0,0.0,5000
10301338.0,10301851.0,10301851.0,147241.0,4993.04004,4991.94775,4992.0,1.69,-0.69,26.32,-66192.0,0.0,5000
10302131.0,10302645.0,10302645.0,147244.0,4993.11035,4992.37549,4992.0,1.78,-0.49,26.37,-66192.0,0.0,5000
10302925.0,10303439.0,10303439.0,147207.0,4992.24463,4992.66309,4992.5,3.13,-0.21,26.22,-66192.0,0.0,5000
10303719.0,10304232.0,10304232.0,147115.0,4990.09229,4992.49902,4992.5,3.23,-0.44,26.27,-66192.0,0.0,5000
10304512.0,10305026.0,10305026.0,146918.0,4985.48389,4991.55713,4991.5,5.13,0.0,26.37,-66192.0,0.0,5000
10305305.0,10305820.0,10305820.0,146692.0,4980.19678,4980.19678,4980.0,5.25,-0.21,26.32,-66192.0,0.0,5000
10306100.0,10306613.0,10306613.0,146464.0,4974.86328,4974.86328,4975.0,7.11,-0.4,26.18,-66192.0,0.0,5000
10306893.0,10307407.0,10307407.0,146374.0,4972.75781,4974.86328,4975.0,6.69,-0.61,26.37,-66192.0,0.0,5000
10307687.0,10308201.0,10308201.0,146199.0,4968.66357,4974.03906,4974.0,7.39,-0.43,26.32,-66192.0,0.0,5000
10308481.0,10308994.0,10308994.0,145641.0,4955.60986,4955.60986,4955.5,8.43,-0.23,26.27,-66192.0,0.0,5000
10309274.0,10309788.0,10309788.0,145121.0,4943.44482,4943.44482,4943.5,8.73,-1.96,26.22,-66192.0,0.0,5000
10310068.0,10310582.0,10310582.0,144674.0,4932.98779,4932.98779,4933.0,10.07,0.09,26.18,-66192.0,0.0,5000
10310862.0,10311375.0,10311375.0,144262.0,4923.34961,4923.34961,4923.0,12.29,-0.53,26.32,-66192.0,0.0,5000
10311657.0,10312169.0,10312169.0,142924.0,4892.04834,4892.04834,4892.0,14.29,-0.34,26.27,-66192.0,0.0,5000
10312450.0,10312963.0,10312963.0,141245.0,4852.77002,4852.77002,4853.0,16.52,-0.48,26.27,-66192.0,0.0,5000
10313244.0,10313756.0,10313756.0,139396.0,4809.51465,4809.51465,4809.5,17.34,-0.44,26.27,-66192.0,0.0,5000
10314038.0,10314550.0,10314550.0,137679.0,4769.34717,4769.34717,4769.0,18.95,0.4,26.32,-66192.0,0.0,5000
10314830.0,10315344.0,10315344.0,136249.0,4735.89404,4735.89404,4736.0,19.42,-0.45,26.32,-66192.0,0.0,5000
10315625.0,10316138.0,10316138.0,134766.0,4701.20068,4701.20068,4701.0,22.54,-0.67,26.32,-66192.0,0.0,5000
10316419.0,10316931.0,10316931.0,133850.0,4679.77197,4679.77197,4680.0,21.41,-0.64,26.32,-66192.0,0.0,5000
10317212.0,10317725.0,10317725.0,132975.0,4659.30225,4659.30225,4659.0,20.39,0.81,26.27,-66192.0,0.0,5000
10318005.0,10318518.0,10318518.0,132458.0,4647.20752,4647.20752,4647.0,22.29,0.5,26.27,-66192.0,0.0,5000
10318799.0,10319312.0,10319312.0,131833.0,4632.58643,4632.58643,4632.5,23.12,-0.32,26.27,-66192.0,0.0,5000
10319593.0,10320106.0,10320106.0,130767.0,4607.64844,4607.64844,4607.5,24.41,0.28,26.32,-66192.0,0.0,5000
10320386.0,10320899.0,10320899.0,129309.0,4573.54004,4573.54004,4573.5,23.9,-0.94,26.32,-66192.0,0.0,5000
10321180.0,10321693.0,10321693.0,128934.0,4564.76709,4564.76709,4565.0,25.07,-0.42,26.41,-66192.0,0.0,5000
10321974.0,10322487.0,10322487.0,127659.0,4534.93994,4534.93994,4535.0,25.51,0.34,26.27,-66192.0,0.0,5000
10322767.0,10323280.0,10323280.0,126978.0,4519.00879,4519.00879,4519.0,26.53,0.27,26.27,-66192.0,0.0,5000
10323561.0,10324074.0,10324074.0,126463.0,4506.96094,4506.96094,4507.0,27.52,-0.71,26.22,-66192.0,0.0,5000
10324355.0,10324868.0,10324868.0,126081.0,4498.02441,4498.02441,4498.0,26.51,-0.11,26.27,-66192.0,0.0,5000
10325149.0,10325661.0,10325662.0,126153.0,4499.7085,4498.02441,4498.0,26.09,0.17,26.27,-66192.0,0.0,5000
10325942.0,10326455.0,10326455.0,125405.0,4482.20996,4482.20996,4482.0,28.18,-0.24,26.32,-66192.0,0.0,5000
