tBeforeMeasure,tAfterMeasure,tAfterAlgo,realValue_WU,realValue,realValueFiltered,correctedValueFiltered,thetadeg,phideg,myTmp,OFFSET,tareButtonFlank,realWeight
10038622.0,10039134.0,10039134.0,147456.0,4998.06982,4998.08936,4998.0,-0.11,-0.33,26.18,-66192.0,0.0,5000
10039415.0,10039928.0,10039928.0,147464.0,4998.25684,4998.08154,4998.0,-0.59,-0.41,26.13,-66192.0,0.0,5000
10040209.0,10040722.0,10040722.0,147471.0,4998.4209,4998.1499,4998.0,-0.15,-0.66,26.18,-66192.0,0.0,5000
10041003.0,10041515.0,10041515.0,147439.0,4997.67236,4998.25586,4998.0,-0.69,-0.38,26.22,-66192.0,0.0,5000
10041796.0,10042309.0,10042309.0,147464.0,4998.25684,4998.02734,4998.0,-0.04,0.1,26.13,-66192.0,0.0,5000
10042589.0,10043102.0,10043102.0,147412.0,4997.04053,4998.11719,4998.0,-0.57,-0.7,26.08,-66192.0,0.0,5000
10043384.0,10043896.0,10043896.0,147463.0,4998.2334,4997.6958,4997.5,-0.21,-0.51,26.13,-66192.0,0.0,5000
10044177.0,10044690.0,10044690.0,147457.0,4998.09326,4997.90625,4998.0,-0.39,-0.28,26.18,-66192.0,0.0,5000
10044971.0,10045483.0,10045483.0,147468.0,4998.35059,4997.97949,4998.0,-0.28,-0.17,26.13,-66192.0,0.0,5000
10045764.0,10046277.0,10046277.0,147442.0,4997.74219,4998.12451,4998.0,-0.46,-0.21,26.13,-66192.0,0.0,5000
10046558.0,10047071.0,10047071.0,147477.0,4998.56104,4997.9751,4998.0,-0.18,-0.35,26.22,-66192.0,0.0,5000
10047352.0,10047864.0,10047864.0,147464.0,4998.25684,4998.20459,4998.0,-0.38,-0.22,26.18,-66192.0,0.0,5000
10048145.0,10048658.0,10048658.0,147462.0,4998.20996,4998.2251,4998.0,-0.31,-0.28,26.13,-66192.0,0.0,5000
10048939.0,10049451.0,10049451.0,147434.0,4997.55518,4998.21924,4998.0,-0.73,-0.96,26.13,-66192.0,0.0,5000
10049732.0,10050245.0,10050245.0,147442.0,4997.74219,4997.95947,4998.0,-0.41,-0.55,26.13,-66192.0,0.0,5000
10050526.0,10051039.0,10051039.0,147456.0,4998.06982,4997.87451,4998.0,-0.55,-0.06,26.13,-66192.0,0.0,5000
10051320.0,10051832.0,10051832.0,147473.0,4998.46777,4997.95068,4998.0,-0.11,-0.32,26.22,-66192.0,0.0,5000
10052113.0,10052626.0,10052626.0,147467.0,4998.32715,4998.15283,4998.0,-0.24,0.01,26.27,-66192.0,0.0,5000
10052906.0,10053419.0,10053419.0,147478.0,4998.58447,4998.22119,4998.0,0.18,-0.53,26.18,-66192.0,0.0,5000
10053700.0,10054213.0,10054213.0,147455.0,4998.04639,4998.36377,4998.0,-0.28,-0.65,26.18,-66192.0,0.0,5000
10054494.0,10055007.0,10055007.0,147469.0,4998.37402,4998.23975,4998.0,-0.35,-0.77,26.22,-66192.0,0.0,5000
10055288.0,10055800.0,10055800.0,147445.0,4997.8125,4998.29248,4998.0,-0.48,-0.45,26.18,-66192.0,0.0,5000
10056081.0,10056594.0,10056594.0,147506.0,4999.23975,4998.10449,4998.0,-0.41,-0.56,26.13,-66192.0,0.0,5000
10056875.0,10057388.0,10057388.0,147465.0,4998.28027,4998.54883,4998.5,-0.79,-0.63,26.22,-66192.0,0.0,5000
10057669.0,10058181.0,10058181.0,147455.0,4998.04639,4998.44385,4998.5,-0.31,-0.42,26.13,-66192.0,0.0,5000
10058462.0,10058975.0,10058975.0,147456.0,4998.06982,4998.28809,4998.0,-0.64,-0.55,26.13,-66192.0,0.0,5000
10059256.0,10059769.0,10059769.0,147461.0,4998.18701,4998.20264,4998.0,-0.33,-0.32,26.13,-66192.0,0.0,5000
10060050.0,10060562.0,10060562.0,147462.0,4998.20996,4998.19629,4998.0,-0.42,-0.36,26.22,-66192.0,0.0,5000
10060843.0,10061356.0,10061356.0,147452.0,4997.97607,4998.20166,4998.0,-0.04,-0.17,26.13,-66192.0,0.0,5000
10061637.0,10062150.0,10062150.0,147479.0,4998.60791,4998.11328,4998.0,-0.01,-0.18,26.13,-66192.0,0.0,5000
10062431.0,10062943.0,10062943.0,147455.0,4998.04639,4998.30713,4998.0,-0.25,-0.1,26.13,-66192.0,0.0,5000
10063224.0,10063737.0,10063737.0,147442.0,4997.74219,4998.20508,4998.0,-0.61,-0.45,26.22,-66192.0,0.0,5000
10064018.0,10064531.0,10064531.0,147450.0,4997.92969,4998.02393,4998.0,-0.46,-0.45,26.22,-66192.0,0.0,5000
10064812.0,10065324.0,10065325.0,147469.0,4998.37402,4997.9873,4998.0,-0.53,-0.01,26.22,-66192.0,0.0,5000
10065606.0,10066118.0,10066118.0,147446.0,4997.83594,4998.13867,4998.0,-0.27,-0.42,26.13,-66192.0,0.0,5000
