tBeforeMeasure,tAfterMeasure,tAfterAlgo,realValue_WU,OFFSET,calibrationFactor,relativeVal_WU,realValue_WU_AngleAdj,realValue_WU_MovAvg,realValue_WU_Filt,realValue,realValueFiltered,correctedValueFiltered,myAx,myAy,myAz,myGx,myGy,myGz,thetadeg,phideg,myTmp,bSync,vccReadBits,vccReadVolts,vccGPIO,vccVolts,ratioVCCMAX,B_DEBUG_MODE,B_SERIALPORT,BF_SERIALPORT,timeNorm,timeMeasure,timeAlgo,timeTotal,timeSim,realWeight
3408659,3409248,3409249,-24104,-23882,61.7977,-222,2752.4,2916.12,2987.168,48.33785,0,48.0,0.975586,-0.033203,0.015137,-3.007634,-0.954199,-0.618321,-87.85771,-65.49244,26.74176,False,0,0,0,0,0,True,True,False,0,589,1,590,0.0,1000
3409335,3409923,3409924,-24120,-23882,61.7977,-238,3083.191,2916.349,2959.353,47.88774,0,48.0,0.974365,-0.037598,0.009766,-3.022901,-1.053435,-0.534351,-87.71678,-75.43955,26.74176,False,0,0,0,0,0,True,True,False,676,588,1,589,675.3939393939394,1000
3410010,3410598,3410599,-24127,-23882,61.7977,-245,3325.446,2989.943,2942.517,47.61531,0,47.5,0.977539,-0.037842,0.016846,-3.068702,-1.0,-0.389313,-87.57341,-66.00307,26.83588,False,0,0,0,0,0,True,True,False,1351,588,1,589,1350.7878787878788,1000
3410686,3411274,3411275,-24103,-23882,61.7977,-221,3142.716,3040.544,2961.084,47.91576,0,48.0,0.975342,-0.041992,0.011963,-2.969466,-0.80916,-0.78626,-87.43656,-74.09843,26.74176,False,0,0,0,0,0,True,True,False,2027,588,1,589,2026.181818181818,1000
3411362,3411949,3411950,-24104,-23882,61.7977,-222,3599.423,3094.629,2992.192,48.41916,0,48.5,0.971191,-0.046875,0.015869,-2.969466,-1.053435,-0.648855,-87.08274,-71.29673,26.69471,False,0,0,0,0,0,True,True,False,2703,587,1,588,2701.5757575757575,1000
3412037,3412625,3412626,-24106,-23882,61.7977,-224,3276.713,3146.483,3032.296,49.06811,0,49.0,0.975098,-0.042969,0.013428,-3.083969,-0.954199,-0.435115,-87.35646,-72.64581,26.74176,False,0,0,0,0,0,True,True,False,3378,588,1,589,3376.969696969697,1000
3412712,3413300,3413301,-24143,-23882,61.7977,-261,3369.197,3221.301,3077.0,49.79151,0,50.0,0.96875,-0.034424,0.01709,-3.114504,-0.977099,-0.541985,-87.72793,-63.59757,26.78882,False,0,0,0,0,0,True,True,False,4053,588,1,589,4052.363636363636,1000
3413387,3413976,3413977,-24219,-23882,61.7977,-337,4269.873,3438.082,3133.494,50.70567,0,51.0,0.972168,-0.036133,0.010254,-3.0,-1.10687,-0.259542,-87.78728,-74.15675,26.74176,False,0,0,0,0,0,True,True,False,4728,589,1,590,4727.757575757576,1000
3414062,3414651,3414652,-24195,-23882,61.7977,-313,3786.732,3538.588,3252.74,52.6353,0,52.5,0.978516,-0.033203,0.011719,-3.267176,-0.938931,-0.679389,-87.93898,-70.5598,26.74176,False,0,0,0,0,0,True,True,False,5403,589,1,590,5403.151515151515,1000
3414739,3415327,3415327,-24192,-23882,61.7977,-310,4176.861,3660.219,3364.65,54.4462,0,54.5,0.973145,-0.039551,0.010254,-3.083969,-0.923664,-0.610687,-87.5956,-75.46537,26.74176,False,0,0,0,0,0,True,True,False,6080,588,0,588,6078.545454545454,1000
3415413,3416002,3416003,-24157,-23882,61.7977,-275,3383.894,3694.673,3480.365,56.31868,0,56.0,0.975586,-0.032959,0.014648,-3.160305,-0.961832,-0.473282,-87.88252,-66.03736,26.74176,False,0,0,0,0,0,True,True,False,6754,589,1,590,6753.939393939394,1000
3416089,3416677,3416678,-24143,-23882,61.7977,-261,3626.794,3698.583,3564.267,57.67636,0,57.5,0.971191,-0.041016,0.010498,-3.083969,-0.832061,-0.580153,-87.50365,-75.64305,26.69471,False,0,0,0,0,0,True,True,False,7430,588,1,589,7429.333333333333,1000
3416765,3417353,3417354,-24133,-23882,61.7977,-251,3481.244,3727.802,3616.852,58.52729,0,58.5,0.971436,-0.037842,0.018799,-3.229008,-0.923664,-0.564886,-87.50921,-63.58285,26.69471,False,0,0,0,0,0,True,True,False,8106,588,1,589,8104.727272727272,1000
3417440,3418028,3418029,-24121,-23882,61.7977,-239,3757.453,3783.267,3660.289,59.23018,0,59.0,0.973633,-0.046631,0.012451,-3.007634,-0.870229,-0.557252,-87.16187,-75.04974,26.74176,False,0,0,0,0,0,True,True,False,8781,588,1,589,8780.121212121212,1000
3418117,3418703,3418704,-24127,-23882,61.7977,-245,3422.293,3662.184,3708.435,60.00927,0,60.0,0.97168,-0.040283,0.013916,-3.167939,-0.923664,-0.717557,-87.48834,-70.94213,26.78882,False,0,0,0,0,0,True,True,False,9458,586,1,587,9455.515151515152,1000
3418790,3419379,3419380,-24106,-23882,61.7977,-224,3153.849,3571.772,3690.328,59.71626,0,60.0,0.973633,-0.04126,0.012451,-3.053435,-0.870229,-0.816794,-87.46527,-73.20732,26.74176,False,0,0,0,0,0,True,True,False,10131,589,1,590,10130.90909090909,1000
3419466,3420054,3420055,-24110,-23882,61.7977,-228,2682.486,3358.29,3643.913,58.96519,0,59.0,0.974854,-0.03125,0.011963,-3.076336,-0.969466,-0.480916,-88.03391,-69.05237,26.74176,False,0,0,0,0,0,True,True,False,10807,588,1,589,10806.30303030303,1000
3420141,3420730,3420730,-24110,-23882,61.7977,-228,2951.932,3296.581,3532.092,57.15572,0,57.0,0.973389,-0.035156,0.016357,-2.885496,-1.0,-0.709924,-87.71861,-65.04834,26.78882,False,0,0,0,0,0,True,True,False,11482,589,0,589,11481.69696969697,1000
3420816,3421405,3421406,-24134,-23882,61.7977,-252,3570.914,3288.598,3439.889,55.66371,0,55.5,0.974121,-0.040527,0.015625,-2.954198,-0.961832,-0.870229,-87.44672,-68.91608,26.69471,False,0,0,0,0,0,True,True,False,12157,589,1,590,12157.090909090908,1000
3421495,3422080,3422081,-24131,-23882,61.7977,-249,3597.295,3305.177,3380.659,54.70526,0,55.0,0.962647,-0.041504,0.01416,-3.068702,-0.946565,-0.503817,-87.39151,-71.1614,26.64765,False,0,0,0,0,0,True,True,False,12836,585,1,586,12832.484848484848,1000
3422167,3422756,3422757,-24077,-23882,61.7977,-195,2733.742,3158.932,3351.108,54.22706,0,54.0,0.967529,-0.039551,0.015869,-3.038168,-1.022901,-0.519084,-87.47778,-68.13748,26.64765,False,0,0,0,0,0,True,True,False,13508,589,1,590,13507.878787878788,1000
3422843,3423431,3423432,-24097,-23882,61.7977,-215,2609.496,3042.819,3275.871,53.0096,0,53.0,0.97876,-0.031006,0.01709,-3.175573,-0.816794,-0.48855,-87.92819,-61.13713,26.69471,False,0,0,0,0,0,True,True,False,14184,588,1,589,14183.272727272726,1000
3423518,3424107,3424108,-24097,-23882,61.7977,-215,2896.446,3006.047,3184.631,51.53316,0,51.5,0.963135,-0.036865,0.016602,-3.0,-0.946565,-0.51145,-87.59602,-65.75632,26.64765,False,0,0,0,0,0,True,True,False,14859,589,1,590,14858.666666666666,1000
3424193,3424782,3424783,-24127,-23882,61.7977,-245,3448.442,3115.469,3114.715,50.4018,0,50.5,0.962158,-0.039307,0.016357,-3.038168,-0.931298,-0.465649,-87.46618,-67.40525,26.69471,False,0,0,0,0,0,True,True,False,15534,589,1,590,15534.060606060606,1000
3424872,3425457,3425458,-24113,-23882,61.7977,-231,3213.586,3152.848,3115.01,50.40657,0,50.5,0.9729,-0.040039,0.01416,-2.946565,-1.076336,-0.931298,-87.5003,-70.52326,26.60059,False,0,0,0,0,0,True,True,False,16213,585,1,586,16209.454545454544,1000
3425545,3426133,3426134,-24080,-23882,61.7977,-198,2438.172,2991.028,3129.824,50.64628,0,50.5,0.980713,-0.035156,0.009033,-3.068702,-0.80916,-0.198473,-87.88013,-75.58971,26.64765,False,0,0,0,0,0,True,True,False,16886,588,1,589,16884.848484848484,1000
3426220,3426808,3426809,-24077,-23882,61.7977,-195,2661.814,2857.388,3075.485,49.76698,0,50.0,0.975586,-0.040283,0.010498,-3.045802,-0.931298,-0.641221,-87.55644,-75.39309,26.74176,False,0,0,0,0,0,True,True,False,17561,588,1,589,17560.242424242424,1000
3426895,3427484,3427484,-24110,-23882,61.7977,-228,3078.114,2906.584,2990.1,48.3853,0,48.0,0.977783,-0.038818,0.013672,-3.091603,-0.763359,-0.526718,-87.5896,-70.59751,26.69471,False,0,0,0,0,0,True,True,False,18236,589,0,589,18235.636363636364,1000
3427570,3428159,3428160,-24102,-23882,61.7977,-220,3130.008,2980.943,2957.403,47.85621,0,48.0,0.967041,-0.04126,0.013184,-2.80916,-0.854962,-0.519084,-87.43517,-72.27977,26.64765,False,0,0,0,0,0,True,True,False,18911,589,1,590,18911.030303030304,1000
3428247,3428834,3428835,-24104,-23882,61.7977,-222,2717.03,2955.312,2966.619,48.00533,0,48.0,0.975586,-0.031006,0.017822,-3.007634,-0.854962,-0.679389,-87.90038,-60.10944,26.64765,False,0,0,0,0,0,True,True,False,19588,587,1,588,19586.42424242424,1000
3428921,3429510,3429511,-24110,-23882,61.7977,-228,2785.643,2860.626,2962.192,47.9337,0,48.0,0.965576,-0.030029,0.018555,-2.885496,-0.877863,-0.51145,-87.90613,-58.28852,26.64765,False,0,0,0,0,0,True,True,False,20262,589,1,590,20261.81818181818,1000
3429597,3430185,3430186,-24092,-23882,61.7977,-210,3094.198,2843.571,2922.429,47.29026,0,47.0,0.97168,-0.044434,0.008301,-3.175573,-1.022901,-0.656489,-87.33633,-79.41818,26.69471,False,0,0,0,0,0,True,True,False,20938,588,1,589,20937.21212121212,1000
3430272,3430860,3430861,-24093,-23882,61.7977,-211,2885.708,2907.504,2891.556,46.79068,0,47.0,0.979492,-0.039063,0.015137,-3.083969,-0.900763,-0.48855,-87.55076,-68.81849,26.64765,False,0,0,0,0,0,True,True,False,21613,588,1,589,21612.60606060606,1000
3430947,3431536,3431537,-24118,-23882,61.7977,-236,3349.474,3005.742,2897.8,46.89171,0,47.0,0.974365,-0.042725,0.008301,-3.229008,-1.045802,-0.687023,-87.44218,-79.00504,26.64765,False,0,0,0,0,0,True,True,False,22288,589,1,590,22288.0,1000
3431625,3432211,3432212,-24110,-23882,61.7977,-228,2935.678,2985.394,2940.059,47.57554,0,47.5,0.970703,-0.037109,0.009766,-3.19084,-1.022901,-0.969466,-87.73602,-75.25626,26.64765,False,0,0,0,0,0,True,True,False,22966,586,1,587,22963.39393939394,1000
3432298,3432887,3432887,-24090,-23882,61.7977,-208,2718.291,2926.577,2957.808,47.86275,0,48.0,0.9646,-0.035645,0.015625,-3.0,-0.824428,-0.70229,-87.68933,-66.32931,26.69471,False,0,0,0,0,0,True,True,False,23639,589,0,589,23638.78787878788,1000
3432973,3433562,3433563,-24089,-23882,61.7977,-207,2815.862,2940.696,2945.581,47.66489,0,47.5,0.965332,-0.039307,0.011719,-2.870229,-1.076336,-0.465649,-87.5668,-73.39858,26.69471,False,0,0,0,0,0,True,True,False,24314,589,1,590,24314.181818181816,1000
3433649,3434237,3434238,-24090,-23882,61.7977,-208,2801.282,2942.93,2943.668,47.63395,0,47.5,0.976074,-0.037109,0.017334,-2.946565,-0.900763,-0.633588,-87.59695,-64.96233,26.64765,False,0,0,0,0,0,True,True,False,24990,588,1,589,24989.575757575756,1000
3434324,3434913,3434913,-24101,-23882,61.7977,-219,2830.485,2905.256,2943.379,47.62927,0,47.5,0.970459,-0.037109,0.010498,-3.076336,-0.89313,-0.603053,-87.72408,-74.2039,26.64765,False,0,0,0,0,0,True,True,False,25665,589,0,589,25664.969696969696,1000
3435002,3435588,3435589,-24108,-23882,61.7977,-226,3262.622,2959.101,2928.454,47.38775,0,47.0,0.965576,-0.040283,0.017578,-2.969466,-0.877863,-0.70229,-87.39359,-66.42514,26.69471,False,0,0,0,0,0,True,True,False,26343,586,1,587,26340.363636363636,1000
3435675,3436263,3436264,-24088,-23882,61.7977,-206,2863.911,2889.735,2940.452,47.58191,0,47.5,0.96875,-0.039063,0.016113,-3.19084,-0.816794,-0.618321,-87.50223,-67.58369,26.64765,False,0,0,0,0,0,True,True,False,27016,588,1,589,27015.757575757576,1000
3436350,3436938,3436939,-24105,-23882,61.7977,-223,2882.267,2882.105,2920.596,47.2606,0,47.0,0.969971,-0.037354,0.009521,-3.068702,-0.870229,-0.572519,-87.72398,-75.69955,26.64765,False,0,0,0,0,0,True,True,False,27691,588,1,589,27691.151515151516,1000
