tBeforeMeasure,tAfterMeasure,tAfterAlgo,realValue_WU,OFFSET,calibrationFactor,relativeVal_WU,realValue_WU_AngleAdj,realValue_WU_MovAvg,realValue_WU_Filt,realValue,realValueFiltered,correctedValueFiltered,myAx,myAy,myAz,myGx,myGy,myGz,thetadeg,phideg,myTmp,bSync,vccReadBits,vccReadVolts,vccGPIO,vccVolts,ratioVCCMAX,B_DEBUG_MODE,B_SERIALPORT,BF_SERIALPORT,B_WIFI,BF_WIFI,B_BLE,BF_BLE,timeNorm,timeMeasure,timeAlgo,timeTotal,timeSim
916698,917282,917283,-65491,-65471,42,-20,-20.00638,-22.00564,-22.61857,-0.538537,0,0.0,-0.025898,-0.003389,0.982627,-2.29771,-1.236641,-0.480916,1.509744,-0.197588,24.24765,False,1172.3,0.944711,1.032866,3.188508,0,False,True,False,False,True,False,True,0,584,1,585,0.0
917372,917956,917957,-65486,-65471,42,-15,-15.00375,-21.0055,-22.37861,-0.532824,0,0.0,-0.023213,0.002227,0.995566,-2.335878,-2.251908,-0.80916,1.335675,0.12814,24.20059,False,1171.2,0.943824,1.031897,3.185516,0,False,True,False,False,True,False,True,674,584,1,585,674.4508670520231
918046,918631,918632,-65474,-65471,42,-3,-3.0009,-18.29067,-21.84104,-0.520025,0,0.0,-0.025166,-0.003145,0.984824,-2.183206,-1.099237,-0.671756,1.463796,-0.182944,24.24765,False,1173.6,0.945758,1.034011,3.192044,0,False,True,False,False,True,False,True,1348,585,1,586,1348.9017341040462
918721,919305,919306,-65487,-65471,42,-16,-16.00492,-17.43355,-20.45107,-0.48693,0,0.0,-0.025654,0.004668,0.991416,-2.274809,-1.755725,-0.496183,1.482259,0.269768,24.20059,False,1171.2,0.943824,1.031897,3.185516,0,False,True,False,False,True,False,True,2023,584,1,585,2023.3526011560693
919395,919979,919980,-65477,-65471,42,-6,-6.001926,-12.86101,-19.26971,-0.458803,0,0.0,-0.026143,0.001006,0.988975,-2.381679,-0.519084,-0.412214,1.514201,0.058274,24.24765,False,1171.5,0.944066,1.032161,3.186332,0,False,True,False,False,True,False,True,2697,584,1,585,2697.8034682080925
920070,920654,920655,-65449,-65471,42,22,22.00744,-8.145232,-16.7607,-0.399064,0,0.0,-0.026875,-0.005098,0.990928,-2.419847,-0.717557,-0.59542,1.553517,-0.294745,24.24765,False,1172.1,0.944549,1.03269,3.187964,0,False,True,False,False,True,False,True,3372,584,1,585,3372.2543352601156
920744,921328,921329,-65462,-65471,42,9,9.00305,-4.143915,-13.38775,-0.318756,0,0.0,-0.026875,-0.005098,0.989707,-2.48855,0.068702,-0.534351,1.555432,-0.295108,24.10647,False,1171.9,0.944388,1.032514,3.18742,0,False,True,False,False,True,False,True,4046,584,1,585,4046.7052023121387
921418,922003,922004,-65472,-65471,42,-1,-1.00038,-1.428772,-9.768786,-0.23259,0,0.0,-0.028584,0.005156,0.994102,-2.496183,0.274809,-0.335878,1.646979,0.297181,24.20059,False,1172.9,0.945194,1.033395,3.19014,0,False,True,False,False,True,False,True,4720,585,1,586,4721.156069364162
922092,922677,922678,-65492,-65471,42,-21,-21.00929,-2.286706,-6.503671,-0.154849,0,0.0,-0.030537,0.002959,0.984336,-2.396947,0.931298,-1.007634,1.776908,0.172234,24.15353,False,1170.9,0.943582,1.031633,3.1847,0,False,True,False,False,True,False,True,5394,585,1,586,5395.606936416185
922767,923352,923352,-65480,-65471,42,-9,-9.001831,-3.143982,-4.852729,-0.115541,0,0.0,-0.020771,-0.002168,0.987266,-2.442748,0.648855,-0.526718,1.205286,-0.125817,24.20059,False,1172.6,0.944952,1.03313,3.189324,0,False,True,False,False,True,False,True,6069,585,0,585,6070.057803468208
