tBeforeMeasure,tAfterMeasure,tAfterAlgo,correctedValueFiltered,realValue_WU,thetadeg,phideg,myTmp,tareButtonFlank,realWeight
2472471.0,2473062.0,2473062.0,905.5,-29174.0,35.26,135.0,36.53,0.0,900
2473165.0,2473756.0,2473756.0,906.0,-29177.0,35.26,135.0,36.53,0.0,900
2473860.0,2474451.0,2474451.0,906.0,-29180.0,35.26,135.0,36.53,0.0,900
2474554.0,2475145.0,2475145.0,906.0,-29169.0,35.26,135.0,36.53,0.0,900
2475249.0,2475840.0,2475840.0,906.0,-29195.0,35.26,135.0,36.53,0.0,900
2475943.0,2476534.0,2476534.0,906.0,-29196.0,35.26,135.0,36.53,0.0,900
2476638.0,2477229.0,2477229.0,906.0,-29176.0,35.26,135.0,36.53,0.0,900
2477332.0,2477923.0,2477923.0,906.0,-29191.0,35.26,135.0,36.53,0.0,900
2478027.0,2478617.0,2478617.0,906.0,-29179.0,35.26,135.0,36.53,0.0,900
2478721.0,2479312.0,2479312.0,906.0,-29173.0,35.26,135.0,36.53,0.0,900
2479415.0,2480006.0,2480006.0,906.0,-29191.0,35.26,135.0,36.53,0.0,900
2480110.0,2480701.0,2480701.0,906.0,-29163.0,35.26,135.0,36.53,0.0,900
2480804.0,2481395.0,2481395.0,906.0,-29180.0,35.26,135.0,36.53,0.0,900
2481499.0,2482089.0,2482089.0,906.0,-29187.0,35.26,135.0,36.53,0.0,900
2482193.0,2482784.0,2482784.0,906.0,-29206.0,35.26,135.0,36.53,0.0,900
2482887.0,2483478.0,2483478.0,906.0,-29190.0,35.26,135.0,36.53,0.0,900
2483582.0,2484172.0,2484172.0,906.0,-29194.0,35.26,135.0,36.53,0.0,900
2484276.0,2484867.0,2484867.0,906.0,-29190.0,35.26,135.0,36.53,0.0,900
2484971.0,2485561.0,2485561.0,906.0,-29172.0,35.26,135.0,36.53,0.0,900
2485665.0,2486256.0,2486256.0,906.0,-29195.0,35.26,135.0,36.53,0.0,900
2486359.0,2486950.0,2486950.0,906.0,-29200.0,35.26,135.0,36.53,0.0,900
2487054.0,2487645.0,2487645.0,906.0,-29179.0,35.26,135.0,36.53,0.0,900
2487748.0,2488339.0,2488339.0,906.0,-29177.0,35.26,135.0,36.53,0.0,900
2488443.0,2489034.0,2489034.0,906.0,-29191.0,35.26,135.0,36.53,0.0,900
2489137.0,2489728.0,2489728.0,906.0,-29173.0,35.26,135.0,36.53,0.0,900
2489832.0,2490422.0,2490422.0,906.0,-29199.0,35.26,135.0,36.53,0.0,900
2490526.0,2491117.0,2491117.0,906.0,-29193.0,35.26,135.0,36.53,0.0,900
2491221.0,2491811.0,2491811.0,906.0,-29195.0,35.26,135.0,36.53,0.0,900
2491915.0,2492506.0,2492506.0,906.0,-29201.0,35.26,135.0,36.53,0.0,900
2492609.0,2493200.0,2493200.0,906.0,-29207.0,35.26,135.0,36.53,0.0,900
2493304.0,2493895.0,2493895.0,905.5,-29202.0,35.26,135.0,36.53,0.0,900
2493998.0,2494589.0,2494589.0,905.5,-29212.0,35.26,135.0,36.53,0.0,900
2494693.0,2495283.0,2495283.0,905.5,-29185.0,35.26,135.0,36.53,0.0,900
2495387.0,2495978.0,2495978.0,906.0,-29203.0,35.26,135.0,36.53,0.0,900
2496081.0,2496672.0,2496672.0,905.5,-29186.0,35.26,135.0,36.53,0.0,900
2496776.0,2497366.0,2497366.0,906.0,-29167.0,35.26,135.0,36.53,0.0,900
2497470.0,2498061.0,2498061.0,906.0,-29195.0,35.26,135.0,36.53,0.0,900
2498164.0,2498755.0,2498755.0,906.0,-29190.0,35.26,135.0,36.53,0.0,900
2498859.0,2499450.0,2499450.0,906.0,-29180.0,35.26,135.0,36.53,0.0,900
2499553.0,2500144.0,2500144.0,906.0,-29192.0,35.26,135.0,36.53,0.0,900
2500248.0,2500838.0,2500838.0,906.0,-29174.0,35.26,135.0,36.53,0.0,900
2500942.0,2501533.0,2501533.0,906.0,-29194.0,35.26,135.0,36.53,0.0,900
2501636.0,2502227.0,2502227.0,906.0,-29214.0,35.26,135.0,36.53,0.0,900
2502331.0,2502921.0,2502921.0,906.0,-29207.0,35.26,135.0,36.53,0.0,900
2503025.0,2503616.0,2503616.0,905.5,-29187.0,35.26,135.0,36.53,0.0,900
2503719.0,2504310.0,2504310.0,906.0,-29173.0,35.26,135.0,36.53,0.0,900
2504414.0,2505005.0,2505005.0,906.0,-29194.0,35.26,135.0,36.53,0.0,900
2505108.0,2505699.0,2505699.0,906.0,-29185.0,35.26,135.0,36.53,0.0,900
2505803.0,2506394.0,2506394.0,906.0,-29190.0,35.26,135.0,36.53,0.0,900
2506497.0,2507088.0,2507088.0,906.0,-29174.0,35.26,135.0,36.53,0.0,900
