tBeforeMeasure,tAfterMeasure,tAfterAlgo,correctedValueFiltered,realValue_WU,thetadeg,phideg,myTmp,tareButtonFlank,realWeight
2971053.0,2971645.0,2971645.0,99.0,-63425.0,35.26,135.0,36.53,0.0,100
2971747.0,2972339.0,2972339.0,98.5,-63387.0,35.26,135.0,36.53,0.0,100
2972441.0,2973033.0,2973033.0,99.0,-63449.0,35.26,135.0,36.53,0.0,100
2973136.0,2973728.0,2973728.0,98.5,-63408.0,35.26,135.0,36.53,0.0,100
2973830.0,2974422.0,2974422.0,98.5,-63432.0,35.26,135.0,36.53,0.0,100
2974524.0,2975116.0,2975116.0,98.5,-63415.0,35.26,135.0,36.53,0.0,100
2975219.0,2975811.0,2975811.0,98.5,-63402.0,35.26,135.0,36.53,0.0,100
2975913.0,2976505.0,2976505.0,99.0,-63398.0,35.26,135.0,36.53,0.0,100
2976608.0,2977199.0,2977199.0,99.0,-63410.0,35.26,135.0,36.53,0.0,100
2977302.0,2977894.0,2977894.0,99.0,-63418.0,35.26,135.0,36.53,0.0,100
2977996.0,2978588.0,2978588.0,99.0,-63415.0,35.26,135.0,36.53,0.0,100
2978691.0,2979283.0,2979283.0,99.0,-63433.0,35.26,135.0,36.53,0.0,100
2979385.0,2979977.0,2979977.0,98.5,-63411.0,35.26,135.0,36.53,0.0,100
2980079.0,2980671.0,2980671.0,98.5,-63411.0,35.26,135.0,36.53,0.0,100
2980774.0,2981366.0,2981366.0,99.0,-63410.0,35.26,135.0,36.53,0.0,100
2981468.0,2982060.0,2982060.0,99.0,-63390.0,35.26,135.0,36.53,0.0,100
2982162.0,2982754.0,2982754.0,99.0,-63440.0,35.26,135.0,36.53,0.0,100
2982857.0,2983449.0,2983449.0,98.5,-63421.0,35.26,135.0,36.53,0.0,100
2983551.0,2984143.0,2984143.0,98.5,-63402.0,35.26,135.0,36.53,0.0,100
2984245.0,2984837.0,2984837.0,99.0,-63399.0,35.26,135.0,36.53,0.0,100
2984940.0,2985532.0,2985532.0,99.0,-63410.0,35.26,135.0,36.53,0.0,100
2985634.0,2986226.0,2986226.0,99.0,-63419.0,35.26,135.0,36.53,0.0,100
2986329.0,2986920.0,2986920.0,99.0,-63427.0,35.26,135.0,36.53,0.0,100
2987023.0,2987615.0,2987615.0,98.5,-63418.0,35.26,135.0,36.53,0.0,100
2987717.0,2988309.0,2988309.0,98.5,-63433.0,35.26,135.0,36.53,0.0,100
2988412.0,2989004.0,2989004.0,98.5,-63420.0,35.26,135.0,36.53,0.0,100
2989106.0,2989698.0,2989698.0,98.5,-63440.0,35.26,135.0,36.53,0.0,100
2989800.0,2990392.0,2990392.0,98.0,-63420.0,35.26,135.0,36.53,0.0,100
2990495.0,2991087.0,2991087.0,98.5,-63404.0,35.26,135.0,36.53,0.0,100
2991189.0,2991781.0,2991781.0,98.5,-63428.0,35.26,135.0,36.53,0.0,100
2991884.0,2992475.0,2992475.0,98.5,-63414.0,35.26,135.0,36.53,0.0,100
2992578.0,2993170.0,2993170.0,98.5,-63405.0,35.26,135.0,36.53,0.0,100
2993272.0,2993864.0,2993864.0,99.0,-63414.0,35.26,135.0,36.53,0.0,100
2993967.0,2994558.0,2994558.0,99.0,-63433.0,35.26,135.0,36.53,0.0,100
2994661.0,2995253.0,2995253.0,98.5,-63417.0,35.26,135.0,36.53,0.0,100
2995355.0,2995947.0,2995947.0,98.5,-63387.0,35.26,135.0,36.53,0.0,100
2996050.0,2996641.0,2996641.0,99.0,-63402.0,35.26,135.0,36.53,0.0,100
2996744.0,2997336.0,2997336.0,99.0,-63433.0,35.26,135.0,36.53,0.0,100
2997438.0,2998030.0,2998030.0,98.5,-63424.0,35.26,135.0,36.53,0.0,100
2998133.0,2998725.0,2998725.0,98.5,-63429.0,35.26,135.0,36.53,0.0,100
2998827.0,2999419.0,2999419.0,98.5,-63412.0,35.26,135.0,36.53,0.0,100
2999521.0,3000113.0,3000113.0,98.5,-63417.0,35.26,135.0,36.53,0.0,100
3000216.0,3000808.0,3000808.0,98.5,-63424.0,35.26,135.0,36.53,0.0,100
3000910.0,3001502.0,3001502.0,98.5,-63440.0,35.26,135.0,36.53,0.0,100
3001604.0,3002196.0,3002196.0,98.0,-63418.0,35.26,135.0,36.53,0.0,100
3002299.0,3002891.0,3002891.0,98.5,-63406.0,35.26,135.0,36.53,0.0,100
3002993.0,3003585.0,3003585.0,98.5,-63428.0,35.26,135.0,36.53,0.0,100
3003687.0,3004279.0,3004279.0,98.5,-63415.0,35.26,135.0,36.53,0.0,100
3004382.0,3004974.0,3004974.0,98.5,-63405.0,35.26,135.0,36.53,0.0,100
3005076.0,3005668.0,3005668.0,99.0,-63401.0,35.26,135.0,36.53,0.0,100
