tBeforeMeasure1,tAfterMeasure1,tAfterAlgo1,realValue_WU1,offset1,calibrationFactor,relativeVal_WU1,realValue_WU_AngleAdj,realValue_WU_MovAvg1,realValue_WU_Filt1,realValue1,realValueFiltered,correctedValueFiltered1,tBeforeMeasure2,tAfterMeasure2,tAfterAlgo2,realValue_WU2,offset2,relativeVal_WU2,realValue_WU_MovAvg2,realValue_WU_Filt2,realValue2,correctedValueFiltered2,myAx,myAy,myAz,myGx,myGy,myGz,thetadeg,phideg,myTmp,bSync,vccReadBits,vccReadVolts,vccGPIO
4708976,4709503,4709504,-55660,-79695,42,24035,0,24043.71,24043.22,572.4577,0,572.5,4709504,4710023,4710023,-99891,-122718,22827,22830.43,22831.42,543.6052,543.5,0.685791,0.914307,0.129639,-50.72519,-2.366412,0.274809,-36.59893,81.92969,27.16529,False,0,0,0
4710095,4710685,4710685,-55645,-79695,42,24050,0,24044.43,24043.42,572.4623,0,572.5,4710685,4711236,4711236,-99887,-122718,22831,22832.29,22831.03,543.5959,543.5,0.685791,0.914307,0.129639,-50.72519,-2.366412,0.274809,-36.59893,81.92969,27.16529,False,0,0,0
4711308,4711866,4711866,-55624,-79695,42,24071,0,24049.57,24043.81,572.4717,0,572.5,4711866,4712355,4712356,-99868,-122718,22850,22832.29,22831.52,543.6077,543.5,0.685791,0.914307,0.129639,-50.72519,-2.366412,0.274809,-36.59893,81.92969,27.16529,False,0,0,0
4712427,4712949,4712949,-55640,-79695,42,24055,0,24050.86,24046.07,572.5254,0,572.5,4712949,4713475,4713475,-99882,-122718,22836,22836.57,22831.82,543.6147,543.5,0.685791,0.914307,0.129639,-50.72519,-2.366412,0.274809,-36.59893,81.92969,27.16529,False,0,0,0
4713547,4714130,4714131,-55647,-79695,42,24048,0,24050.71,24047.94,572.57,0,572.5,4714131,4714687,4714688,-99894,-122718,22824,22835.71,22833.68,543.6591,543.5,0.685791,0.914307,0.129639,-50.72519,-2.366412,0.274809,-36.59893,81.92969,27.16529,False,0,0,0
4714810,4715311,4715312,-55653,-79695,42,24042,0,24051.0,24049.03,572.5959,0,572.5,4715312,4715807,4715807,-99874,-122718,22844,22837.57,22834.48,543.678,543.5,0.685791,0.914307,0.129639,-50.72519,-2.366412,0.274809,-36.59893,81.92969,27.16529,False,0,0,0
4715929,4716493,4716493,-55638,-79695,42,24057,0,24051.14,24049.8,572.6143,0,572.5,4716493,4717020,4717020,-99885,-122718,22833,22835.0,22835.69,543.7068,544.0,0.685791,0.914307,0.129639,-50.72519,-2.366412,0.274809,-36.59893,81.92969,27.16529,False,0,0,0
4717091,4717674,4717675,-55636,-79695,42,24059,0,24054.57,24050.33,572.6268,0,572.5,4717675,4718232,4718232,-99869,-122718,22849,22838.14,22835.42,543.7004,544.0,0.685791,0.914307,0.129639,-50.72519,-2.366412,0.274809,-36.59893,81.92969,27.16529,False,0,0,0
4718304,4718855,4718856,-55641,-79695,42,24054,0,24055.14,24051.99,572.6664,0,572.5,4718856,4719352,4719352,-99862,-122718,22856,22841.71,22836.48,543.7258,544.0,0.685791,0.914307,0.129639,-50.72519,-2.366412,0.274809,-36.59893,81.92969,27.16529,False,0,0,0
4719473,4720037,4720037,-55652,-79695,42,24043,0,24051.14,24053.22,572.6958,0,572.5,4720037,4720564,4720565,-99882,-122718,22836,22839.71,22838.53,543.7745,544.0,0.685791,0.914307,0.129639,-50.72519,-2.366412,0.274809,-36.59893,81.92969,27.16529,False,0,0,0
4720637,4721218,4721218,-55653,-79695,42,24042,0,24049.29,24052.41,572.6764,0,572.5,4721218,4721777,4721777,-99866,-122718,22852,22842.0,22838.99,543.7856,544.0,0.685791,0.914307,0.129639,-50.72519,-2.366412,0.274809,-36.59893,81.92969,27.16529,False,0,0,0
4721848,4722399,4722400,-55635,-79695,42,24060,0,24051.0,24051.19,572.6473,0,572.5,4722400,4722896,4722897,-99905,-122718,22813,22840.43,22840.17,543.8136,544.0,0.685791,0.914307,0.129639,-50.72519,-2.366412,0.274809,-36.59893,81.92969,27.16529,False,0,0,0
4722968,4723482,4723483,-55668,-79695,42,24027,0,24048.86,24051.11,572.6456,0,572.5,4723483,4724016,4724016,-99891,-122718,22827,22838.0,22840.27,543.816,544.0,0.685791,0.914307,0.129639,-50.72519,-2.366412,0.274809,-36.59893,81.92969,27.16529,False,0,0,0
4724087,4724664,4724664,-55661,-79695,42,24034,0,24045.57,24050.23,572.6245,0,572.5,4724664,4725135,4725135,-99885,-122718,22833,22838.0,22839.38,543.7948,544.0,0.685791,0.914307,0.129639,-50.72519,-2.366412,0.274809,-36.59893,81.92969,27.16529,False,0,0,0
4725207,4725746,4725747,-55659,-79695,42,24036,0,24042.29,24048.41,572.5811,0,572.5,4725747,4726255,4726255,-99889,-122718,22829,22835.14,22838.84,543.7819,544.0,0.685791,0.914307,0.129639,-50.72519,-2.366412,0.274809,-36.59893,81.92969,27.16529,False,0,0,0
