tBeforeMeasure1,tAfterMeasure1,tAfterAlgo1,realValue_WU1,offset1,calibrationFactor,relativeVal_WU1,realValue_WU_AngleAdj,realValue_WU_MovAvg1,realValue_WU_Filt1,realValue1,realValueFiltered,correctedValueFiltered1,tBeforeMeasure2,tAfterMeasure2,tAfterAlgo2,realValue_WU2,offset2,relativeVal_WU2,realValue_WU_MovAvg2,realValue_WU_Filt2,realValue2,correctedValueFiltered2,myAx,myAy,myAz,myGx,myGy,myGz,thetadeg,phideg,myTmp,bSync,vccReadBits,vccReadVolts,vccGPIO
5749389,5749977,5749977,-37924,-79695,42,41771,0,41787.14,41787.56,994.9419,0,995,5749977,5750530,5750530,-116318,-122718,6400,6396.143,6397.811,152.3288,152.0,0.685791,0.914307,0.129639,-50.72519,-2.366412,0.274809,-36.59893,81.92969,27.16529,False,0,0,0
5750652,5751158,5751158,-37926,-79695,42,41769,0,41783.0,41787.4,994.938,0,995,5751158,5751649,5751650,-116309,-122718,6409,6396.857,6397.158,152.3133,152.0,0.685791,0.914307,0.129639,-50.72519,-2.366412,0.274809,-36.59893,81.92969,27.16529,False,0,0,0
5751721,5752241,5752241,-37905,-79695,42,41790,0,41784.29,41785.68,994.897,0,995,5752241,5752769,5752769,-116326,-122718,6392,6395.286,6397.04,152.3105,152.0,0.685791,0.914307,0.129639,-50.72519,-2.366412,0.274809,-36.59893,81.92969,27.16529,False,0,0,0
5752840,5753422,5753423,-37911,-79695,42,41784,0,41782.29,41785.13,994.8841,0,995,5753423,5753981,5753981,-116321,-122718,6397,6398.857,6396.354,152.2941,152.0,0.685791,0.914307,0.129639,-50.72519,-2.366412,0.274809,-36.59893,81.92969,27.16529,False,0,0,0
5754053,5754604,5754604,-37929,-79695,42,41766,0,41778.71,41784.02,994.8576,0,995,5754604,5755100,5755101,-116324,-122718,6394,6398.0,6397.333,152.3175,152.0,0.685791,0.914307,0.129639,-50.72519,-2.366412,0.274809,-36.59893,81.92969,27.16529,False,0,0,0
5755171,5755687,5755687,-37901,-79695,42,41794,0,41782.71,41781.94,994.8081,0,995,5755687,5756220,5756220,-116326,-122718,6392,6397.429,6397.594,152.3237,152.0,0.685791,0.914307,0.129639,-50.72519,-2.366412,0.274809,-36.59893,81.92969,27.16529,False,0,0,0
5756291,5756868,5756868,-37925,-79695,42,41770,0,41777.71,41782.24,994.8153,0,995,5756868,5757339,5757339,-116309,-122718,6409,6399.0,6397.529,152.3221,152.0,0.685791,0.914307,0.129639,-50.72519,-2.366412,0.274809,-36.59893,81.92969,27.16529,False,0,0,0
5757410,5757951,5757951,-37909,-79695,42,41786,0,41779.86,41780.47,994.7731,0,995,5757951,5758458,5758458,-116319,-122718,6399,6398.857,6398.105,152.3358,152.0,0.685791,0.914307,0.129639,-50.72519,-2.366412,0.274809,-36.59893,81.92969,27.16529,False,0,0,0
5758529,5759034,5759034,-37894,-79695,42,41801,0,41784.43,41780.23,994.7674,0,995,5759034,5759577,5759578,-116297,-122718,6421,6400.571,6398.399,152.3428,152.0,0.685791,0.914307,0.129639,-50.72519,-2.366412,0.274809,-36.59893,81.92969,27.16529,False,0,0,0
5759649,5760215,5760216,-37913,-79695,42,41782,0,41783.29,41781.88,994.8065,0,995,5760216,5760697,5760697,-116301,-122718,6417,6404.143,6399.25,152.3631,152.0,0.685791,0.914307,0.129639,-50.72519,-2.366412,0.274809,-36.59893,81.92969,27.16529,False,0,0,0
5760768,5761298,5761299,-37897,-79695,42,41798,0,41785.29,41782.43,994.8196,0,995,5761299,5761816,5761816,-116335,-122718,6383,6402.143,6401.166,152.4087,152.5,0.685791,0.914307,0.129639,-50.72519,-2.366412,0.274809,-36.59893,81.92969,27.16529,False,0,0,0
5761888,5762381,5762382,-37920,-79695,42,41775,0,41786.57,41783.55,994.8464,0,995,5762382,5762935,5762935,-116315,-122718,6403,6403.429,6401.548,152.4178,152.5,0.685791,0.914307,0.129639,-50.72519,-2.366412,0.274809,-36.59893,81.92969,27.16529,False,0,0,0
5763007,5763563,5763563,-37929,-79695,42,41766,0,41782.57,41784.73,994.8745,0,995,5763563,5764054,5764055,-116311,-122718,6407,6405.571,6402.285,152.4353,152.5,0.685791,0.914307,0.129639,-50.72519,-2.366412,0.274809,-36.59893,81.92969,27.16529,False,0,0,0
5764126,5764646,5764646,-37902,-79695,42,41793,0,41785.86,41783.88,994.8544,0,995,5764646,5765174,5765174,-116303,-122718,6415,6406.429,6403.571,152.466,152.5,0.685791,0.914307,0.129639,-50.72519,-2.366412,0.274809,-36.59893,81.92969,27.16529,False,0,0,0
5765245,5765827,5765827,-37922,-79695,42,41773,0,41784.0,41784.66,994.8727,0,995,5765827,5766386,5766386,-116295,-122718,6423,6409.857,6404.69,152.4926,152.5,0.685791,0.914307,0.129639,-50.72519,-2.366412,0.274809,-36.59893,81.92969,27.16529,False,0,0,0
