tBeforeMeasure1,tAfterMeasure1,tAfterAlgo1,realValue_WU1,offset1,calibrationFactor,relativeVal_WU1,realValue_WU_AngleAdj,realValue_WU_MovAvg1,realValue_WU_Filt1,realValue1,realValueFiltered,correctedValueFiltered1,tBeforeMeasure2,tAfterMeasure2,tAfterAlgo2,realValue_WU2,offset2,relativeVal_WU2,realValue_WU_MovAvg2,realValue_WU_Filt2,realValue2,correctedValueFiltered2,myAx,myAy,myAz,myGx,myGy,myGz,thetadeg,phideg,myTmp,bSync,vccReadBits,vccReadVolts,vccGPIO
3032313,3032314,3032315,0,0,42,0,0,0,0,0,0,0,3032315,3032899,3032899,-112018,-112028,10,13.14286,8.671262,0.206459,0,1.021484,0.762451,-0.059326,-50.8855,-1.793893,1.770992,-53.17874,94.44899,22.88294,False,0,0,0
3032967,3032968,3032968,0,0,42,0,0,0,0,0,0,0,3032968,3033553,3033553,-112006,-112028,22,16.28572,10.42189,0.24814,0,1.03833,0.759522,-0.071533,-50.89313,-1.908397,1.839695,-53.69438,95.38013,22.93,False,0,0,0
3033620,3033621,3033622,0,0,42,0,0,0,0,0,0,0,3033622,3034207,3034207,-112028,-112028,0,13.85714,12.71758,0.302799,0,1.021973,0.760742,-0.065918,-50.80153,-1.900763,1.732824,-53.2337,94.95206,22.78882,False,0,0,0
3034275,3034276,3034277,0,0,42,0,0,0,0,0,0,0,3034277,3034860,3034861,-112043,-112028,-15,10.0,13.16372,0.313422,0,1.026855,0.757813,-0.071045,-50.8397,-2.137405,1.679389,-53.45295,95.35561,22.83588,False,0,0,0
3034928,3034929,3034929,0,0,42,0,0,0,0,0,0,0,3034929,3035514,3035515,-112022,-112028,6,7.142857,11.92512,0.283932,0,1.020752,0.752686,-0.062988,-50.72519,-1.954199,1.709924,-53.49988,94.78342,22.93,False,0,0,0
3035582,3035582,3035583,0,0,42,0,0,0,0,0,0,0,3035583,3036168,3036169,-112039,-112028,-11,3.142857,10.05287,0.239354,0,1.033203,0.762451,-0.064209,-50.9542,-1.961832,1.755725,-53.47767,94.81352,22.83588,False,0,0,0
3036236,3036237,3036238,0,0,42,0,0,0,0,0,0,0,3036238,3036822,3036822,-112008,-112028,20,4.571429,7.347597,0.174943,0,1.037109,0.767334,-0.055664,-50.8168,-2.0,1.847328,-53.43105,94.14887,22.88294,False,0,0,0
3036889,3036890,3036891,0,0,42,0,0,0,0,0,0,0,3036891,3037476,3037476,-112036,-112028,-8,2.0,6.260727,0.149065,0,1.020264,0.751221,-0.063477,-50.64885,-2.10687,1.725191,-53.53828,94.82968,22.97706,False,0,0,0
3037543,3037544,3037545,0,0,42,0,0,0,0,0,0,0,3037545,3038129,3038130,-112035,-112028,-7,-2.142857,4.592653,0.109349,0,1.008301,0.749756,-0.064209,-50.85496,-2.045802,1.78626,-53.2657,94.89464,22.97706,False,0,0,0
3038198,3038199,3038200,0,0,42,0,0,0,0,0,0,0,3038200,3038783,3038784,-112044,-112028,-16,-4.428571,1.955701,0.046564,0,1.020752,0.766602,-0.064697,-50.80153,-2.091603,1.503817,-52.99504,94.82382,22.93,False,0,0,0
3038851,3038852,3038853,0,0,42,0,0,0,0,0,0,0,3038853,3039437,3039438,-112027,-112028,1,-2.142857,-0.543742,-0.012946,0,1.004639,0.746094,-0.063232,-50.96947,-1.923664,1.862595,-53.3023,94.84409,22.78882,False,0,0,0
3039505,3039506,3039507,0,0,42,0,0,0,0,0,0,0,3039507,3040091,3040092,-112020,-112028,8,-1.857143,-1.169795,-0.027852,0,1.026855,0.763428,-0.061279,-50.70992,-1.908397,1.778626,-53.28235,94.589,22.93,False,0,0,0
3040159,3040160,3040161,0,0,42,0,0,0,0,0,0,0,3040161,3040745,3040745,-112025,-112028,3,0.142857,-1.438892,-0.034259,0,1.013184,0.756348,-0.064209,-50.96183,-2.007634,1.717557,-53.15965,94.85218,22.83588,False,0,0,0
3040813,3040814,3040814,0,0,42,0,0,0,0,0,0,0,3040814,3041399,3041399,-112050,-112028,-22,-5.857143,-0.819637,-0.019515,0,1.019287,0.75708,-0.06543,-50.66412,-2.030534,1.816794,-53.29449,94.93922,22.83588,False,0,0,0
3041467,3041467,3041468,0,0,42,0,0,0,0,0,0,0,3041468,3042052,3042053,-112063,-112028,-35,-9.714286,-2.791821,-0.066472,0,1.005859,0.745606,-0.055908,-50.8397,-2.022901,1.992366,-53.37486,94.288,22.88294,False,0,0,0
