tBeforeMeasure1,tAfterMeasure1,tAfterAlgo1,realValue_WU1,offset1,calibrationFactor,relativeVal_WU1,realValue_WU_AngleAdj,realValue_WU_MovAvg1,realValue_WU_Filt1,realValue1,realValueFiltered,correctedValueFiltered1,tBeforeMeasure2,tAfterMeasure2,tAfterAlgo2,realValue_WU2,offset2,relativeVal_WU2,realValue_WU_MovAvg2,realValue_WU_Filt2,realValue2,correctedValueFiltered2,myAx,myAy,myAz,myGx,myGy,myGz,thetadeg,phideg,myTmp,bSync,vccReadBits,vccReadVolts,vccGPIO
5923909,5924430,5924430,-64662,-79695,42,15033,0,15055.29,15059.0,358.5476,0,358.5,5924430,5924958,5924958,-91019,-122718,31699,31677.57,31674.0,754.1429,754.0,0.685791,0.914307,0.129639,-50.72519,-2.366412,0.274809,-36.59893,81.92969,27.16529,False,0,0,0
5925029,5925611,5925612,-64638,-79695,42,15057,0,15055.0,15057.55,358.513,0,358.5,5925612,5926171,5926171,-91043,-122718,31675,31677.71,31675.4,754.1761,754.0,0.685791,0.914307,0.129639,-50.72519,-2.366412,0.274809,-36.59893,81.92969,27.16529,False,0,0,0
5926242,5926793,5926793,-64656,-79695,42,15039,0,15052.14,15056.55,358.4893,0,358.5,5926793,5927290,5927291,-91018,-122718,31700,31681.43,31676.3,754.1978,754.0,0.685791,0.914307,0.129639,-50.72519,-2.366412,0.274809,-36.59893,81.92969,27.16529,False,0,0,0
5927363,5927876,5927876,-64635,-79695,42,15060,0,15052.29,15054.82,358.4482,0,358.5,5927876,5928410,5928410,-91015,-122718,31703,31685.57,31678.31,754.2455,754.0,0.685791,0.914307,0.129639,-50.72519,-2.366412,0.274809,-36.59893,81.92969,27.16529,False,0,0,0
5928482,5929057,5929058,-64649,-79695,42,15046,0,15050.43,15053.83,358.4245,0,358.5,5929058,5929529,5929530,-91011,-122718,31707,31690.29,31681.15,754.3132,754.0,0.685791,0.914307,0.129639,-50.72519,-2.366412,0.274809,-36.59893,81.92969,27.16529,False,0,0,0
5929652,5930239,5930239,-64650,-79695,42,15045,0,15048.43,15052.5,358.3928,0,358.0,5930239,5930742,5930742,-91032,-122718,31686,31692.0,31684.73,754.3983,754.0,0.685791,0.914307,0.129639,-50.72519,-2.366412,0.274809,-36.59893,81.92969,27.16529,False,0,0,0
5930864,5931420,5931420,-64644,-79695,42,15051,0,15047.29,15050.91,358.3549,0,358.0,5931420,5931955,5931955,-91035,-122718,31683,31693.29,31687.58,754.4661,754.5,0.685791,0.914307,0.129639,-50.72519,-2.366412,0.274809,-36.59893,81.92969,27.16529,False,0,0,0
5932077,5932602,5932602,-64639,-79695,42,15056,0,15050.57,15049.49,358.3211,0,358.0,5932602,5933074,5933074,-91048,-122718,31670,31689.14,31689.81,754.5193,754.5,0.685791,0.914307,0.129639,-50.72519,-2.366412,0.274809,-36.59893,81.92969,27.16529,False,0,0,0
5933146,5933685,5933685,-64640,-79695,42,15055,0,15050.29,15049.91,358.3312,0,358.0,5933685,5934193,5934194,-91013,-122718,31705,31693.43,31689.55,754.5131,754.5,0.685791,0.914307,0.129639,-50.72519,-2.366412,0.274809,-36.59893,81.92969,27.16529,False,0,0,0
5934265,5934767,5934768,-64645,-79695,42,15050,0,15051.86,15050.06,358.3347,0,358.0,5934768,5935313,5935313,-91030,-122718,31688,31691.71,31691.07,754.5492,754.5,0.685791,0.914307,0.129639,-50.72519,-2.366412,0.274809,-36.59893,81.92969,27.16529,False,0,0,0
5935435,5935949,5935949,-64648,-79695,42,15047,0,15050.0,15050.76,358.3515,0,358.0,5935949,5936432,5936432,-91039,-122718,31679,31688.29,31691.32,754.5552,754.5,0.685791,0.914307,0.129639,-50.72519,-2.366412,0.274809,-36.59893,81.92969,27.16529,False,0,0,0
5936504,5937032,5937032,-64657,-79695,42,15038,0,15048.86,15050.46,358.3444,0,358.0,5937032,5937552,5937552,-91044,-122718,31674,31683.57,31690.13,754.527,754.5,0.685791,0.914307,0.129639,-50.72519,-2.366412,0.274809,-36.59893,81.92969,27.16529,False,0,0,0
5937623,5938213,5938213,-64645,-79695,42,15050,0,15049.57,15049.83,358.3294,0,358.0,5938213,5938764,5938765,-91028,-122718,31690,31684.14,31687.56,754.4658,754.5,0.685791,0.914307,0.129639,-50.72519,-2.366412,0.274809,-36.59893,81.92969,27.16529,False,0,0,0
5938837,5939394,5939395,-64626,-79695,42,15069,0,15052.14,15049.73,358.3269,0,358.0,5939395,5939884,5939884,-91029,-122718,31689,31685.0,31686.22,754.4339,754.5,0.685791,0.914307,0.129639,-50.72519,-2.366412,0.274809,-36.59893,81.92969,27.16529,False,0,0,0
5939955,5940477,5940478,-64638,-79695,42,15057,0,15052.29,15050.67,358.3494,0,358.0,5940478,5941003,5941003,-91037,-122718,31681,31686.57,31685.75,754.4225,754.5,0.685791,0.914307,0.129639,-50.72519,-2.366412,0.274809,-36.59893,81.92969,27.16529,False,0,0,0
