tBeforeMeasure1,tAfterMeasure1,tAfterAlgo1,realValue_WU1,offset1,calibrationFactor,relativeVal_WU1,realValue_WU_AngleAdj,realValue_WU_MovAvg1,realValue_WU_Filt1,realValue1,realValueFiltered,correctedValueFiltered1,tBeforeMeasure2,tAfterMeasure2,tAfterAlgo2,realValue_WU2,offset2,relativeVal_WU2,realValue_WU_MovAvg2,realValue_WU_Filt2,realValue2,correctedValueFiltered2,myAx,myAy,myAz,myGx,myGy,myGz,thetadeg,phideg,myTmp,bSync,vccReadBits,vccReadVolts,vccGPIO
6698507,6699064,6699064,-75510,-75801,42,291,0,291.0,291.0,6.928571,0,7.0,6699064,6699558,6699558,-90781,-113618,22837,22837.0,22837.0,543.7381,544,1.056885,0.725342,-0.070313,-51.03053,-2.137405,1.862595,-55.41288,95.53656,22.93,True,0,0,0
6699627,6700147,6700147,-75547,-75801,42,254,0,285.7143,291.0,6.928571,0,7.0,6700147,6700678,6700678,-90758,-113618,22860,22860.0,22860.0,544.2857,544,1.056885,0.725342,-0.070313,-51.03053,-2.137405,1.862595,-55.41288,95.53656,22.93,True,0,0,0
6700748,6701328,6701328,-75518,-75801,42,283,0,284.5714,288.9306,6.879301,0,7.0,6701328,6701798,6701798,-90755,-113618,22863,22860.43,22860.0,544.2857,544,1.056885,0.725342,-0.070313,-51.03053,-2.137405,1.862595,-55.41288,95.53656,22.93,False,0,0,0
6701868,6702411,6702411,-75513,-75801,42,288,0,284.1429,287.224,6.838666,0,7.0,6702411,6702918,6702919,-90789,-113618,22829,22856.0,22860.17,544.2897,544,1.056885,0.725342,-0.070313,-51.03053,-2.137405,1.862595,-55.41288,95.53656,22.93,False,0,0,0
6702989,6703494,6703494,-75519,-75801,42,282,0,282.8571,286.0177,6.809946,0,7.0,6703494,6704039,6704039,-90768,-113618,22850,22854.57,22858.54,544.2509,544,1.056885,0.725342,-0.070313,-51.03053,-2.137405,1.862595,-55.41288,95.53656,22.93,False,0,0,0
6704109,6704675,6704675,-75504,-75801,42,297,0,283.7143,284.7804,6.780485,0,7.0,6704675,6705159,6705159,-90751,-113618,22867,22855.57,22856.98,544.2139,544,1.056885,0.725342,-0.070313,-51.03053,-2.137405,1.862595,-55.41288,95.53656,22.93,False,0,0,0
6705230,6705758,6705758,-75523,-75801,42,278,0,281.8571,284.363,6.770548,0,7.0,6705758,6706279,6706279,-90759,-113618,22859,22855.43,22856.43,544.2007,544,1.056885,0.725342,-0.070313,-51.03053,-2.137405,1.862595,-55.41288,95.53656,22.93,False,0,0,0
6706349,6706939,6706940,-75558,-75801,42,243,0,275.0,283.382,6.74719,0,7.0,6706940,6707493,6707493,-90770,-113618,22848,22853.71,22856.04,544.1914,544,1.056885,0.725342,-0.070313,-51.03053,-2.137405,1.862595,-55.41288,95.53656,22.93,False,0,0,0
6707563,6708120,6708121,-75543,-75801,42,258,0,275.5714,280.1004,6.669058,0,6.5,6708121,6708613,6708613,-90754,-113618,22864,22854.29,22855.13,544.1697,544,1.056885,0.725342,-0.070313,-51.03053,-2.137405,1.862595,-55.41288,95.53656,22.93,False,0,0,0
6708684,6709203,6709204,-75558,-75801,42,243,0,269.8571,278.3273,6.626841,0,6.5,6709204,6709733,6709733,-90777,-113618,22841,22851.14,22854.8,544.1619,544,1.056885,0.725342,-0.070313,-51.03053,-2.137405,1.862595,-55.41288,95.53656,22.93,False,0,0,0
6709805,6710384,6710385,-75524,-75801,42,277,0,268.2857,275.0113,6.547887,0,6.5,6710385,6710853,6710854,-90758,-113618,22860,22855.57,22853.37,544.1278,544,1.056885,0.725342,-0.070313,-51.03053,-2.137405,1.862595,-55.41288,95.53656,22.93,False,0,0,0
6710924,6711467,6711468,-75530,-75801,42,271,0,266.7143,272.3782,6.485195,0,6.5,6711468,6711974,6711974,-90745,-113618,22873,22858.86,22854.23,544.1483,544,1.056885,0.725342,-0.070313,-51.03053,-2.137405,1.862595,-55.41288,95.53656,22.93,False,0,0,0
6712044,6712550,6712551,-75528,-75801,42,273,0,263.2857,270.1608,6.4324,0,6.5,6712551,6713094,6713094,-90757,-113618,22861,22858.0,22856.04,544.1915,544,1.056885,0.725342,-0.070313,-51.03053,-2.137405,1.862595,-55.41288,95.53656,22.93,False,0,0,0
6713164,6713731,6713732,-75545,-75801,42,256,0,260.1429,267.4692,6.368314,0,6.0,6713732,6714214,6714214,-90747,-113618,22871,22859.71,22856.81,544.2097,544,1.056885,0.725342,-0.070313,-51.03053,-2.137405,1.862595,-55.41288,95.53656,22.93,False,0,0,0
6714284,6714814,6714815,-75546,-75801,42,255,0,261.8571,264.601,6.300023,0,6.0,6714815,6715334,6715334,-90753,-113618,22865,22862.14,22857.95,544.2368,544,1.056885,0.725342,-0.070313,-51.03053,-2.137405,1.862595,-55.41288,95.53656,22.93,False,0,0,0
