tBeforeMeasure1,tAfterMeasure1,tAfterAlgo1,realValue_WU1,offset1,calibrationFactor,relativeVal_WU1,realValue_WU_AngleAdj,realValue_WU_MovAvg1,realValue_WU_Filt1,realValue1,realValueFiltered,correctedValueFiltered1,tBeforeMeasure2,tAfterMeasure2,tAfterAlgo2,realValue_WU2,offset2,relativeVal_WU2,realValue_WU_MovAvg2,realValue_WU_Filt2,realValue2,correctedValueFiltered2,myAx,myAy,myAz,myGx,myGy,myGz,thetadeg,phideg,myTmp,bSync,vccReadBits,vccReadVolts,vccGPIO
5866822,5867329,5867329,-74026,-79695,42,5669,0,5665.286,5664.888,134.8783,0,135.0,5867329,5867870,5867870,-81980,-122718,40738,40755.86,40755.62,970.3719,970.0,0.685791,0.914307,0.129639,-50.72519,-2.366412,0.274809,-36.59893,81.92969,27.16529,False,0,0,0
5867941,5868510,5868511,-74024,-79695,42,5671,0,5666.143,5665.044,134.882,0,135.0,5868511,5868989,5868990,-81955,-122718,40763,40757.14,40755.71,970.3741,970.0,0.685791,0.914307,0.129639,-50.72519,-2.366412,0.274809,-36.59893,81.92969,27.16529,False,0,0,0
5869061,5869593,5869594,-74011,-79695,42,5684,0,5668.857,5665.474,134.8922,0,135.0,5869594,5870109,5870109,-81922,-122718,40796,40763.14,40756.27,970.3875,970.0,0.685791,0.914307,0.129639,-50.72519,-2.366412,0.274809,-36.59893,81.92969,27.16529,False,0,0,0
5870180,5870676,5870677,-74033,-79695,42,5662,0,5668.429,5666.798,134.9238,0,135.0,5870677,5871228,5871228,-81929,-122718,40789,40768.14,40758.96,970.4515,970.5,0.685791,0.914307,0.129639,-50.72519,-2.366412,0.274809,-36.59893,81.92969,27.16529,False,0,0,0
5871300,5871857,5871858,-74014,-79695,42,5681,0,5670.714,5667.437,134.939,0,135.0,5871858,5872347,5872348,-81949,-122718,40769,40770.29,40762.56,970.5371,970.5,0.685791,0.914307,0.129639,-50.72519,-2.366412,0.274809,-36.59893,81.92969,27.16529,False,0,0,0
5872418,5872940,5872941,-73997,-79695,42,5698,0,5675.429,5668.72,134.9695,0,135.0,5872941,5873467,5873467,-81946,-122718,40772,40772.86,40765.58,970.6091,970.5,0.685791,0.914307,0.129639,-50.72519,-2.366412,0.274809,-36.59893,81.92969,27.16529,False,0,0,0
5873538,5874122,5874122,-73994,-79695,42,5701,0,5680.857,5671.346,135.0321,0,135.0,5874122,5874679,5874679,-81940,-122718,40778,40772.14,40768.43,970.6769,970.5,0.685791,0.914307,0.129639,-50.72519,-2.366412,0.274809,-36.59893,81.92969,27.16529,False,0,0,0
5874821,5875402,5875402,-73983,-79695,42,5712,0,5687.0,5675.07,135.1207,0,135.0,5875402,5875892,5875892,-81934,-122718,40784,40778.71,40769.88,970.7115,971.0,0.685791,0.914307,0.129639,-50.72519,-2.366412,0.274809,-36.59893,81.92969,27.16529,False,0,0,0
5875963,5876485,5876485,-73999,-79695,42,5696,0,5690.571,5679.74,135.2319,0,135.0,5876485,5877011,5877011,-81940,-122718,40778,40780.86,40773.34,970.7938,971.0,0.685791,0.914307,0.129639,-50.72519,-2.366412,0.274809,-36.59893,81.92969,27.16529,False,0,0,0
5877083,5877666,5877666,-74015,-79695,42,5680,0,5690.0,5683.98,135.3329,0,135.0,5877666,5878224,5878224,-81921,-122718,40797,40781.0,40776.28,970.8638,971.0,0.685791,0.914307,0.129639,-50.72519,-2.366412,0.274809,-36.59893,81.92969,27.16529,False,0,0,0
5878294,5878847,5878848,-74002,-79695,42,5693,0,5694.429,5686.337,135.389,0,135.0,5878848,5879343,5879343,-81964,-122718,40754,40776.0,40778.13,970.9078,971.0,0.685791,0.914307,0.129639,-50.72519,-2.366412,0.274809,-36.59893,81.92969,27.16529,False,0,0,0
5879465,5880029,5880029,-73989,-79695,42,5706,0,5698.0,5689.505,135.4644,0,135.5,5880029,5880556,5880556,-81936,-122718,40782,40777.86,40777.3,970.888,971.0,0.685791,0.914307,0.129639,-50.72519,-2.366412,0.274809,-36.59893,81.92969,27.16529,False,0,0,0
5880627,5881210,5881211,-74017,-79695,42,5678,0,5695.143,5692.831,135.5436,0,135.5,5881211,5881768,5881769,-81919,-122718,40799,40781.71,40777.52,970.8932,971.0,0.685791,0.914307,0.129639,-50.72519,-2.366412,0.274809,-36.59893,81.92969,27.16529,False,0,0,0
5881840,5882392,5882392,-74005,-79695,42,5690,0,5693.571,5693.736,135.5652,0,135.5,5882392,5882888,5882888,-81931,-122718,40787,40783.0,40779.16,970.9324,971.0,0.685791,0.914307,0.129639,-50.72519,-2.366412,0.274809,-36.59893,81.92969,27.16529,False,0,0,0
5882959,5883475,5883475,-73991,-79695,42,5704,0,5692.429,5693.672,135.5636,0,135.5,5883475,5884007,5884007,-81936,-122718,40782,40782.71,40780.66,970.9682,971.0,0.685791,0.914307,0.129639,-50.72519,-2.366412,0.274809,-36.59893,81.92969,27.16529,False,0,0,0
