tBeforeMeasure1,tAfterMeasure1,tAfterAlgo1,realValue_WU1,offset1,calibrationFactor,relativeVal_WU1,realValue_WU_AngleAdj,realValue_WU_MovAvg1,realValue_WU_Filt1,realValue1,realValueFiltered,correctedValueFiltered1,tBeforeMeasure2,tAfterMeasure2,tAfterAlgo2,realValue_WU2,offset2,relativeVal_WU2,realValue_WU_MovAvg2,realValue_WU_Filt2,realValue2,correctedValueFiltered2,myAx,myAy,myAz,myGx,myGy,myGz,thetadeg,phideg,myTmp,bSync,vccReadBits,vccReadVolts,vccGPIO
8470496,8471077,8471078,-30041,-75703,42,45662,0,45686.43,45696.2,1088.005,0,1088.0,8471078,8471637,8471637,-64621,-113435,48814,48841.57,48848.1,1163.05,1163.0,1.048828,0.723877,-0.062012,-51.0229,-2.030534,1.854962,-55.28934,94.89613,24.34176,False,0,0,0
8471709,8472258,8472259,-30022,-75703,42,45681,0,45683.71,45692.38,1087.914,0,1088.0,8472259,8472757,8472757,-64610,-113435,48825,48838.0,48845.54,1162.989,1163.0,1.055908,0.726807,-0.061279,-50.85496,-1.717557,1.679389,-55.36448,94.81917,24.43588,False,0,0,0
8472829,8473341,8473342,-30030,-75703,42,45673,0,45679.86,45688.98,1087.833,0,1088.0,8473342,8473877,8473877,-64608,-113435,48827,48834.71,48842.59,1162.919,1163.0,1.057129,0.72583,-0.062012,-51.01527,-1.732824,1.801527,-55.4289,94.88302,24.24765,False,0,0,0
8473949,8474522,8474523,-30039,-75703,42,45664,0,45674.71,45685.41,1087.748,0,1088.0,8474523,8474997,8474998,-64599,-113435,48836,48832.71,48839.51,1162.845,1163.0,1.043213,0.719971,-0.063721,-50.8168,-1.877863,1.824428,-55.28391,95.05754,24.48294,False,0,0,0
8475070,8475605,8475606,-30031,-75703,42,45672,0,45670.71,45681.22,1087.648,0,1087.5,8475606,8476117,8476118,-64597,-113435,48838,48831.0,48836.85,1162.782,1163.0,1.069824,0.735352,-0.064209,-51.12214,-1.938931,1.824428,-55.39526,94.99004,24.38882,False,0,0,0
8476190,8476687,8476688,-30015,-75703,42,45688,0,45671.57,45677.11,1087.55,0,1087.5,8476688,8477237,8477238,-64610,-113435,48825,48830.0,48834.56,1162.728,1163.0,1.037842,0.726563,-0.063477,-50.82443,-2.221374,1.839695,-54.90273,94.99278,24.38882,False,0,0,0
8477310,8477868,8477869,-30049,-75703,42,45654,0,45670.57,45674.94,1087.499,0,1087.5,8477869,8478357,8478358,-64614,-113435,48821,48826.57,48832.77,1162.685,1162.5,1.059814,0.731689,-0.0625,-50.83206,-2.221374,1.854962,-55.28147,94.88206,24.38882,False,0,0,0
8478430,8478951,8478952,-30030,-75703,42,45673,0,45672.14,45673.23,1087.458,0,1087.5,8478952,8479477,8479478,-64618,-113435,48817,48827.0,48830.34,1162.627,1162.5,1.049561,0.727051,-0.057129,-50.84733,-2.061069,1.763359,-55.2062,94.49264,24.34176,False,0,0,0
8479549,8480132,8480133,-30032,-75703,42,45671,0,45670.71,45672.8,1087.448,0,1087.5,8480133,8480691,8480691,-64613,-113435,48822,48826.57,48829.04,1162.596,1162.5,1.04541,0.719482,-0.063721,-51.03817,-1.557252,1.847328,-55.35836,95.06095,24.34176,False,0,0,0
8480765,8481313,8481314,-30075,-75703,42,45628,0,45664.29,45671.98,1087.428,0,1087.5,8481314,8481811,8481811,-64594,-113435,48841,48828.57,48828.07,1162.573,1162.5,1.067383,0.737793,-0.065674,-51.12214,-2.114504,1.59542,-55.24117,95.08649,24.48294,False,0,0,0
8481883,8482396,8482397,-30035,-75703,42,45668,0,45664.86,45668.97,1087.356,0,1087.0,8482397,8482931,8482931,-64629,-113435,48806,48824.29,48828.27,1162.578,1162.5,1.053955,0.731201,-0.05957,-50.9084,-1.938931,1.80916,-55.15936,94.65733,24.53,False,0,0,0
8483003,8483577,8483578,-30040,-75703,42,45663,0,45663.57,45667.36,1087.318,0,1087.0,8483578,8484051,8484051,-64624,-113435,48811,48820.43,48826.71,1162.541,1162.5,1.047607,0.71875,-0.061523,-51.03817,-2.007634,1.70229,-55.44873,94.89225,24.43588,False,0,0,0
8484123,8484660,8484661,-30039,-75703,42,45664,0,45660.14,45665.88,1087.283,0,1087.0,8484661,8485171,8485171,-64600,-113435,48835,48821.86,48824.25,1162.482,1162.5,1.060303,0.73584,-0.063721,-50.9542,-2.068702,1.633588,-55.13928,94.94901,24.48294,False,0,0,0
8485243,8485742,8485743,-30046,-75703,42,45657,0,45660.57,45663.63,1087.229,0,1087.0,8485743,8486291,8486291,-64612,-113435,48823,48822.14,48823.31,1162.46,1162.5,1.046875,0.721436,-0.061768,-51.05344,-2.030534,1.687023,-55.33006,94.89337,24.53,False,0,0,0
8486364,8486923,8486925,-30036,-75703,42,45667,0,45659.71,45662.43,1087.201,0,1087.0,8486925,8487411,8487411,-64604,-113435,48831,48824.14,48822.86,1162.449,1162.5,1.051514,0.740723,-0.061279,-51.07634,-1.977099,1.679389,-54.74563,94.72903,24.43588,False,0,0,0
