tBeforeMeasure1,tAfterMeasure1,tAfterAlgo1,realValue_WU1,offset1,relativeVal_WU1,realValue_WU_AngleAdj,realValue_WU_MovAvg1,realValue_WU_Filt1,realValueFiltered,tBeforeMeasure2,tAfterMeasure2,tAfterAlgo2,realValue_WU2,offset2,relativeVal_WU2,realValue_WU_MovAvg2,realValue_WU_Filt2,realValue,correctedValueFiltered,myAx,myAy,myAz,myGx,myGy,myGz,thetadeg,phideg,myTmp,bSync,vccReadBits,vccReadVolts,vccGPIO,vccVolts,ratioVCCMAX,B_DEBUG_MODE
113086,114379,114379,29623,-51939,81562,0,81560.29,81564.32,0,114379,114863,114863,71428,-1502,72930,72930.43,72931.82,3209.609,3209.5,0,0,0,0,0,0,0,0,36.53,False,0,0,0,0,0,True
114959,116252,116252,29613,-51939,81552,0,81557.14,81562.74,0,116252,116730,116731,71417,-1502,72919,72931.29,72931.27,3209.565,3209.5,0,0,0,0,0,0,0,0,36.53,False,0,0,0,0,0,True
116821,118115,118115,29606,-51939,81545,0,81554.29,81560.55,0,118115,118598,118598,71446,-1502,72948,72930.86,72931.28,3209.52,3209.5,0,0,0,0,0,0,0,0,36.53,False,0,0,0,0,0,True
118689,119982,119983,29607,-51939,81546,0,81553.71,81558.09,0,119983,120466,120466,71431,-1502,72933,72929.0,72931.12,3209.465,3209.5,0,0,0,0,0,0,0,0,36.53,False,0,0,0,0,0,True
120559,121852,121852,29640,-51939,81579,0,81556.71,81556.38,0,121852,122333,122333,71421,-1502,72923,72929.29,72930.29,3209.412,3209.5,0,0,0,0,0,0,0,0,36.53,False,0,0,0,0,0,True
122424,123718,123718,29620,-51939,81559,0,81557.29,81556.51,0,123718,124201,124201,71407,-1502,72909,72927.86,72929.9,3209.407,3209.5,0,0,0,0,0,0,0,0,36.53,False,0,0,0,0,0,True
124292,125585,125585,29631,-51939,81570,0,81559.0,81556.81,0,125585,126068,126069,71416,-1502,72918,72925.71,72929.1,3209.397,3209.0,0,0,0,0,0,0,0,0,36.53,False,0,0,0,0,0,True
126162,127454,127455,29632,-51939,81571,0,81560.29,81557.67,0,127455,127936,127936,71429,-1502,72931,72925.86,72927.77,3209.387,3209.0,0,0,0,0,0,0,0,0,36.53,False,0,0,0,0,0,True
128027,129320,129323,29609,-51939,81548,0,81559.71,81558.7,0,129323,129804,129804,71412,-1502,72914,72925.14,72927.02,3209.393,3209.0,0,0,0,0,0,0,0,0,36.53,False,0,0,0,0,0,True
129894,131190,131191,29623,-51939,81562,0,81562.14,81559.09,0,131191,131671,131672,71439,-1502,72941,72924.14,72926.29,3209.385,3209.0,0,0,0,0,0,0,0,0,36.53,False,0,0,0,0,0,True
131769,133062,133062,29631,-51939,81570,0,81565.57,81560.29,0,133062,133539,133539,71435,-1502,72937,72924.71,72925.45,3209.393,3209.0,0,0,0,0,0,0,0,0,36.53,False,0,0,0,0,0,True
133629,134922,134923,29636,-51939,81575,0,81565.0,81562.36,0,134923,135406,135407,71413,-1502,72915,72923.57,72925.16,3209.429,3209.5,0,0,0,0,0,0,0,0,36.53,False,0,0,0,0,0,True
135497,136790,136790,29633,-51939,81572,0,81566.86,81563.39,0,136790,137274,137274,71445,-1502,72947,72929.0,72924.54,3209.438,3209.5,0,0,0,0,0,0,0,0,36.53,False,0,0,0,0,0,True
137365,138658,138658,29620,-51939,81559,0,81565.29,81564.75,0,138658,139142,139142,71418,-1502,72920,72929.29,72926.29,3209.503,3209.5,0,0,0,0,0,0,0,0,36.53,False,0,0,0,0,0,True
139234,140527,140528,29629,-51939,81568,0,81564.86,81564.96,0,140528,141009,141009,71424,-1502,72926,72928.57,72927.46,3209.531,3209.5,0,0,0,0,0,0,0,0,36.53,False,0,0,0,0,0,True
