tBeforeMeasure1,tAfterMeasure1,tAfterAlgo1,realValue_WU1,offset1,relativeVal_WU1,realValue_WU_AngleAdj,realValue_WU_MovAvg1,realValue_WU_Filt1,realValueFiltered,tBeforeMeasure2,tAfterMeasure2,tAfterAlgo2,realValue_WU2,offset2,relativeVal_WU2,realValue_WU_MovAvg2,realValue_WU_Filt2,realValue,correctedValueFiltered,myAx,myAy,myAz,myGx,myGy,myGz,thetadeg,phideg,myTmp,bSync,vccReadBits,vccReadVolts,vccGPIO,vccVolts,ratioVCCMAX,B_DEBUG_MODE
139118,139639,139639,58038,-138884,196922,0,197017.0,197047.6,0,139639,140145,140145,-56353,-96286,39933,40054.0,40112.59,4878.097,4878.0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True
140242,140822,140823,58042,-138884,196926,0,196998.6,197035.6,0,140823,141360,141360,-56356,-96286,39930,40023.57,40089.65,4877.362,4877.0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True
141455,142006,142006,58035,-138884,196919,0,196979.1,197021.1,0,142006,142481,142481,-56365,-96286,39921,39991.86,40063.78,4876.514,4876.5,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True
142578,143090,143091,58052,-138884,196936,0,196962.1,197004.7,0,143091,143603,143603,-56353,-96286,39933,39961.86,40035.62,4875.577,4875.5,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True
143700,144274,144274,58043,-138884,196927,0,196943.9,196988.0,0,144274,144818,144818,-56380,-96286,39906,39928.0,40006.74,4874.62,4874.5,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True
144915,145457,145458,58025,-138884,196909,0,196923.0,196970.7,0,145458,145940,145940,-56376,-96286,39910,39925.43,39975.91,4873.607,4873.5,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True
146035,146542,146542,58039,-138884,196923,0,196923.1,196952.0,0,146542,147061,147061,-56370,-96286,39916,39921.29,39956.15,4872.806,4873.0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True
147156,147725,147726,58013,-138884,196897,0,196919.6,196940.7,0,147726,148276,148276,-56391,-96286,39895,39915.86,39942.5,4872.284,4872.0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True
148372,148909,148909,58011,-138884,196895,0,196915.1,196932.5,0,148909,149398,149398,-56365,-96286,39921,39914.57,39932.07,4871.893,4872.0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True
149493,149994,149994,58025,-138884,196909,0,196913.7,196925.7,0,149994,150519,150520,-56385,-96286,39901,39911.71,39925.22,4871.608,4871.5,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True
150619,151177,151177,58006,-138884,196890,0,196907.1,196921.0,0,151177,151735,151735,-56395,-96286,39891,39905.71,39919.93,4871.4,4871.0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True
151831,152360,152361,58039,-138884,196923,0,196906.6,196915.6,0,152361,152856,152856,-56374,-96286,39912,39906.57,39914.37,4871.171,4871.0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True
152953,153544,153544,58029,-138884,196913,0,196907.1,196912.0,0,153544,154071,154071,-56414,-96286,39872,39901.14,39911.32,4871.035,4871.0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True
154169,154727,154728,58031,-138884,196915,0,196906.0,196910.1,0,154728,155286,155286,-56396,-96286,39890,39897.43,39907.34,4870.91,4871.0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True
155386,155911,155911,58035,-138884,196919,0,196909.1,196908.5,0,155911,156408,156408,-56404,-96286,39882,39895.57,39903.46,4870.793,4871.0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True
