tBeforeMeasure1,tAfterMeasure1,tAfterAlgo1,realValue_WU1,offset1,relativeVal_WU1,realValue_WU_MovAvg1,realValue_WU_Filt1,tBeforeMeasure2,tAfterMeasure2,tAfterAlgo2,realValue_WU2,offset2,relativeVal_WU2,realValue_WU_MovAvg2,realValue_WU_Filt2,tBeforeMeasure3,tAfterMeasure3,tAfterAlgo3,realValue_WU3,offset3,relativeVal_WU3,realValue_WU_MovAvg3,realValue_WU_Filt3,realValue_WU_AngleAdj,realValueFiltered,realValue,correctedValueFiltered,myAx,myAy,myAz,myGx,myGy,myGz,thetadeg,phideg,myTmp,bSync,vccReadBits,vccReadVolts,vccGPIO,vccVolts,ratioVCCMAX,B_DEBUG_MODE,B_SERIALPORT,BF_SERIALPORT
590433,590733,590733,-198673.5,-215906,17232.5,17261.25,17287.24,590733,591033,591033,80741.5,92318,-11576.5,-11592.75,-11608.81,591033,591333,591333,58275.25,53348,4927.25,4927.813,4933.899,0,0,676.5991,676.5,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
591451,591751,591751,-198674.8,-215906,17231.25,17246.31,17280.78,591751,592051,592051,80745.25,92318,-11572.75,-11583.13,-11604.82,592051,592351,592351,58270.25,53348,4922.25,4924.563,4932.386,0,0,676.3597,676.0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
592470,592770,592770,-198690.3,-215906,17215.75,17227.5,17272.22,592770,593070,593070,80726.0,92318,-11592.0,-11578.31,-11599.43,593070,593370,593370,58262.0,53348,4914.0,4919.25,4930.442,0,0,676.0417,676.0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
593487,593787,593787,-198667.3,-215906,17238.75,17229.56,17261.1,593787,594087,594087,80733.25,92318,-11584.75,-11581.5,-11594.18,594087,594387,594387,58265.25,53348,4917.25,4920.188,4927.661,0,0,675.6589,675.5,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
594505,594805,594805,-198663.0,-215906,17243.0,17232.19,17253.27,594805,595105,595105,80727.75,92318,-11590.25,-11584.94,-11591.03,595105,595405,595405,58292.25,53348,4944.25,4924.438,4925.803,0,0,675.402,675.5,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
595525,595825,595825,-198669.3,-215906,17236.75,17233.56,17248.03,595825,596125,596125,80716.5,92318,-11601.5,-11592.13,-11589.52,596125,596425,596425,58287.75,53348,4939.75,4928.813,4925.464,0,0,675.2601,675.0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
596543,596843,596843,-198639.5,-215906,17266.5,17246.25,17244.43,596843,597143,597143,80675.25,92318,-11642.75,-11604.81,-11590.16,597143,597443,597443,58305.25,53348,4957.25,4939.625,4926.296,0,0,675.2179,675.0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
597561,597861,597861,-198616.3,-215906,17289.75,17259.0,17244.88,597861,598161,598161,80730.0,92318,-11588.0,-11605.63,-11593.8,598161,598461,598461,58316.0,53348,4968.0,4952.313,4929.609,0,0,675.366,675.0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
598582,598882,598882,-198617.8,-215906,17288.25,17270.31,17248.39,598882,599182,599182,80717.0,92318,-11601.0,-11608.31,-11596.74,599182,599482,599482,58318.25,53348,4970.25,4958.813,4935.251,0,0,675.6077,675.5,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
599600,599900,599900,-198614.5,-215906,17291.5,17284.0,17253.84,599900,600200,600200,80736.25,92318,-11581.75,-11603.38,-11599.62,600200,600500,600500,58322.0,53348,4974.0,4967.375,4941.107,0,0,675.8912,676.0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
600619,600919,600919,-198648.3,-215906,17257.75,17281.81,17261.34,600919,601219,601219,80770.75,92318,-11547.25,-11579.5,-11600.55,601219,601519,601519,58337.5,53348,4989.5,4975.438,4947.635,0,0,676.1905,676.0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
601637,601937,601937,-198646.0,-215906,17260.0,17274.38,17266.43,601937,602237,602237,80747.25,92318,-11570.75,-11575.19,-11595.32,602237,602537,602537,58309.25,53348,4961.25,4973.75,4954.545,0,0,676.3258,676.0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
602655,602955,602955,-198644.0,-215906,17262.0,17267.81,17268.4,602955,603255,603255,80714.0,92318,-11604.0,-11575.94,-11590.32,603255,603555,603555,58294.0,53348,4946.0,4967.688,4959.318,0,0,676.3607,676.0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
603673,603973,603973,-198640.3,-215906,17265.75,17261.38,17268.26,603973,604273,604273,80749.25,92318,-11568.75,-11572.69,-11586.74,604273,604573,604573,58358.0,53348,5010.0,4976.688,4961.398,0,0,676.3279,676.0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
604690,604990,604990,-198625.5,-215906,17280.5,17267.06,17266.55,604990,605290,605290,80769.5,92318,-11548.5,-11573.0,-11583.25,605290,605590,605590,58319.25,53348,4971.25,4972.125,4965.198,0,0,676.2999,676.0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
