tBeforeMeasure1,tAfterMeasure1,tAfterAlgo1,realValue_WU1,offset1,calibrationFactor,relativeVal_WU1,realValue_WU_AngleAdj,realValue_WU_MovAvg1,realValue_WU_Filt1,realValue1,realValueFiltered,correctedValueFiltered1,tBeforeMeasure2,tAfterMeasure2,tAfterAlgo2,realValue_WU2,offset2,relativeVal_WU2,realValue_WU_MovAvg2,realValue_WU_Filt2,realValue2,correctedValueFiltered2,myAx,myAy,myAz,myGx,myGy,myGz,thetadeg,phideg,myTmp,bSync,vccReadBits,vccReadVolts,vccGPIO
2293194,2293698,2293699,-35678,-52830,42,17152,0,17152.0,17152.0,408.381,0,408.0,2293699,2294244,2294245,8883,-8438,17321,17321.0,17321.0,412.4048,412.5,0.94458,0.704834,-0.076416,-50.8397,-2.328244,1.763359,-53.10944,96.18745,21.23588,True,0,0,0
2294315,2294881,2294882,-36173,-52830,42,16657,0,16657.0,16657.0,396.5952,0,396.5,2294882,2295366,2295366,8637,-8438,17075,17075.0,17075.0,406.5476,406.5,0.945557,0.690918,-0.06958,-50.65649,-2.29771,1.778626,-53.70647,95.75046,21.18882,True,0,0,0
2295437,2295966,2295967,-36164,-52830,42,16666,0,16658.29,16657.0,396.5952,0,396.5,2295967,2296487,2296488,8629,-8438,17067,17073.86,17075.0,406.5476,406.5,0.945557,0.681641,-0.06958,-50.52672,-1.862595,1.717557,-54.0715,95.82819,21.23588,False,0,0,0
2296558,2297150,2297151,-36157,-52830,42,16673,0,16660.57,16657.5,396.6072,0,396.5,2297151,2297702,2297703,8639,-8438,17077,17074.14,17074.55,406.537,406.5,0.948486,0.678711,-0.075195,-50.83206,-1.824428,1.839695,-54.24783,96.32187,21.33,False,0,0,0
2297774,2298334,2298335,-36123,-52830,42,16707,0,16667.71,16658.71,396.6358,0,396.5,2298335,2298824,2298824,8637,-8438,17075,17074.14,17074.39,406.5331,406.5,0.943359,0.675537,-0.069092,-50.64122,-1.992366,1.908397,-54.25229,95.8395,21.23588,False,0,0,0
2298896,2299419,2299420,-36144,-52830,42,16686,0,16671.86,16662.23,396.7198,0,397.0,2299420,2299945,2299946,8624,-8438,17062,17072.29,17074.29,406.5308,406.5,0.967773,0.700928,-0.073975,-50.78626,-1.992366,1.709924,-53.93437,96.02437,21.28294,False,0,0,0
2300017,2300603,2300603,-36140,-52830,42,16690,0,16676.57,16666.0,396.8095,0,397.0,2300603,2301160,2301161,8624,-8438,17062,17070.43,17073.51,406.5121,406.5,0.938232,0.680176,-0.06543,-50.56488,-1.969466,1.70229,-53.93399,95.49445,21.33,False,0,0,0
2301231,2301786,2301787,-36140,-52830,42,16690,0,16681.29,16670.14,396.9081,0,397.0,2301787,2302281,2302282,8641,-8438,17079,17071.0,17072.3,406.4834,406.5,0.942627,0.683594,-0.070801,-50.72519,-1.671756,1.839695,-53.90483,95.9129,21.33,False,0,0,0
2302353,2302871,2302872,-36158,-52830,42,16672,0,16683.43,16674.5,397.012,0,397.0,2302872,2303403,2303404,8635,-8438,17073,17070.71,17071.79,406.4713,406.5,0.959229,0.695801,-0.072021,-50.75573,-2.0,1.679389,-53.89844,95.90935,21.28294,False,0,0,0
2303474,2304055,2304056,-36155,-52830,42,16675,0,16684.71,16678.0,397.0952,0,397.0,2304056,2304524,2304525,8623,-8438,17061,17069.86,17071.37,406.4612,406.5,0.945557,0.67627,-0.075195,-50.63359,-1.816794,1.793893,-54.2605,96.34451,21.18882,False,0,0,0
2304596,2305140,2305141,-36153,-52830,42,16677,0,16685.29,16680.63,397.1578,0,397.0,2305141,2305646,2305646,8655,-8438,17093,17072.14,17070.78,406.4471,406.5,0.958252,0.680908,-0.071289,-50.70992,-1.954199,1.78626,-54.4557,95.9767,21.33,False,0,0,0
2305717,2306225,2306226,-36156,-52830,42,16674,0,16680.57,16682.45,397.2012,0,397.0,2306226,2306767,2306768,8617,-8438,17055,17069.29,17071.31,406.4598,406.5,0.926025,0.695068,-0.070557,-50.80916,-1.870229,1.877863,-52.96713,95.79604,21.33,False,0,0,0
2306839,2307409,2307410,-36157,-52830,42,16673,0,16678.71,16681.71,397.1837,0,397.0,2307410,2307889,2307889,8643,-8438,17081,17072.0,17070.52,406.4409,406.5,0.953857,0.695313,-0.073242,-50.67939,-1.984733,1.847328,-53.75917,96.01297,21.33,False,0,0,0
2307960,2308494,2308495,-36150,-52830,42,16680,0,16677.29,16680.54,397.1557,0,397.0,2308495,2309010,2309011,8627,-8438,17065,17072.43,17071.1,406.4547,406.5,0.94165,0.679199,-0.074951,-50.82443,-1.725191,1.78626,-54.03282,96.29702,21.23588,False,0,0,0
2309082,2309579,2309580,-36140,-52830,42,16690,0,16677.29,16679.27,397.1254,0,397.0,2309580,2310132,2310132,8628,-8438,17066,17070.57,17071.62,406.4671,406.5,0.946045,0.682373,-0.068115,-50.70992,-1.854962,1.80916,-54.06246,95.70023,21.18882,False,0,0,0
