tBeforeMeasure1,tAfterMeasure1,tAfterAlgo1,realValue_WU1,offset1,calibrationFactor,relativeVal_WU1,realValue_WU_AngleAdj,realValue_WU_MovAvg1,realValue_WU_Filt1,realValue1,realValueFiltered,correctedValueFiltered1,tBeforeMeasure2,tAfterMeasure2,tAfterAlgo2,realValue_WU2,offset2,relativeVal_WU2,realValue_WU_MovAvg2,realValue_WU_Filt2,realValue2,correctedValueFiltered2,myAx,myAy,myAz,myGx,myGy,myGz,thetadeg,phideg,myTmp,bSync,vccReadBits,vccReadVolts,vccGPIO
50371,50910,50911,167749,-47470,42,215219,0,214651.7,214283.2,5101.982,0,5102.0,50911,51426,51426,215157,-3258,218415,218431.4,218437.4,5200.89,5201.0,0,0,0,0,0,0,0,0,0,False,0,0,0
51490,51991,51991,167752,-47470,42,215222,0,214821.6,214427.5,5105.417,0,5105.5,51991,52544,52545,215161,-3258,218419,218428.6,218435.0,5200.834,5201.0,0,0,0,0,0,0,0,0,0,False,0,0,0
52609,53170,53170,167752,-47470,42,215222,0,214994.0,214581.8,5109.09,0,5109.0,53170,53663,53663,215158,-3258,218416,218425.3,218432.5,5200.774,5201.0,0,0,0,0,0,0,0,0,0,False,0,0,0
53727,54251,54251,167737,-47470,42,215207,0,215163.0,214743.2,5112.932,0,5113.0,54251,54782,54782,215167,-3258,218425,218423.3,218429.7,5200.707,5201.0,0,0,0,0,0,0,0,0,0,False,0,0,0
54898,55429,55430,167753,-47470,42,215223,0,215219.9,214907.5,5116.846,0,5117.0,55430,55901,55901,215156,-3258,218414,218419.7,218427.2,5200.647,5200.5,0,0,0,0,0,0,0,0,0,False,0,0,0
56016,56510,56510,167720,-47470,42,215190,0,215216.1,215029.8,5119.757,0,5120.0,56510,57020,57020,215183,-3258,218441,218420.0,218424.3,5200.577,5200.5,0,0,0,0,0,0,0,0,0,False,0,0,0
57085,57591,57591,167736,-47470,42,215206,0,215212.7,215102.8,5121.494,0,5121.5,57591,58139,58139,215157,-3258,218415,218420.7,218422.6,5200.538,5200.5,0,0,0,0,0,0,0,0,0,False,0,0,0
58204,58770,58770,167750,-47470,42,215220,0,215212.9,215145.8,5122.52,0,5122.5,58770,59258,59258,215165,-3258,218423,218421.9,218421.9,5200.521,5200.5,0,0,0,0,0,0,0,0,0,False,0,0,0
59322,59851,59851,167741,-47470,42,215211,0,215211.3,215172.1,5123.145,0,5123.0,59851,60377,60377,215180,-3258,218438,218424.6,218421.9,5200.521,5200.5,0,0,0,0,0,0,0,0,0,False,0,0,0
60442,61029,61030,167743,-47470,42,215213,0,215210.0,215187.4,5123.51,0,5123.5,61030,61589,61589,215208,-3258,218466,218431.7,218422.9,5200.546,5200.5,0,0,0,0,0,0,0,0,0,False,0,0,0
61653,62208,62209,167739,-47470,42,215209,0,215210.3,215196.3,5123.721,0,5124.0,62209,62708,62708,215201,-3258,218459,218436.6,218426.4,5200.627,5200.5,0,0,0,0,0,0,0,0,0,False,0,0,0
62772,63289,63289,167737,-47470,42,215207,0,215208.0,215201.8,5123.851,0,5124.0,63289,63827,63827,215178,-3258,218436,218439.7,218430.4,5200.723,5201.0,0,0,0,0,0,0,0,0,0,False,0,0,0
63891,64468,64468,167750,-47470,42,215220,0,215212.3,215204.2,5123.91,0,5124.0,64468,64945,64946,215203,-3258,218461,218442.6,218434.0,5200.81,5201.0,0,0,0,0,0,0,0,0,0,False,0,0,0
65010,65549,65549,167754,-47470,42,215224,0,215214.9,215207.4,5123.985,0,5124.0,65549,66064,66064,215216,-3258,218474,218451.0,218437.4,5200.89,5201.0,0,0,0,0,0,0,0,0,0,False,0,0,0
66128,66629,66630,167725,-47470,42,215195,0,215211.3,215210.3,5124.055,0,5124.0,66630,67183,67183,215202,-3258,218460,218456.3,218442.7,5201.017,5201.0,0,0,0,0,0,0,0,0,0,False,0,0,0
