tBeforeMeasure1,tAfterMeasure1,tAfterAlgo1,realValue_WU1,offset1,calibrationFactor,relativeVal_WU1,realValue_WU_AngleAdj,realValue_WU_MovAvg1,realValue_WU_Filt1,realValue1,realValueFiltered,correctedValueFiltered1,tBeforeMeasure2,tAfterMeasure2,tAfterAlgo2,realValue_WU2,offset2,relativeVal_WU2,realValue_WU_MovAvg2,realValue_WU_Filt2,realValue2,correctedValueFiltered2,myAx,myAy,myAz,myGx,myGy,myGz,thetadeg,phideg,myTmp,bSync,vccReadBits,vccReadVolts,vccGPIO
1289127,1289655,1289656,-51989,-75293,42,23304,0,23304.0,23304.0,554.8571,0,555,1289656,1290181,1290182,-110922,-111866,944,949.1429,950.0,22.61905,22.5,0,0,0,0,0,0,0,0,36.53,False,0,0,0
1290246,1290836,1290837,-51994,-75293,42,23299,0,23303.29,23304.0,554.8571,0,555,1290837,1291394,1291395,-110902,-111866,964,951.1429,949.6644,22.61106,22.5,0,0,0,0,0,0,0,0,36.53,False,0,0,0
1291461,1292017,1292018,-51964,-75293,42,23329,0,23306.86,23303.72,554.8505,0,555,1292018,1292514,1292515,-110916,-111866,950,951.1429,950.2432,22.62484,22.5,0,0,0,0,0,0,0,0,36.53,False,0,0,0
1292581,1293100,1293101,-51989,-75293,42,23304,0,23306.86,23304.95,554.8798,0,555,1293101,1293634,1293635,-110910,-111866,956,952.0,950.5955,22.63322,22.5,0,0,0,0,0,0,0,0,36.53,False,0,0,0
1293701,1294281,1294282,-51972,-75293,42,23321,0,23309.29,23305.7,554.8976,0,555,1294282,1294754,1294755,-110898,-111866,968,954.5714,951.1453,22.64632,22.5,0,0,0,0,0,0,0,0,36.53,False,0,0,0
1294821,1295364,1295365,-51985,-75293,42,23308,0,23309.86,23307.1,554.931,0,555,1295365,1295874,1295875,-110919,-111866,947,954.1429,952.4866,22.67825,22.5,0,0,0,0,0,0,0,0,36.53,False,0,0,0
1295941,1296447,1296448,-51994,-75293,42,23299,0,23309.14,23308.18,554.9567,0,555,1296448,1296994,1296995,-110909,-111866,957,955.1429,953.1351,22.69369,22.5,0,0,0,0,0,0,0,0,36.53,False,0,0,0
1297061,1297628,1297629,-51979,-75293,42,23314,0,23310.57,23308.56,554.9657,0,555,1297629,1298114,1298115,-110891,-111866,975,959.5714,953.9211,22.71241,23.0,0,0,0,0,0,0,0,0,36.53,False,0,0,0
1298181,1298711,1298712,-51956,-75293,42,23337,0,23316.0,23309.35,554.9845,0,555,1298712,1299234,1299235,-110911,-111866,955,958.2857,956.1332,22.76508,23.0,0,0,0,0,0,0,0,0,36.53,False,0,0,0
1299301,1299794,1299794,-51961,-75293,42,23332,0,23316.43,23311.95,555.0464,0,555,1299794,1300354,1300355,-110908,-111866,958,959.4286,956.976,22.78514,23.0,0,0,0,0,0,0,0,0,36.53,False,0,0,0
1300420,1300975,1300976,-51993,-75293,42,23300,0,23315.86,23313.71,555.0882,0,555,1300976,1301474,1301475,-110904,-111866,962,960.2857,957.9362,22.808,23.0,0,0,0,0,0,0,0,0,36.53,False,0,0,0
1301541,1302058,1302058,-51970,-75293,42,23323,0,23316.14,23314.55,555.1083,0,555,1302058,1302594,1302595,-110905,-111866,961,959.2857,958.856,22.8299,23.0,0,0,0,0,0,0,0,0,36.53,False,0,0,0
1302660,1303239,1303240,-51969,-75293,42,23324,0,23318.43,23315.17,555.1232,0,555,1303240,1303714,1303715,-110893,-111866,973,963.0,959.0242,22.83391,23.0,0,0,0,0,0,0,0,0,36.53,False,0,0,0
1303780,1304322,1304322,-51968,-75293,42,23325,0,23322.14,23316.45,555.1534,0,555,1304322,1304834,1304835,-110911,-111866,955,962.7143,960.5807,22.87097,23.0,0,0,0,0,0,0,0,0,36.53,False,0,0,0
1304900,1305404,1305405,-51976,-75293,42,23317,0,23322.57,23318.68,555.2065,0,555,1305405,1305954,1305955,-110902,-111866,964,961.1429,961.416,22.89086,23.0,0,0,0,0,0,0,0,0,36.53,False,0,0,0
