tBeforeMeasure1,tAfterMeasure1,tAfterAlgo1,realValue_WU1,offset1,calibrationFactor,relativeVal_WU1,realValue_WU_AngleAdj,realValue_WU_MovAvg1,realValue_WU_Filt1,realValue1,realValueFiltered,correctedValueFiltered1,tBeforeMeasure2,tAfterMeasure2,tAfterAlgo2,realValue_WU2,offset2,relativeVal_WU2,realValue_WU_MovAvg2,realValue_WU_Filt2,realValue2,correctedValueFiltered2,myAx,myAy,myAz,myGx,myGy,myGz,thetadeg,phideg,myTmp,bSync,vccReadBits,vccReadVolts,vccGPIO
128316,128859,128859,-72617,-88334,42,15717,0,15717.0,15717.0,374.2143,0,374.0,128859,129371,129371,-49200,-60977,11777,11838.43,11829.49,281.6545,281.5,0,0,0,0,0,0,0,0,0,False,0,0,0
129435,129941,129941,-72592,-88334,42,15742,0,15720.57,15717.0,374.2143,0,374.0,129941,130491,130491,-49192,-60977,11785,11836.86,11832.99,281.7379,282.0,0,0,0,0,0,0,0,0,0,False,0,0,0
130556,131122,131122,-72605,-88334,42,15729,0,15722.29,15718.4,374.2476,0,374.0,131122,131611,131611,-49204,-60977,11773,11832.14,11834.5,281.7739,282.0,0,0,0,0,0,0,0,0,0,False,0,0,0
131675,132204,132204,-72598,-88334,42,15736,0,15725.0,15719.92,374.2838,0,374.0,132204,132730,132730,-49175,-60977,11802,11829.29,11833.58,281.7519,282.0,0,0,0,0,0,0,0,0,0,False,0,0,0
132845,133385,133385,-72626,-88334,42,15708,0,15723.71,15721.91,374.3312,0,374.0,133385,133943,133943,-49177,-60977,11800,11829.14,11831.9,281.7119,282.0,0,0,0,0,0,0,0,0,0,False,0,0,0
134008,134565,134566,-72589,-88334,42,15745,0,15727.71,15722.62,374.348,0,374.0,134566,135063,135063,-49192,-60977,11785,11781.71,11830.82,281.6862,281.5,0,0,0,0,0,0,0,0,0,False,0,0,0
135128,135648,135648,-72606,-88334,42,15728,0,15729.29,15724.61,374.3955,0,374.0,135648,136183,136183,-49148,-60977,11829,11793.0,11811.59,281.2285,281.0,0,0,0,0,0,0,0,0,0,False,0,0,0
136297,136828,136829,-72595,-88334,42,15739,0,15732.43,15726.44,374.4391,0,374.5,136829,137302,137302,-49170,-60977,11807,11797.29,11804.31,281.0551,281.0,0,0,0,0,0,0,0,0,0,False,0,0,0
137367,137911,137911,-72594,-88334,42,15740,0,15732.14,15728.79,374.4949,0,374.5,137911,138422,138422,-49168,-60977,11809,11800.71,11801.56,280.9896,281.0,0,0,0,0,0,0,0,0,0,False,0,0,0
138487,138993,138993,-72580,-88334,42,15754,0,15735.71,15730.1,374.5262,0,374.5,138993,139542,139542,-49160,-60977,11817,11807.0,11801.23,280.9817,281.0,0,0,0,0,0,0,0,0,0,False,0,0,0
139606,140174,140174,-72587,-88334,42,15747,0,15737.29,15732.3,374.5785,0,374.5,140174,140661,140661,-49165,-60977,11812,11808.43,11803.49,281.0355,281.0,0,0,0,0,0,0,0,0,0,False,0,0,0
140726,141256,141256,-72586,-88334,42,15748,0,15743.0,15734.25,374.625,0,374.5,141256,141781,141781,-49162,-60977,11815,11810.57,11805.42,281.0815,281.0,0,0,0,0,0,0,0,0,0,False,0,0,0
141896,142437,142437,-72578,-88334,42,15756,0,15744.57,15737.68,374.7066,0,375.0,142437,142994,142994,-49143,-60977,11834,11817.57,11807.44,281.1295,281.0,0,0,0,0,0,0,0,0,0,False,0,0,0
143059,143617,143618,-72572,-88334,42,15762,0,15749.43,15740.38,374.7708,0,375.0,143618,144114,144114,-49135,-60977,11842,11819.43,11811.41,281.2239,281.0,0,0,0,0,0,0,0,0,0,False,0,0,0
144178,144700,144700,-72574,-88334,42,15760,0,15752.43,15743.92,374.8552,0,375.0,144700,145233,145233,-49146,-60977,11831,11822.86,11814.55,281.2987,281.0,0,0,0,0,0,0,0,0,0,False,0,0,0
