tBeforeMeasure1,tAfterMeasure1,tAfterAlgo1,realValue_WU1,offset1,calibrationFactor,relativeVal_WU1,realValue_WU_AngleAdj,realValue_WU_MovAvg1,realValue_WU_Filt1,realValue1,realValueFiltered,correctedValueFiltered1,tBeforeMeasure2,tAfterMeasure2,tAfterAlgo2,realValue_WU2,offset2,relativeVal_WU2,realValue_WU_MovAvg2,realValue_WU_Filt2,realValue2,correctedValueFiltered2,myAx,myAy,myAz,myGx,myGy,myGz,thetadeg,phideg,myTmp,bSync,vccReadBits,vccReadVolts,vccGPIO
133545,134133,134134,-78439,-112384,42,33945,0,33945.0,33945.0,808.2143,0,808.0,134134,134690,134691,-90331,-80810,-9521,-9521.0,-9521.0,-226.6905,-226,0.681885,0.783447,0.114014,-50.65649,-1.923664,1.51145,-40.73796,81.71979,19.63588,True,0,0,0
134762,135318,135319,-78389,-112384,42,33995,0,33995.0,33995.0,809.4048,0,809.5,135319,135812,135813,-90317,-80810,-9507,-9519.0,-9521.0,-226.6905,-226,0.682861,0.772217,0.121094,-50.70229,-1.847328,1.839695,-41.14073,81.08766,19.68294,False,0,0,0
135884,136405,136406,-78371,-112384,42,34013,0,33997.57,33995.0,809.4048,0,809.5,136406,136935,136936,-90302,-80810,-9492,-9514.857,-9520.217,-226.6718,-226,0.69458,0.780029,0.118164,-50.43512,-1.954199,1.755725,-41.36089,81.38576,19.68294,False,0,0,0
137008,137590,137591,-78382,-112384,42,34002,0,33998.57,33996.01,809.4288,0,809.5,137591,138151,138152,-90290,-80810,-9480,-9509.0,-9518.118,-226.6219,-226,0.6875,0.787354,0.116699,-50.67176,-2.114504,1.870229,-40.81847,81.56898,19.63588,False,0,0,0
138224,138775,138776,-78354,-112384,42,34030,0,34003.57,33997.01,809.4526,0,809.5,138776,139274,139274,-90277,-80810,-9467,-9501.286,-9514.549,-226.5369,-226,0.678223,0.78418,0.119629,-50.54962,-2.030534,1.89313,-40.53002,81.32605,19.63588,False,0,0,0
139347,139861,139862,-78352,-112384,42,34032,0,34008.86,33999.58,809.5138,0,809.5,139862,140396,140397,-90309,-80810,-9499,-9498.143,-9509.356,-226.4133,-226,0.681641,0.768799,0.12207,-50.57252,-1.946565,1.816794,-41.20728,80.97768,19.63588,False,0,0,0
140469,141046,141047,-78360,-112384,42,34024,0,34013.0,34003.21,809.6003,0,809.5,141047,141519,141519,-90266,-80810,-9456,-9488.857,-9504.966,-226.3087,-226,0.686768,0.784668,0.106445,-50.38931,-1.938931,1.694657,-40.93466,82.27442,19.73,False,0,0,0
141593,142132,142133,-78365,-112384,42,34019,0,34016.43,34007.04,809.6915,0,809.5,142133,142641,142642,-90259,-80810,-9449,-9478.571,-9498.659,-226.1586,-226,0.692871,0.77417,0.114258,-50.51145,-1.977099,1.816794,-41.52142,81.60428,19.58882,False,0,0,0
142715,143219,143219,-78354,-112384,42,34030,0,34021.43,34010.72,809.779,0,810.0,143219,143764,143765,-90252,-80810,-9442,-9469.286,-9490.795,-225.9713,-225,0.674561,0.773438,0.122314,-50.55725,-1.908397,1.740458,-40.74327,81.01325,19.63588,False,0,0,0
143837,144404,144404,-78364,-112384,42,34020,0,34022.43,34014.91,809.8789,0,810.0,144404,144887,144887,-90247,-80810,-9437,-9461.429,-9482.374,-225.7708,-225,0.68335,0.7854,0.118164,-50.51145,-2.061069,1.671756,-40.70802,81.44379,19.68294,False,0,0,0
144960,145490,145491,-78339,-112384,42,34045,0,34028.57,34017.86,809.9489,0,810.0,145491,146009,146010,-90224,-80810,-9414,-9452.0,-9474.174,-225.5756,-225,0.700928,0.780762,0.109619,-50.65649,-1.954199,1.633588,-41.63793,82.00771,19.63588,False,0,0,0
146082,146576,146577,-78340,-112384,42,34044,0,34030.57,34022.05,810.0488,0,810.0,146577,147132,147132,-90248,-80810,-9438,-9447.857,-9465.493,-225.3689,-225,0.688232,0.783447,0.115723,-50.46565,-1.969466,1.755725,-40.99177,81.59744,19.63588,False,0,0,0
147205,147761,147762,-78347,-112384,42,34037,0,34031.29,34025.39,810.1282,0,810.0,147762,148254,148255,-90219,-80810,-9409,-9435.0,-9458.589,-225.2045,-225,0.673828,0.787109,0.11499,-50.60305,-1.80916,1.755725,-40.26743,81.68816,19.58882,False,0,0,0
148327,148848,148849,-78353,-112384,42,34031,0,34032.29,34027.7,810.1832,0,810.0,148849,149377,149378,-90212,-80810,-9402,-9427.286,-9449.354,-224.9846,-224,0.681641,0.782715,0.117188,-50.57252,-2.175573,1.770992,-40.73716,81.48478,19.68294,False,0,0,0
149451,150033,150034,-78334,-112384,42,34050,0,34036.71,34029.49,810.226,0,810.0,150034,150593,150594,-90224,-80810,-9414,-9422.286,-9440.714,-224.7789,-224,0.696533,0.7854,0.114014,-50.70229,-1.801527,1.755725,-41.27177,81.74009,19.63588,False,0,0,0
