tBeforeMeasure1,tAfterMeasure1,tAfterAlgo1,realValue_WU1,offset1,relativeVal_WU1,realValue_WU_MovAvg1,realValue_WU_Filt1,tBeforeMeasure2,tAfterMeasure2,tAfterAlgo2,realValue_WU2,offset2,relativeVal_WU2,realValue_WU_MovAvg2,realValue_WU_Filt2,tBeforeMeasure3,tAfterMeasure3,tAfterAlgo3,realValue_WU3,offset3,relativeVal_WU3,realValue_WU_MovAvg3,realValue_WU_Filt3,tBeforeMeasure4,tAfterMeasure4,tAfterAlgo4,realValue_WU4,offset4,relativeVal_WU4,realValue_WU_MovAvg4,realValue_WU_Filt4,realValueFiltered,realValue,correctedValueFiltered,bSync,vccReadBits,vccReadVolts,vccGPIO,vccVolts,ratioVCCMAX,B_DEBUG_MODE,B_SERIALPORT,BF_SERIALPORT
1204991,1205291,1206191,240479.5,240275,204.5,194.25,194.6398,1205291,1205591,1206191,119979.0,107934,12045.0,12049.38,12050.24,1205591,1205891,1206191,140312.3,47213,93099.25,93083.5,93067.15,1205891,1206191,1206191,186798.0,185431,1367.0,1378.375,1380.344,0,500.9682,501,False,0,0,0,0,0,True,True,False
1206316,1206616,1207516,240478.0,240275,203.0,198.3125,194.5429,1206616,1206916,1207516,120009.8,107934,12075.75,12050.13,12050.02,1206916,1207216,1207516,140301.0,47213,93088.0,93081.5,93071.21,1207216,1207516,1207516,186826.5,185431,1395.5,1378.0,1379.855,0,501.1833,501,False,0,0,0,0,0,True,True,False
1207642,1207942,1208842,240475.5,240275,200.5,200.125,195.4798,1207942,1208242,1208842,119982.5,107934,12048.5,12051.31,12050.05,1208242,1208542,1208842,140297.3,47213,93084.25,93084.19,93073.77,1208542,1208842,1208842,186862.8,185431,1431.75,1392.563,1379.394,0,501.2021,501,False,0,0,0,0,0,True,True,False
1208969,1209269,1210169,240477.8,240275,202.75,202.6875,196.6342,1209269,1209569,1210169,120000.3,107934,12066.25,12058.88,12050.36,1209569,1209869,1210169,140301.8,47213,93088.75,93090.06,93076.36,1209869,1210169,1210169,186819.8,185431,1388.75,1395.75,1382.667,0,501.1105,501,False,0,0,0,0,0,True,True,False
1210296,1210596,1211496,240492.8,240275,217.75,206.0,198.1386,1210596,1210896,1211496,119998.3,107934,12064.25,12063.69,12052.48,1210896,1211196,1211496,140296.0,47213,93083.0,93086.0,93079.77,1211196,1211496,1211496,186810.5,185431,1379.5,1398.875,1385.918,0,501.0986,501,False,0,0,0,0,0,True,True,False
1211620,1211920,1212820,240474.3,240275,199.25,205.0625,200.0923,1211920,1212220,1212820,119996.5,107934,12062.5,12060.38,12055.26,1212220,1212520,1212820,140303.3,47213,93090.25,93086.56,93081.31,1212520,1212820,1212820,186844.8,185431,1413.75,1403.438,1389.138,0,501.203,501,False,0,0,0,0,0,True,True,False
1212945,1213245,1214145,240485.5,240275,210.5,207.5625,201.3275,1213245,1213545,1214145,119976.0,107934,12042.0,12058.75,12056.54,1213545,1213845,1214145,140288.8,47213,93075.75,93084.44,93082.62,1213845,1214145,1214145,186819.8,185431,1388.75,1392.688,1392.692,0,500.9741,501,False,0,0,0,0,0,True,True,False
1214270,1214570,1215470,240498.3,240275,223.25,212.6875,202.8771,1214570,1214870,1215470,119973.5,107934,12039.5,12052.06,12057.09,1214870,1215170,1215470,140311.0,47213,93098.0,93086.75,93083.07,1215170,1215470,1215470,186850.3,185431,1419.25,1400.313,1392.691,0,501.27,501,False,0,0,0,0,0,True,True,False
1215595,1215895,1216795,240470.5,240275,195.5,207.125,205.3152,1215895,1216195,1216795,119969.0,107934,12035.0,12044.75,12055.84,1216195,1216495,1216795,140316.0,47213,93103.0,93091.75,93083.98,1216495,1216795,1216795,186831.8,185431,1400.75,1405.625,1394.585,0,501.0595,501,False,0,0,0,0,0,True,True,False
1216920,1217220,1218120,240472.3,240275,197.25,206.625,205.765,1217220,1217520,1218120,119994.8,107934,12060.75,12044.31,12053.08,1217520,1217820,1218120,140289.0,47213,93076.0,93088.19,93085.91,1217820,1218120,1218120,186808.3,185431,1377.25,1396.5,1397.329,0,500.9459,501,False,0,0,0,0,0,True,True,False
