tBeforeMeasure1,tAfterMeasure1,tAfterAlgo1,realValue_WU1,offset1,relativeVal_WU1,realValue_WU_MovAvg1,realValue_WU_Filt1,tBeforeMeasure2,tAfterMeasure2,tAfterAlgo2,realValue_WU2,offset2,relativeVal_WU2,realValue_WU_MovAvg2,realValue_WU_Filt2,tBeforeMeasure3,tAfterMeasure3,tAfterAlgo3,realValue_WU3,offset3,relativeVal_WU3,realValue_WU_MovAvg3,realValue_WU_Filt3,tBeforeMeasure4,tAfterMeasure4,tAfterAlgo4,realValue_WU4,offset4,relativeVal_WU4,realValue_WU_MovAvg4,realValue_WU_Filt4,realValueFiltered,realValue,correctedValueFiltered,bSync,vccReadBits,vccReadVolts,vccGPIO,vccVolts,ratioVCCMAX,B_DEBUG_MODE,B_SERIALPORT,BF_SERIALPORT
74197,74497,75397,142530.3,122315,20215.25,20218.44,20219.5,74497,74797,75397,234992.8,179595,55397.75,55400.56,55401.5,74797,75097,75397,276097.8,239263,36834.75,36823.88,36820.25,75097,75397,75397,-152961.8,-148351,-4610.75,-4611.5,-4611.75,0,504.9822,505,False,0,0,0,0,0,True,True,False
75521,75821,76721,142517.0,122315,20202.0,20214.06,20219.24,75821,76121,76721,234986.8,179595,55391.75,55398.13,55401.27,76121,76421,76721,276067.3,239263,36804.25,36819.88,36821.15,76421,76721,76721,-152955.0,-148351,-4604.0,-4609.563,-4611.688,0,504.7793,505,False,0,0,0,0,0,True,True,False
76845,77145,78045,142514.8,122315,20199.75,20209.13,20217.95,77145,77445,78045,234972.3,179595,55377.25,55392.06,55400.48,77445,77745,78045,276080.0,239263,36817.0,36819.06,36820.84,77745,78045,78045,-152958.5,-148351,-4607.5,-4608.5,-4611.16,0,504.7466,505,False,0,0,0,0,0,True,True,False
78170,78470,79370,142519.5,122315,20204.5,20205.38,20215.76,78470,78770,79370,234997.8,179595,55402.75,55392.38,55398.39,78770,79070,79370,276098.5,239263,36835.5,36822.88,36820.39,79070,79370,79370,-152922.0,-148351,-4571.0,-4598.313,-4610.499,0,505.1391,505,False,0,0,0,0,0,True,True,False
79495,79795,80695,142553.0,122315,20238.0,20211.06,20213.18,79795,80095,80695,234970.5,179595,55375.5,55386.81,55396.9,80095,80395,80695,276090.8,239263,36827.75,36821.13,36821.01,80395,80695,80695,-152948.3,-148351,-4597.25,-4594.938,-4607.47,0,505.0073,505,False,0,0,0,0,0,True,True,False
80820,81120,82020,142571.8,122315,20256.75,20224.75,20212.65,81120,81420,82020,235003.5,179595,55408.5,55391.0,55394.39,81420,81720,82020,276101.3,239263,36838.25,36829.63,36821.04,81720,82020,82020,-152955.8,-148351,-4604.75,-4595.125,-4604.355,0,505.2623,505,False,0,0,0,0,0,True,True,False
82146,82446,83346,142546.5,122315,20231.5,20232.69,20215.66,82446,82746,83346,234980.8,179595,55385.75,55393.13,55393.55,82746,83046,83346,276099.8,239263,36836.75,36834.56,36823.17,83046,83346,83346,-153004.5,-148351,-4653.5,-4606.625,-4602.062,0,504.8168,505,False,0,0,0,0,0,True,True,False
83470,83770,84670,142549.5,122315,20234.5,20240.19,20219.89,83770,84070,84670,234984.0,179595,55389.0,55389.69,55393.45,84070,84370,84670,276089.0,239263,36826.0,36832.19,36826.0,84370,84670,84670,-152927.3,-148351,-4576.25,-4607.938,-4603.196,0,505.1405,505,False,0,0,0,0,0,True,True,False
84793,85093,85993,142539.0,122315,20224.0,20236.69,20224.94,85093,85393,85993,234984.5,179595,55389.5,55393.19,55392.51,85393,85693,85993,276081.0,239263,36818.0,36829.75,36827.54,85693,85993,85993,-152973.5,-148351,-4622.5,-4614.25,-4604.375,0,504.8503,505,False,0,0,0,0,0,True,True,False
86117,86417,87317,142507.8,122315,20192.75,20220.69,20227.86,86417,86717,87317,235010.8,179595,55415.75,55395.0,55392.68,86717,87017,87317,276082.5,239263,36819.5,36825.06,36828.09,87017,87317,87317,-152925.8,-148351,-4574.75,-4606.75,-4606.829,0,505.054,505,False,0,0,0,0,0,True,True,False
