tBeforeMeasure1,tAfterMeasure1,tAfterAlgo1,realValue_WU1,offset1,relativeVal_WU1,realValue_WU_MovAvg1,realValue_WU_Filt1,tBeforeMeasure2,tAfterMeasure2,tAfterAlgo2,realValue_WU2,offset2,relativeVal_WU2,realValue_WU_MovAvg2,realValue_WU_Filt2,tBeforeMeasure3,tAfterMeasure3,tAfterAlgo3,realValue_WU3,offset3,relativeVal_WU3,realValue_WU_MovAvg3,realValue_WU_Filt3,tBeforeMeasure4,tAfterMeasure4,tAfterAlgo4,realValue_WU4,offset4,relativeVal_WU4,realValue_WU_MovAvg4,realValue_WU_Filt4,realValueFiltered,realValue,correctedValueFiltered,bSync,vccReadBits,vccReadVolts,vccGPIO,vccVolts,ratioVCCMAX,B_DEBUG_MODE,B_SERIALPORT,BF_SERIALPORT
87539,87839,88739,399041.8,240223,158818.8,158810.7,158808.0,87839,88139,88739,151922.8,123182,28740.75,28727.25,28722.75,88139,88439,88739,35794.5,34202,1592.5,1576.0,1570.5,88439,88739,88739,319552.8,182107,137445.8,137443.7,137443.0,0,1510.585,1510.5,False,0,0,0,0,0,True,True,False
88862,89162,90062,399069.5,240223,158846.5,158820.3,158808.7,89162,89462,90062,151918.3,123182,28736.25,28730.63,28723.87,89462,89762,90062,35771.75,34202,1569.75,1575.813,1571.867,89762,90062,90062,319571.3,182107,137464.3,137449.0,137443.2,0,1510.671,1510.5,False,0,0,0,0,0,True,True,False
90187,90487,91387,399071.5,240223,158848.5,158830.4,158811.6,90487,90787,91387,151920.0,123182,28738.0,28734.44,28725.55,90787,91087,91387,35785.5,34202,1583.5,1579.063,1572.848,91087,91387,91387,319578.0,182107,137471.0,137456.0,137444.6,0,1510.785,1511.0,False,0,0,0,0,0,True,True,False
91511,91811,92711,399070.5,240223,158847.5,158840.3,158816.3,91811,92111,92711,151928.0,123182,28746.0,28740.25,28727.76,92111,92411,92711,35786.5,34202,1584.5,1582.563,1574.392,92411,92711,92711,319588.3,182107,137481.3,137465.6,137447.5,0,1510.87,1511.0,False,0,0,0,0,0,True,True,False
92837,93137,94037,399073.0,240223,158850.0,158848.1,158822.2,93137,93437,94037,151918.5,123182,28736.5,28739.19,28730.86,93437,93737,94037,35788.5,34202,1586.5,1581.063,1576.423,93737,94037,94037,319596.8,182107,137489.8,137476.6,137452.0,0,1510.888,1511.0,False,0,0,0,0,0,True,True,False
94160,94460,95360,399041.0,240223,158818.0,158841.0,158828.7,94460,94760,95360,151926.0,123182,28744.0,28741.13,28732.93,94760,95060,95360,35767.25,34202,1565.25,1579.938,1577.576,95060,95360,95360,319603.8,182107,137496.8,137484.7,137458.1,0,1510.71,1511.0,False,0,0,0,0,0,True,True,False
95483,95783,96683,399056.5,240223,158833.5,158837.3,158831.7,95783,96083,96683,151921.3,123182,28739.25,28741.44,28734.97,96083,96383,96683,35801.0,34202,1599.0,1583.813,1578.163,96383,96683,96683,319618.8,182107,137511.8,137494.9,137464.7,0,1510.989,1511.0,False,0,0,0,0,0,True,True,False
96807,97107,98007,399082.3,240223,158859.3,158840.2,158833.1,97107,97407,98007,151896.3,123182,28714.25,28733.5,28736.58,97407,97707,98007,35800.5,34202,1598.5,1587.313,1579.567,97707,98007,98007,319588.0,182107,137481.0,137494.8,137472.2,0,1510.844,1511.0,False,0,0,0,0,0,True,True,False
98130,98430,99330,399083.5,240223,158860.5,158842.8,158834.9,98430,98730,99330,151933.3,123182,28751.25,28737.19,28735.81,98730,99030,99330,35778.5,34202,1576.5,1584.813,1581.492,99030,99330,99330,319664.5,182107,137557.5,137511.8,137477.8,0,1511.276,1511.0,False,0,0,0,0,0,True,True,False
99454,99754,100654,399058.5,240223,158835.5,158847.2,158836.8,99754,100054,100654,151946.0,123182,28764.0,28742.19,28736.15,100054,100354,100654,35786.75,34202,1584.75,1589.688,1582.317,100354,100654,100654,319701.3,182107,137594.3,137536.1,137486.3,0,1511.434,1511.5,False,0,0,0,0,0,True,True,False
100780,101080,101980,399041.5,240223,158818.5,158843.4,158839.4,101080,101380,101980,151916.3,123182,28734.25,28740.94,28737.65,101380,101680,101980,35787.5,34202,1585.5,1586.313,1584.149,101680,101980,101980,319679.3,182107,137572.3,137551.3,137498.6,0,1511.121,1511.0,False,0,0,0,0,0,True,True,False
102105,102405,103305,399046.0,240223,158823.0,158834.4,158840.4,102405,102705,103305,151927.3,123182,28745.25,28748.69,28738.47,102705,103005,103305,35789.75,34202,1587.75,1583.625,1584.687,103005,103305,103305,319680.5,182107,137573.5,137574.4,137511.7,0,1511.208,1511.0,False,0,0,0,0,0,True,True,False
103431,103731,104631,399033.5,240223,158810.5,158821.9,158838.9,103731,104031,104631,151897.5,123182,28715.5,28739.75,28741.01,104031,104331,104631,35806.25,34202,1604.25,1590.563,1584.423,104331,104631,104631,319697.3,182107,137590.3,137582.6,137527.3,0,1511.173,1511.0,False,0,0,0,0,0,True,True,False
104758,105058,105958,399050.0,240223,158827.0,158819.8,158834.7,105058,105358,105958,151912.0,123182,28730.0,28731.25,28740.7,105358,105658,105958,35790.75,34202,1588.75,1591.563,1585.949,105658,105958,105958,319666.0,182107,137559.0,137573.8,137541.0,0,1511.092,1511.0,False,0,0,0,0,0,True,True,False
106081,106381,107281,399081.5,240223,158858.5,158829.8,158831.0,106381,106681,107281,151928.8,123182,28746.75,28734.38,28738.35,106681,106981,107281,35797.25,34202,1595.25,1594.0,1587.344,106981,107281,107281,319683.0,182107,137576.0,137574.7,137549.2,0,1511.423,1511.5,False,0,0,0,0,0,True,True,False
