tBeforeMeasure1,tAfterMeasure1,tAfterAlgo1,realValue_WU1,offset1,relativeVal_WU1,realValue_WU_MovAvg1,realValue_WU_Filt1,tBeforeMeasure2,tAfterMeasure2,tAfterAlgo2,realValue_WU2,offset2,relativeVal_WU2,realValue_WU_MovAvg2,realValue_WU_Filt2,tBeforeMeasure3,tAfterMeasure3,tAfterAlgo3,realValue_WU3,offset3,relativeVal_WU3,realValue_WU_MovAvg3,realValue_WU_Filt3,tBeforeMeasure4,tAfterMeasure4,tAfterAlgo4,realValue_WU4,offset4,relativeVal_WU4,realValue_WU_MovAvg4,realValue_WU_Filt4,realValueFiltered,realValue,correctedValueFiltered,bSync,vccReadBits,vccReadVolts,vccGPIO,vccVolts,ratioVCCMAX,B_DEBUG_MODE,B_SERIALPORT,BF_SERIALPORT
17367,17667,18567,284438.3,241057,43381.25,43381.25,43381.25,17667,17967,18567,222441.0,119051,103390.0,103390.0,103390.0,17967,18267,18567,115078.8,35210,79868.75,79868.75,79868.75,18267,18567,18567,283138.5,184552,98586.5,98586.5,98586.5,0,1506.562,1506.5,True,0,0,0,0,0,True,True,False
18690,18990,19890,284516.8,241057,43459.75,43459.75,43459.75,18990,19290,19890,222384.5,119051,103333.5,103333.5,103333.5,19290,19590,19890,115110.0,35210,79900.0,79900.0,79900.0,19590,19890,19890,283110.8,184552,98558.75,98558.75,98558.75,0,1506.7,1506.5,True,0,0,0,0,0,True,True,False
20014,20314,21214,284562.0,241057,43505.0,43471.06,43459.75,20314,20614,21214,222342.3,119051,103291.3,103322.9,103333.5,20614,20914,21214,115164.5,35210,79954.5,79913.63,79900.0,20914,21214,21214,283049.8,184552,98497.75,98543.5,98558.75,0,1506.696,1506.5,False,0,0,0,0,0,True,True,False
21338,21638,22538,284620.3,241057,43563.25,43496.94,43462.56,21638,21938,22538,222290.8,119051,103239.8,103299.5,103330.9,21938,22238,22538,115211.5,35210,80001.5,79939.0,79903.39,22238,22538,22538,283016.5,184552,98464.5,98519.94,98554.96,0,1506.808,1507.0,False,0,0,0,0,0,True,True,False
22663,22963,23863,284656.8,241057,43599.75,43531.94,43471.11,22963,23263,23863,222239.3,119051,103188.3,103263.2,103323.1,23263,23563,23863,115219.8,35210,80009.75,79966.44,79912.24,23563,23863,23863,283030.8,184552,98478.75,98499.94,98546.26,0,1506.856,1507.0,False,0,0,0,0,0,True,True,False
23989,24289,25189,284641.3,241057,43584.25,43563.06,43486.22,24289,24589,25189,222266.5,119051,103215.5,103233.7,103308.2,24589,24889,25189,115233.0,35210,80023.0,79997.19,79925.71,24889,25189,25189,282974.5,184552,98422.5,98465.88,98534.75,0,1506.703,1507.0,False,0,0,0,0,0,True,True,False
25312,25612,26512,284681.3,241057,43624.25,43592.88,43505.32,25612,25912,26512,222286.0,119051,103235.0,103219.6,103289.7,25912,26212,26512,115214.5,35210,80004.5,80009.69,79943.48,26212,26512,26512,282971.8,184552,98419.75,98446.38,98517.63,0,1506.882,1507.0,False,0,0,0,0,0,True,True,False
26635,26935,27835,284664.8,241057,43607.75,43604.0,43527.08,26935,27235,27835,222310.3,119051,103259.3,103224.5,103272.3,27235,27535,27835,115060.5,35210,79850.5,79971.94,79959.93,27535,27835,27835,283194.3,184552,98642.25,98490.81,98499.92,0,1507.231,1507.0,False,0,0,0,0,0,True,True,False
27958,28258,29158,284461.0,241057,43404.0,43555.06,43546.2,28258,28558,29158,222407.0,119051,103356.0,103266.4,103260.4,28558,28858,29158,115094.5,35210,79884.5,79940.63,79962.91,28858,29158,29158,283117.0,184552,98565.0,98512.38,98497.66,0,1506.491,1506.5,False,0,0,0,0,0,True,True,False
29280,29580,30480,284825.0,241057,43768.0,43768.0,43768.0,29580,29880,30480,222136.8,119051,103085.8,103085.8,103085.8,29880,30180,30480,115409.8,35210,80199.75,80199.75,80199.75,30180,30480,30480,282845.3,184552,98293.25,98293.25,98293.25,0,1507.222,1507.0,True,0,0,0,0,0,True,True,False
30604,30904,31804,284812.0,241057,43755.0,43755.0,43755.0,30904,31204,31804,222100.8,119051,103049.8,103049.8,103049.8,31204,31504,31804,115350.3,35210,80140.25,80140.25,80140.25,31504,31804,31804,282834.3,184552,98282.25,98282.25,98282.25,0,1506.668,1506.5,True,0,0,0,0,0,True,True,False
31929,32229,33129,284840.3,241057,43783.25,43762.06,43755.0,32229,32529,33129,222098.5,119051,103047.5,103049.2,103049.8,32529,32829,33129,115387.3,35210,80177.25,80149.5,80140.25,32829,33129,33129,282824.5,184552,98272.5,98279.81,98282.25,0,1506.92,1507.0,False,0,0,0,0,0,True,True,False
33254,33554,34454,284852.8,241057,43795.75,43772.25,43756.75,33554,33854,34454,222115.0,119051,103064.0,103052.8,103049.6,33854,34154,34454,115374.0,35210,80164.0,80155.44,80142.55,34154,34454,34454,282774.5,184552,98222.5,98264.88,98281.65,0,1506.758,1507.0,False,0,0,0,0,0,True,True,False
34577,34877,35777,284872.5,241057,43815.5,43787.38,43760.61,34877,35177,35777,222110.8,119051,103059.8,103055.3,103050.4,35177,35477,35777,115285.0,35210,80075.0,80139.13,80145.75,35477,35777,35777,283021.0,184552,98469.0,98311.56,98277.48,0,1507.569,1507.5,False,0,0,0,0,0,True,True,False
35901,36201,37101,284555.5,241057,43498.5,43723.25,43767.26,36201,36501,37101,222296.3,119051,103245.3,103104.1,103051.6,36501,36801,37101,115201.5,35210,79991.5,80101.94,80144.1,36801,37101,37101,283042.3,184552,98490.25,98363.56,98285.95,0,1506.597,1506.5,False,0,0,0,0,0,True,True,False
