tBeforeMeasure1,tAfterMeasure1,tAfterAlgo1,realValue_WU1,offset1,relativeVal_WU1,realValue_WU_MovAvg1,realValue_WU_Filt1,tBeforeMeasure2,tAfterMeasure2,tAfterAlgo2,realValue_WU2,offset2,relativeVal_WU2,realValue_WU_MovAvg2,realValue_WU_Filt2,tBeforeMeasure3,tAfterMeasure3,tAfterAlgo3,realValue_WU3,offset3,relativeVal_WU3,realValue_WU_MovAvg3,realValue_WU_Filt3,tBeforeMeasure4,tAfterMeasure4,tAfterAlgo4,realValue_WU4,offset4,relativeVal_WU4,realValue_WU_MovAvg4,realValue_WU_Filt4,realValueFiltered,realValue,correctedValueFiltered,bSync,vccReadBits,vccReadVolts,vccGPIO,vccVolts,ratioVCCMAX,B_DEBUG_MODE,B_SERIALPORT,BF_SERIALPORT
322108,322408,323308,457966.3,477937,-19970.75,-19970.75,-19970.75,322408,322708,323308,65491.25,65570,-78.75,-78.75,-78.75,322708,323008,323308,357961.5,297961,60000.5,60000.5,60000.5,323008,323308,323308,219482.8,195250,24232.75,24232.75,24232.75,0,307.3269,307.0,True,0,0,0,0,0,True,True,False
323434,323734,324634,681924.3,477937,203987.3,203987.3,203987.3,323734,324034,324634,65502.75,65570,-67.25,-67.25,-67.25,324034,324334,324634,638207.0,297961,340246.0,340246.0,340246.0,324334,324634,324634,199536.8,195250,4286.75,4286.75,4286.75,0,2540.993,2541.0,True,0,0,0,0,0,True,True,False
324759,325059,325959,691437.8,477937,213500.8,213500.8,213500.8,325059,325359,325959,65514.75,65570,-55.25,-55.25,-55.25,325359,325659,325959,638694.5,297961,340733.5,340733.5,340733.5,325659,325959,325959,199305.5,195250,4055.5,4055.5,4055.5,0,2585.247,2585.0,True,0,0,0,0,0,True,True,False
326086,326386,327286,691356.5,477937,213419.5,213419.5,213419.5,326386,326686,327286,65512.5,65570,-57.5,-57.5,-57.5,326686,326986,327286,638693.8,297961,340732.8,340732.8,340732.8,326986,327286,327286,199303.8,195250,4053.75,4053.75,4053.75,0,2584.857,2585.0,True,0,0,0,0,0,True,True,False
327410,327710,328610,691327.8,477937,213390.8,213412.3,213419.5,327710,328010,328610,65505.25,65570,-64.75,-59.3125,-57.5,328010,328310,328610,638710.0,297961,340749.0,340736.8,340732.8,328310,328610,328610,199335.0,195250,4085.0,4061.563,4053.75,0,2584.918,2585.0,False,0,0,0,0,0,True,True,False
328734,329034,329934,691293.5,477937,213356.5,213396.6,213417.7,329034,329334,329934,65487.5,65570,-82.5,-65.5625,-57.95045,329334,329634,329934,638688.5,297961,340727.5,340735.5,340733.8,329634,329934,329934,199343.3,195250,4093.25,4071.438,4055.692,0,2584.621,2584.5,False,0,0,0,0,0,True,True,False
330060,330360,331260,691276.8,477937,213339.8,213376.6,213412.5,330360,330660,331260,65534.0,65570,-36.0,-60.1875,-59.84222,330660,330960,331260,638736.0,297961,340775.0,340746.1,340734.2,330960,331260,331260,199333.5,195250,4083.5,4078.875,4059.605,0,2584.933,2585.0,False,0,0,0,0,0,True,True,False
331385,331685,332585,691297.8,477937,213360.8,213361.9,213403.6,331685,331985,332585,65503.25,65570,-66.75,-62.5,-59.92803,331985,332285,332585,638722.8,297961,340761.8,340753.3,340737.1,332285,332585,332585,199352.5,195250,4102.5,4091.063,4064.394,0,2584.916,2585.0,False,0,0,0,0,0,True,True,False
332710,333010,333910,691298.3,477937,213361.3,213354.6,213393.2,333010,333310,333910,65496.0,65570,-74.0,-64.8125,-60.56722,333310,333610,333910,638729.5,297961,340768.5,340758.2,340741.2,333610,333910,333910,199349.5,195250,4099.5,4094.688,4071.022,0,2584.903,2585.0,False,0,0,0,0,0,True,True,False
334034,334334,335234,691274.8,477937,213337.8,213349.9,213383.6,334334,334634,335234,65505.25,65570,-64.75,-60.375,-61.62227,334634,334934,335234,638739.8,297961,340778.8,340771.0,340745.4,334934,335234,335234,199362.3,195250,4112.25,4099.438,4076.904,0,2584.947,2585.0,False,0,0,0,0,0,True,True,False
