tBeforeMeasure1,tAfterMeasure1,tAfterAlgo1,realValue_WU1,offset1,relativeVal_WU1,realValue_WU_MovAvg1,realValue_WU_Filt1,tBeforeMeasure2,tAfterMeasure2,tAfterAlgo2,realValue_WU2,offset2,relativeVal_WU2,realValue_WU_MovAvg2,realValue_WU_Filt2,tBeforeMeasure3,tAfterMeasure3,tAfterAlgo3,realValue_WU3,offset3,relativeVal_WU3,realValue_WU_MovAvg3,realValue_WU_Filt3,tBeforeMeasure4,tAfterMeasure4,tAfterAlgo4,realValue_WU4,offset4,relativeVal_WU4,realValue_WU_MovAvg4,realValue_WU_Filt4,realValueFiltered,realValue,correctedValueFiltered,bSync,vccReadBits,vccReadVolts,vccGPIO,vccVolts,ratioVCCMAX,B_DEBUG_MODE,B_SERIALPORT,BF_SERIALPORT
8459,8759,9659,482278.0,482405,-127.0,-52.125,-7.479847,8759,9059,9659,65565.5,65585,-19.5,-16.8125,-4.577538,9059,9359,9659,281342.5,281270,72.5,19.1875,0.404125,9359,9659,9659,199491.5,199239,252.5,116.0,17.99638,0,2.784445,0.0,False,0,0,0,0,0,True,True,False
9781,10081,10981,482307.8,482405,-97.25,-76.4375,-18.57518,10081,10381,10981,65549.25,65585,-35.75,-25.75,-7.618204,10381,10681,10981,281306.3,281270,36.25,28.25,5.07222,10681,10981,10981,199394.0,199239,155.0,154.75,42.3525,0,2.214856,0.0,False,0,0,0,0,0,True,True,False
11104,11404,12304,482275.8,482405,-129.25,-95.8125,-32.95528,11404,11704,12304,65581.25,65585,-3.75,-18.0625,-12.12437,11704,12004,12304,281296.5,281270,26.5,34.125,10.83243,12004,12304,12304,199423.0,199239,184.0,174.75,70.28584,0,2.306314,0.0,False,0,0,0,0,0,True,True,False
12426,12726,13626,482359.3,482405,-45.75,-99.8125,-48.57673,12726,13026,13626,65551.75,65585,-33.25,-23.0625,-13.60013,13026,13326,13626,281306.3,281270,36.25,42.875,16.62116,13326,13626,13626,199495.0,199239,256.0,211.875,96.24755,0,2.93579,0.0,False,0,0,0,0,0,True,True,False
13748,14048,14948,482218.5,482405,-186.5,-114.6875,-61.30998,14048,14348,14948,65532.5,65585,-52.5,-31.3125,-15.95174,14348,14648,14948,281303.3,281270,33.25,33.0625,23.14584,14648,14948,14948,199392.8,199239,153.75,187.1875,124.9836,0,1.715569,0.0,False,0,0,0,0,0,True,True,False
15071,15371,16271,482316.8,482405,-88.25,-112.4375,-74.57551,15371,15671,16271,65557.25,65585,-27.75,-29.3125,-19.76924,15671,15971,16271,281272.3,281270,2.25,24.5625,25.61035,15971,16271,16271,199399.8,199239,160.75,188.625,140.4427,0,2.15933,0.0,False,0,0,0,0,0,True,True,False
16395,16695,17595,482312.8,482405,-92.25,-103.1875,-83.98508,16695,16995,17595,65571.5,65585,-13.5,-31.75,-22.14096,16995,17295,17595,281318.8,281270,48.75,30.125,25.34994,17295,17595,17595,199455.8,199239,216.75,196.8125,152.4171,0,2.688445,0.0,False,0,0,0,0,0,True,True,False
17717,18017,18917,482211.5,482405,-193.5,-193.5,-193.5,18017,18317,18917,65554.0,65585,-31.0,-31.0,-31.0,18317,18617,18917,281438.0,281270,168.0,168.0,168.0,18617,18917,18917,231236.5,199239,31997.5,31997.5,31997.5,0,152.748,153.0,True,0,0,0,0,0,True,True,False
19040,19340,20240,692901.5,482405,210496.5,210496.5,210496.5,19340,19640,20240,65558.75,65585,-26.25,-26.25,-26.25,19640,19940,20240,308280.3,281270,27010.25,27010.25,27010.25,19940,20240,20240,486108.8,199239,286869.8,286869.8,286869.8,0,2434.37,2434.0,True,0,0,0,0,0,True,True,False
20366,20666,21566,727622.8,482405,245217.8,245217.8,245217.8,20666,20966,21566,65554.0,65585,-31.0,-31.0,-31.0,20966,21266,21566,309296.5,281270,28026.5,28026.5,28026.5,21266,21566,21566,486147.3,199239,286908.3,286908.3,286908.3,0,2596.247,2596.0,True,0,0,0,0,0,True,True,False
21692,21992,22892,727728.5,482405,245323.5,245323.5,245323.5,21992,22292,22892,65538.25,65585,-46.75,-46.75,-46.75,22292,22592,22892,309346.0,281270,28076.0,28076.0,28076.0,22592,22892,22892,486062.8,199239,286823.8,286823.8,286823.8,0,2596.487,2596.5,True,0,0,0,0,0,True,True,False
23014,23314,24214,727765.5,482405,245360.5,245332.8,245323.5,23314,23614,24214,65547.25,65585,-37.75,-44.5,-46.75,23614,23914,24214,309373.5,281270,28103.5,28082.88,28076.0,23914,24214,24214,486041.8,199239,286802.8,286818.5,286823.8,0,2596.725,2597.0,False,0,0,0,0,0,True,True,False
24338,24638,25538,727742.8,482405,245337.8,245336.3,245325.8,24638,24938,25538,65524.25,65585,-60.75,-48.0,-46.19082,24938,25238,25538,309378.3,281270,28108.25,28090.94,28077.71,25238,25538,25538,486137.8,199239,286898.8,286837.3,286822.4,0,2596.993,2597.0,False,0,0,0,0,0,True,True,False
25662,25962,26862,727623.3,482405,245218.3,245310.0,245328.4,25962,26262,26862,65564.25,65585,-20.75,-41.5,-46.64045,26262,26562,26862,309308.8,281270,28038.75,28081.63,28081.0,26562,26862,26862,486143.8,199239,286904.8,286857.5,286826.1,0,2596.336,2596.0,False,0,0,0,0,0,True,True,False
26986,27286,28186,727608.3,482405,245203.3,245279.9,245323.8,27286,27586,28186,65545.75,65585,-39.25,-39.625,-45.36293,27586,27886,28186,309321.0,281270,28051.0,28075.38,28081.15,27886,28186,28186,485942.8,199239,286703.8,286827.5,286833.9,0,2595.293,2595.0,False,0,0,0,0,0,True,True,False
28310,28610,29510,727704.8,482405,245299.8,245264.8,245312.9,28610,28910,29510,65539.5,65585,-45.5,-41.5625,-43.93692,28910,29210,29510,309315.5,281270,28045.5,28060.88,28079.72,29210,29510,29510,485961.3,199239,286722.3,286807.4,286832.3,0,2595.763,2596.0,False,0,0,0,0,0,True,True,False
29634,29934,30834,727725.0,482405,245320.0,245260.3,245301.0,29934,30234,30834,65562.0,65585,-23.0,-32.125,-43.34683,30234,30534,30834,309322.5,281270,28052.5,28046.94,28075.04,30534,30834,30834,485978.3,199239,286739.3,286767.5,286826.2,0,2596.07,2596.0,False,0,0,0,0,0,True,True,False
30957,31257,32157,727694.3,482405,245289.3,245278.1,245290.9,31257,31557,32157,65543.25,65585,-41.75,-37.375,-40.55795,31557,31857,32157,309316.8,281270,28046.75,28048.94,28068.05,31857,32157,32157,485976.3,199239,286737.3,286725.6,286811.6,0,2595.809,2596.0,False,0,0,0,0,0,True,True,False
32283,32583,33483,727660.0,482405,245255.0,245291.0,245287.7,32583,32883,33483,65556.75,65585,-28.25,-34.625,-39.76691,32883,33183,33483,309335.5,281270,28065.5,28052.56,28063.3,33183,33483,33483,485959.0,199239,286720.0,286729.7,286790.2,0,2595.722,2596.0,False,0,0,0,0,0,True,True,False
33606,33906,34806,727701.3,482405,245296.3,245290.1,245288.5,33906,34206,34806,65546.0,65585,-39.0,-33.0,-38.48903,34206,34506,34806,309320.3,281270,28050.25,28053.75,28060.63,34506,34806,34806,485934.8,199239,286695.8,286723.1,286775.2,0,2595.674,2595.5,False,0,0,0,0,0,True,True,False
