tBeforeMeasure1,tAfterMeasure1,tAfterAlgo1,realValue_WU1,offset1,relativeVal_WU1,realValue_WU_MovAvg1,realValue_WU_Filt1,tBeforeMeasure2,tAfterMeasure2,tAfterAlgo2,realValue_WU2,offset2,relativeVal_WU2,realValue_WU_MovAvg2,realValue_WU_Filt2,tBeforeMeasure3,tAfterMeasure3,tAfterAlgo3,realValue_WU3,offset3,relativeVal_WU3,realValue_WU_MovAvg3,realValue_WU_Filt3,tBeforeMeasure4,tAfterMeasure4,tAfterAlgo4,realValue_WU4,offset4,relativeVal_WU4,realValue_WU_MovAvg4,realValue_WU_Filt4,realValueFiltered,realValue,correctedValueFiltered,bSync,vccReadBits,vccReadVolts,vccGPIO,vccVolts,ratioVCCMAX,B_DEBUG_MODE,B_SERIALPORT,BF_SERIALPORT
32314,32614,33514,457527.3,451190,6337.25,6299.938,6222.672,32614,32914,33514,89697.25,95491,-5793.75,-5836.188,-5802.126,32914,33214,33514,258325.8,253225,5100.75,5100.5,5055.464,33214,33514,33514,223340.5,228826,-5485.5,-5466.188,-5396.684,0,2.359516,0.0,False,0,0,0,0,0,True,True,False
33639,33939,34839,457542.3,451190,6352.25,6352.25,6352.25,33939,34239,34839,89643.75,95491,-5847.25,-5847.25,-5847.25,34239,34539,34839,273966.8,253225,20741.75,20741.75,20741.75,34539,34839,34839,403281.3,228826,174455.3,174455.3,174455.3,0,925.1019,925.0,True,0,0,0,0,0,True,True,False
34963,35263,36163,739884.0,451190,288694.0,288694.0,288694.0,35263,35563,36163,270348.5,95491,174857.5,174857.5,174857.5,35563,35863,36163,543134.8,253225,289909.8,289909.8,289909.8,35863,36163,36163,567630.3,228826,338804.3,338804.3,338804.3,0,5059.279,5059.0,True,0,0,0,0,0,True,True,False
36287,36587,37487,734802.0,451190,283612.0,283612.0,283612.0,36587,36887,37487,270179.5,95491,174688.5,174688.5,174688.5,36887,37187,37487,542366.8,253225,289141.8,289141.8,289141.8,37187,37487,37487,567095.3,228826,338269.3,338269.3,338269.3,0,5029.412,5029.5,True,0,0,0,0,0,True,True,False
37611,37911,38811,735487.3,451190,284297.3,284297.3,284297.3,37911,38211,38811,270008.5,95491,174517.5,174517.5,174517.5,38211,38511,38811,542337.0,253225,289112.0,289112.0,289112.0,38511,38811,38811,567225.0,228826,338399.0,338399.0,338399.0,0,5032.207,5032.0,True,0,0,0,0,0,True,True,False
38934,39234,40134,735180.0,451190,283990.0,283990.0,283990.0,39234,39534,40134,270417.8,95491,174926.8,174926.8,174926.8,39534,39834,40134,541950.3,253225,288725.3,288725.3,288725.3,39834,40134,40134,567341.8,228826,338515.8,338515.8,338515.8,0,5031.408,5031.5,True,0,0,0,0,0,True,True,False
40258,40558,41458,734569.8,451190,283379.8,283379.8,283379.8,40558,40858,41458,271182.8,95491,175691.8,175691.8,175691.8,40858,41158,41458,540976.3,253225,287751.3,287751.3,287751.3,41158,41458,41458,568388.3,228826,339562.3,339562.3,339562.3,0,5032.484,5032.5,True,0,0,0,0,0,True,True,False
41583,41883,42783,734057.3,451190,282867.3,282867.3,282867.3,41883,42183,42783,270615.5,95491,175124.5,175124.5,175124.5,42183,42483,42783,542204.5,253225,288979.5,288979.5,288979.5,42483,42783,42783,567234.0,228826,338408.0,338408.0,338408.0,0,5027.914,5028.0,True,0,0,0,0,0,True,True,False
42908,43208,44108,734214.3,451190,283024.3,283024.3,283024.3,43208,43508,44108,271155.5,95491,175664.5,175664.5,175664.5,43508,43808,44108,541090.8,253225,287865.8,287865.8,287865.8,43808,44108,44108,568174.8,228826,339348.8,339348.8,339348.8,0,5030.283,5030.0,True,0,0,0,0,0,True,True,False
44235,44535,45435,734217.0,451190,283027.0,283027.0,283027.0,44535,44835,45435,271168.8,95491,175677.8,175677.8,175677.8,44835,45135,45435,541027.5,253225,287802.5,287802.5,287802.5,45135,45435,45435,568123.5,228826,339297.5,339297.5,339297.5,0,5029.816,5030.0,True,0,0,0,0,0,True,True,False
45561,45861,46761,734165.5,451190,282975.5,283014.1,283027.0,45861,46161,46761,271175.3,95491,175684.3,175679.4,175677.8,46161,46461,46761,541060.5,253225,287835.5,287810.8,287802.5,46461,46761,46761,568103.5,228826,339277.5,339292.5,339297.5,0,5029.674,5029.5,False,0,0,0,0,0,True,True,False
46885,47185,48085,734226.8,451190,283036.8,283016.6,283023.8,47185,47485,48085,271108.5,95491,175617.5,175664.3,175678.2,47485,47785,48085,541134.3,253225,287909.3,287837.4,287804.6,47785,48085,48085,568037.8,228826,339211.8,339271.1,339296.3,0,5029.684,5029.5,False,0,0,0,0,0,True,True,False
48210,48510,49410,734409.8,451190,283219.8,283064.8,283022.0,48510,48810,49410,271017.8,95491,175526.8,175626.6,175674.7,48810,49110,49410,541199.3,253225,287974.3,287880.4,287812.8,49110,49410,49410,567961.5,228826,339135.5,339230.6,339290.0,0,5030.045,5030.0,False,0,0,0,0,0,True,True,False
49534,49834,50734,734449.8,451190,283259.8,283122.9,283032.7,49834,50134,50734,271038.0,95491,175547.0,175593.9,175662.8,50134,50434,50734,541209.5,253225,287984.5,287925.9,287829.6,50434,50734,50734,567827.0,228826,339001.0,339156.4,339275.2,0,5029.731,5030.0,False,0,0,0,0,0,True,True,False
50858,51158,52058,734496.5,451190,283306.5,283205.7,283055.1,51158,51458,52058,270938.8,95491,175447.8,175534.8,175645.6,51458,51758,52058,541279.0,253225,288054.0,287980.5,287853.5,51758,52058,52058,567698.8,228826,338872.8,339055.3,339245.7,0,5029.213,5029.0,False,0,0,0,0,0,True,True,False
52182,52482,53382,734562.8,451190,283372.8,283289.7,283092.5,52482,52782,53382,270918.3,95491,175427.3,175487.2,175618.1,52782,53082,53382,541317.8,253225,288092.8,288026.4,287885.1,53082,53382,53382,567607.3,228826,338781.3,338947.6,339198.4,0,5029.17,5029.0,False,0,0,0,0,0,True,True,False
