tBeforeMeasure1,tAfterMeasure1,tAfterAlgo1,realValue_WU1,offset1,relativeVal_WU1,realValue_WU_MovAvg1,realValue_WU_Filt1,tBeforeMeasure2,tAfterMeasure2,tAfterAlgo2,realValue_WU2,offset2,relativeVal_WU2,realValue_WU_MovAvg2,realValue_WU_Filt2,tBeforeMeasure3,tAfterMeasure3,tAfterAlgo3,realValue_WU3,offset3,relativeVal_WU3,realValue_WU_MovAvg3,realValue_WU_Filt3,tBeforeMeasure4,tAfterMeasure4,tAfterAlgo4,realValue_WU4,offset4,relativeVal_WU4,realValue_WU_MovAvg4,realValue_WU_Filt4,realValueFiltered,realValue,correctedValueFiltered,bSync,vccReadBits,vccReadVolts,vccGPIO,vccVolts,ratioVCCMAX,B_DEBUG_MODE,B_SERIALPORT,BF_SERIALPORT
11130,11430,12330,452532.5,452626,-93.5,-113.125,-44.59358,11430,11730,12330,95258.25,95226,32.25,61.6875,30.49196,11730,12030,12330,252669.8,252722,-52.25,-51.75,-16.70354,12030,12330,12330,226954.5,226783,171.5,138.875,52.48975,0,2.202333,0.0,False,0,0,0,0,0,True,True,False
12452,12752,13652,462771.5,452626,10145.5,10145.5,10145.5,12752,13052,13652,95273.0,95226,47.0,47.0,47.0,13052,13352,13652,254280.0,252722,1558.0,1558.0,1558.0,13352,13652,13652,274041.8,226783,47258.75,47258.75,47258.75,0,278.4082,278.5,True,0,0,0,0,0,True,True,False
13774,14074,14974,874744.5,452626,422118.5,422118.5,422118.5,14074,14374,14974,66151.75,95226,-29074.25,-29074.25,-29074.25,14374,14674,14974,315720.8,252722,62998.75,62998.75,62998.75,14674,14974,14974,935856.0,226783,709073.0,709073.0,709073.0,0,5421.496,5421.5,True,0,0,0,0,0,True,True,False
15098,15398,16298,1363370.0,452626,910743.8,910743.8,910743.8,15398,15698,16298,65815.25,95226,-29410.75,-29410.75,-29410.75,15698,15998,16298,311592.0,252722,58870.0,58870.0,58870.0,15998,16298,16298,936964.0,226783,710181.0,710181.0,710181.0,0,7614.492,7614.5,True,0,0,0,0,0,True,True,False
16421,16721,17621,1363483.0,452626,910857.0,910857.0,910857.0,16721,17021,17621,67224.75,95226,-28001.25,-28001.25,-28001.25,17021,17321,17621,323020.8,252722,70298.75,70298.75,70298.75,17321,17621,17621,985680.8,226783,758897.8,758897.8,758897.8,0,7905.026,7905.0,True,0,0,0,0,0,True,True,False
17745,18045,18945,1405622.0,452626,952996.0,952996.0,952996.0,18045,18345,18945,71749.75,95226,-23476.25,-23476.25,-23476.25,18345,18645,18945,321739.5,252722,69017.5,69017.5,69017.5,18645,18945,18945,986690.5,226783,759907.5,759907.5,759907.5,0,8114.753,8115.0,True,0,0,0,0,0,True,True,False
19070,19370,20270,1404578.0,452626,951951.5,951951.5,951951.5,19370,19670,20270,72613.25,95226,-22612.75,-22612.75,-22612.75,19670,19970,20270,321016.5,252722,68294.5,68294.5,68294.5,19970,20270,20270,987396.0,226783,760613.0,760613.0,760613.0,0,8113.88,8114.0,True,0,0,0,0,0,True,True,False
20395,20695,21595,1403629.0,452626,951003.0,951003.0,951003.0,20695,20995,21595,72718.25,95226,-22507.75,-22507.75,-22507.75,20995,21295,21595,320948.8,252722,68226.75,68226.75,68226.75,21295,21595,21595,987300.5,226783,760517.5,760517.5,760517.5,0,8109.299,8109.0,True,0,0,0,0,0,True,True,False
21721,22021,22921,1403901.0,452626,951274.5,951274.5,951274.5,22021,22321,22921,73306.25,95226,-21919.75,-21919.75,-21919.75,22321,22621,22921,320350.0,252722,67628.0,67628.0,67628.0,22621,22921,22921,987905.0,226783,761122.0,761122.0,761122.0,0,8113.234,8113.0,True,0,0,0,0,0,True,True,False
23044,23344,24244,1403454.0,452626,950828.0,950828.0,950828.0,23344,23644,24244,73643.25,95226,-21582.75,-21582.75,-21582.75,23644,23944,24244,320111.5,252722,67389.5,67389.5,67389.5,23944,24244,24244,988102.0,226783,761319.0,761319.0,761319.0,0,8112.553,8112.5,True,0,0,0,0,0,True,True,False
24367,24667,25567,1403108.0,452626,950482.0,950482.0,950482.0,24667,24967,25567,73958.0,95226,-21268.0,-21268.0,-21268.0,24967,25267,25567,319891.5,252722,67169.5,67169.5,67169.5,25267,25567,25567,988278.3,226783,761495.3,761495.3,761495.3,0,8112.214,8112.0,True,0,0,0,0,0,True,True,False
