tBeforeMeasure1,tAfterMeasure1,tAfterAlgo1,realValue_WU1,offset1,relativeVal_WU1,realValue_WU_MovAvg1,realValue_WU_Filt1,tBeforeMeasure2,tAfterMeasure2,tAfterAlgo2,realValue_WU2,offset2,relativeVal_WU2,realValue_WU_MovAvg2,realValue_WU_Filt2,tBeforeMeasure3,tAfterMeasure3,tAfterAlgo3,realValue_WU3,offset3,relativeVal_WU3,realValue_WU_MovAvg3,realValue_WU_Filt3,tBeforeMeasure4,tAfterMeasure4,tAfterAlgo4,realValue_WU4,offset4,relativeVal_WU4,realValue_WU_MovAvg4,realValue_WU_Filt4,realValueFiltered,realValue,correctedValueFiltered,bSync,vccReadBits,vccReadVolts,vccGPIO,vccVolts,ratioVCCMAX,B_DEBUG_MODE,B_SERIALPORT,BF_SERIALPORT
12447,12747,13647,425896.0,412448,13448.0,13448.0,13448.0,12747,13047,13647,120552.0,134169,-13617.0,-13617.0,-13617.0,13047,13347,13647,227941.0,214666,13275.0,13275.0,13275.0,13347,13647,13647,252687.3,266237,-13549.75,-13549.75,-13549.75,0,-0.640311,0.0,True,0,0,0,0,0,True,True,False
13767,14067,14967,451771.0,412448,39323.0,39323.0,39323.0,14067,14367,14967,608086.5,134169,473917.5,473917.5,473917.5,14367,14667,14967,459266.5,214666,244600.5,244600.5,244600.5,14667,14967,14967,271194.5,266237,4957.5,4957.5,4957.5,0,3498.067,3498.0,True,0,0,0,0,0,True,True,False
15088,15388,16288,633675.0,412448,221227.0,221227.0,221227.0,15388,15688,16288,758007.0,134169,623838.0,623838.0,623838.0,15688,15988,16288,470857.8,214666,256191.8,256191.8,256191.8,15988,16288,16288,263262.8,266237,-2974.25,-2974.25,-2974.25,0,5016.413,5016.5,True,0,0,0,0,0,True,True,False
16409,16709,17609,636985.5,412448,224537.5,224537.5,224537.5,16709,17009,17609,756164.8,134169,621995.8,621995.8,621995.8,17009,17309,17609,483003.3,214666,268337.3,268337.3,268337.3,17309,17609,17609,304245.0,266237,38008.0,38008.0,38008.0,0,5273.518,5273.5,True,0,0,0,0,0,True,True,False
17731,18031,18931,654230.8,412448,241782.8,241782.8,241782.8,18031,18331,18931,922908.8,134169,788739.8,788739.8,788739.8,18331,18631,18931,761090.3,214666,546424.3,546424.3,546424.3,18631,18931,18931,348725.8,266237,82488.75,82488.75,82488.75,0,7622.139,7622.0,True,0,0,0,0,0,True,True,False
19058,19358,20258,655413.5,412448,242965.5,242965.5,242965.5,19358,19658,20258,923532.8,134169,789363.8,789363.8,789363.8,19658,19958,20258,816642.0,214666,601976.0,601976.0,601976.0,19958,20258,20258,383672.3,266237,117435.3,117435.3,117435.3,0,8056.05,8056.0,True,0,0,0,0,0,True,True,False
20382,20682,21582,651702.5,412448,239254.5,239254.5,239254.5,20682,20982,21582,930393.8,134169,796224.8,796224.8,796224.8,20982,21282,21582,828860.8,214666,614194.8,614194.8,614194.8,21282,21582,21582,383790.5,266237,117553.5,117553.5,117553.5,0,8128.268,8128.0,True,0,0,0,0,0,True,True,False
21707,22007,22907,651745.0,412448,239297.0,239297.0,239297.0,22007,22307,22907,930483.8,134169,796314.8,796314.8,796314.8,22307,22607,22907,829118.5,214666,614452.5,614452.5,614452.5,22607,22907,22907,383611.5,266237,117374.5,117374.5,117374.5,0,8129.233,8129.0,True,0,0,0,0,0,True,True,False
23029,23329,24229,651802.0,412448,239354.0,239354.0,239354.0,23329,23629,24229,929726.3,134169,795557.3,795557.3,795557.3,23629,23929,24229,828917.5,214666,614251.5,614251.5,614251.5,23929,24229,24229,383611.5,266237,117374.5,117374.5,117374.5,0,8125.116,8125.0,True,0,0,0,0,0,True,True,False
24351,24651,25551,651702.0,412448,239254.0,239254.0,239254.0,24651,24951,25551,930298.5,134169,796129.5,796129.5,796129.5,24951,25251,25551,828913.5,214666,614247.5,614247.5,614247.5,25251,25551,25551,383513.5,266237,117276.5,117276.5,117276.5,0,8126.774,8127.0,True,0,0,0,0,0,True,True,False
