tBeforeMeasure1,tAfterMeasure1,tAfterAlgo1,realValue_WU1,offset1,relativeVal_WU1,realValue_WU_MovAvg1,realValue_WU_Filt1,tBeforeMeasure2,tAfterMeasure2,tAfterAlgo2,realValue_WU2,offset2,relativeVal_WU2,realValue_WU_MovAvg2,realValue_WU_Filt2,tBeforeMeasure3,tAfterMeasure3,tAfterAlgo3,realValue_WU3,offset3,relativeVal_WU3,realValue_WU_MovAvg3,realValue_WU_Filt3,tBeforeMeasure4,tAfterMeasure4,tAfterAlgo4,realValue_WU4,offset4,relativeVal_WU4,realValue_WU_MovAvg4,realValue_WU_Filt4,realValueFiltered,realValue,correctedValueFiltered,bSync,vccReadBits,vccReadVolts,vccGPIO,vccVolts,ratioVCCMAX,B_DEBUG_MODE,B_SERIALPORT,BF_SERIALPORT
41394,41694,42594,760373.0,478214,282159.0,282159.0,282159.0,41694,41994,42594,766803.0,65884,700919.0,700919.0,700919.0,41994,42294,42594,1023876,282842,741034.0,741034.0,741034.0,42294,42594,42594,132987.8,206089,-73101.25,-73101.25,-73101.25,0,7585.758,7586.0,True,0,0,0,0,0,True,True,False
42719,43019,43919,799096.0,478214,320882.0,320882.0,320882.0,43019,43319,43919,835927.0,65884,770043.0,770043.0,770043.0,43319,43619,43919,1030185,282842,747343.0,747343.0,747343.0,43619,43919,43919,132978.8,206089,-73110.25,-73110.25,-73110.25,0,8103.5,8103.5,True,0,0,0,0,0,True,True,False
44044,44344,45244,806746.3,478214,328532.3,328532.3,328532.3,44344,44644,45244,835229.3,65884,769345.3,769345.3,769345.3,44644,44944,45244,1030224,282842,747381.5,747381.5,747381.5,44944,45244,45244,132964.5,206089,-73124.5,-73124.5,-73124.5,0,8135.032,8135.0,True,0,0,0,0,0,True,True,False
45370,45670,46570,806781.0,478214,328567.0,328567.0,328567.0,45670,45970,46570,835168.3,65884,769284.3,769284.3,769284.3,45970,46270,46570,1030181,282842,747339.0,747339.0,747339.0,46270,46570,46570,132977.0,206089,-73112.0,-73112.0,-73112.0,0,8134.773,8135.0,True,0,0,0,0,0,True,True,False
46695,46995,47895,806764.3,478214,328550.3,328562.8,328567.0,46995,47295,47895,835179.8,65884,769295.8,769287.1,769284.3,47295,47595,47895,1030177,282842,747334.5,747337.9,747339.0,47595,47895,47895,132972.8,206089,-73116.25,-73113.06,-73112.0,0,8134.708,8135.0,False,0,0,0,0,0,True,True,False
48019,48319,49219,806751.5,478214,328537.5,328555.4,328566.0,48319,48619,49219,835235.3,65884,769351.3,769303.9,769285.0,48619,48919,49219,1030185,282842,747343.0,747338.9,747338.8,48919,49219,49219,132992.0,206089,-73097.0,-73109.31,-73112.27,0,8135.032,8135.0,False,0,0,0,0,0,True,True,False
49343,49643,50543,806760.0,478214,328546.0,328550.2,328563.4,49643,49943,50543,835185.8,65884,769301.8,769308.3,769289.7,49943,50243,50543,1030127,282842,747284.8,747325.3,747338.8,50243,50543,50543,132980.8,206089,-73108.25,-73108.38,-73111.53,0,8134.52,8134.5,False,0,0,0,0,0,True,True,False
50668,50968,51868,806760.8,478214,328546.8,328545.1,328560.1,50968,51268,51868,835230.3,65884,769346.3,769323.8,769294.3,51268,51568,51868,1030138,282842,747296.3,747314.6,747335.4,51568,51868,51868,132986.8,206089,-73102.25,-73105.94,-73110.75,0,8134.807,8135.0,False,0,0,0,0,0,True,True,False
51993,52293,53193,806686.8,478214,328472.8,328525.8,328556.4,52293,52593,53193,835144.0,65884,769260.0,769314.8,769301.6,52593,52893,53193,1030158,282842,747316.3,747310.1,747330.3,52893,53193,53193,132979.3,206089,-73109.75,-73104.31,-73109.55,0,8134.141,8134.0,False,0,0,0,0,0,True,True,False
53318,53618,54518,806716.8,478214,328502.8,328517.1,328548.8,53618,53918,54518,835154.3,65884,769270.3,769294.6,769304.9,53918,54218,54518,1030127,282842,747284.5,747295.4,747325.3,54218,54518,54518,132976.0,206089,-73113.0,-73108.31,-73108.25,0,8134.158,8134.0,False,0,0,0,0,0,True,True,False
