tBeforeMeasure1,tAfterMeasure1,tAfterAlgo1,realValue_WU1,offset1,relativeVal_WU1,realValue_WU_MovAvg1,realValue_WU_Filt1,tBeforeMeasure2,tAfterMeasure2,tAfterAlgo2,realValue_WU2,offset2,relativeVal_WU2,realValue_WU_MovAvg2,realValue_WU_Filt2,tBeforeMeasure3,tAfterMeasure3,tAfterAlgo3,realValue_WU3,offset3,relativeVal_WU3,realValue_WU_MovAvg3,realValue_WU_Filt3,tBeforeMeasure4,tAfterMeasure4,tAfterAlgo4,realValue_WU4,offset4,relativeVal_WU4,realValue_WU_MovAvg4,realValue_WU_Filt4,realValueFiltered,realValue,correctedValueFiltered,bSync,vccReadBits,vccReadVolts,vccGPIO,vccVolts,ratioVCCMAX,B_DEBUG_MODE,B_SERIALPORT,BF_SERIALPORT
353967,354267,355167,712091.0,255127,456964.0,456964.0,456964.0,354267,354567,355167,698808.5,115808,583000.5,583000.5,583000.5,354567,354867,355167,184403.0,36231,148172.0,148172.0,148172.0,354867,355167,355167,603320.8,173834,429486.8,429486.8,429486.8,0,7459.481,7459.5,True,0,0,0,0,0,True,True,False
355290,355590,356490,711793.8,255127,456666.8,456666.8,456666.8,355590,355890,356490,699248.5,115808,583440.5,583440.5,583440.5,355890,356190,356490,183711.3,36231,147480.3,147480.3,147480.3,356190,356490,356490,603630.8,173834,429796.8,429796.8,429796.8,0,7458.341,7458.0,True,0,0,0,0,0,True,True,False
356616,356916,357816,711725.3,255127,456598.3,456598.3,456598.3,356916,357216,357816,699305.3,115808,583497.3,583497.3,583497.3,357216,357516,357816,183680.5,36231,147449.5,147449.5,147449.5,357516,357816,357816,603608.0,173834,429774.0,429774.0,429774.0,0,7458.036,7458.0,True,0,0,0,0,0,True,True,False
357941,358241,359141,711792.8,255127,456665.8,456615.1,456598.3,358241,358541,359141,699274.0,115808,583466.0,583489.4,583497.3,358541,358841,359141,183627.3,36231,147396.3,147436.2,147449.5,358841,359141,359141,603546.3,173834,429712.3,429758.6,429774.0,0,7457.656,7457.5,False,0,0,0,0,0,True,True,False
359266,359566,360466,712096.0,255127,456969.0,456969.0,456969.0,359566,359866,360466,698807.5,115808,582999.5,582999.5,582999.5,359866,360166,360466,184073.0,36231,147842.0,147842.0,147842.0,360166,360466,360466,603482.8,173834,429648.8,429648.8,429648.8,0,7458.712,7459.0,True,0,0,0,0,0,True,True,False
360590,360890,361790,711443.5,255127,456316.5,456316.5,456316.5,360890,361190,361790,699630.3,115808,583822.3,583822.3,583822.3,361190,361490,361790,183107.3,36231,146876.3,146876.3,146876.3,361490,361790,361790,603976.8,173834,430142.8,430142.8,430142.8,0,7457.28,7457.0,True,0,0,0,0,0,True,True,False
361916,362216,363116,711415.5,255127,456288.5,456288.5,456288.5,362216,362516,363116,699366.3,115808,583558.3,583558.3,583558.3,362516,362816,363116,184287.8,36231,148056.8,148056.8,148056.8,362816,363116,363116,602963.8,173834,429129.8,429129.8,429129.8,0,7456.716,7457.0,True,0,0,0,0,0,True,True,False
363243,363543,364443,712399.8,255127,457272.8,457272.8,457272.8,363543,363843,364443,698712.3,115808,582904.3,582904.3,582904.3,363843,364143,364443,184306.8,36231,148075.8,148075.8,148075.8,364143,364443,364443,602952.5,173834,429118.5,429118.5,429118.5,0,7458.248,7458.0,True,0,0,0,0,0,True,True,False
364568,364868,365768,712252.0,255127,457125.0,457125.0,457125.0,364868,365168,365768,698994.5,115808,583186.5,583186.5,583186.5,365168,365468,365768,183886.0,36231,147655.0,147655.0,147655.0,365468,365768,365768,603315.0,173834,429481.0,429481.0,429481.0,0,7458.595,7458.5,True,0,0,0,0,0,True,True,False
365891,366191,367091,712267.0,255127,457140.0,457140.0,457140.0,366191,366491,367091,698815.5,115808,583007.5,583007.5,583007.5,366491,366791,367091,184208.0,36231,147977.0,147977.0,147977.0,366791,367091,367091,603393.3,173834,429559.3,429559.3,429559.3,0,7459.738,7460.0,True,0,0,0,0,0,True,True,False
367215,367515,368415,711528.0,255127,456401.0,456401.0,456401.0,367515,367815,368415,699681.3,115808,583873.3,583873.3,583873.3,367815,368115,368415,183239.3,36231,147008.3,147008.3,147008.3,368115,368415,368415,603856.3,173834,430022.3,430022.3,430022.3,0,7457.946,7458.0,True,0,0,0,0,0,True,True,False
368539,368839,369739,712019.3,255127,456892.3,456892.3,456892.3,368839,369139,369739,699200.5,115808,583392.5,583392.5,583392.5,369139,369439,369739,183430.3,36231,147199.3,147199.3,147199.3,369439,369739,369739,603714.8,173834,429880.8,429880.8,429880.8,0,7458.22,7458.0,True,0,0,0,0,0,True,True,False
369864,370164,371064,711813.3,255127,456686.3,456686.3,456686.3,370164,370464,371064,698809.5,115808,583001.5,583001.5,583001.5,370464,370764,371064,185025.5,36231,148794.5,148794.5,148794.5,370764,371064,371064,602247.5,173834,428413.5,428413.5,428413.5,0,7456.074,7456.0,True,0,0,0,0,0,True,True,False
371190,371490,372390,713112.0,255127,457985.0,457985.0,457985.0,371490,371790,372390,697896.3,115808,582088.3,582088.3,582088.3,371790,372090,372390,184992.3,36231,148761.3,148761.3,148761.3,372090,372390,372390,602253.8,173834,428419.8,428419.8,428419.8,0,7457.691,7457.5,True,0,0,0,0,0,True,True,False
372516,372816,373716,712915.0,255127,457788.0,457788.0,457788.0,372816,373116,373716,697849.0,115808,582041.0,582041.0,582041.0,373116,373416,373716,185134.8,36231,148903.8,148903.8,148903.8,373416,373716,373716,602195.3,173834,428361.3,428361.3,428361.3,0,7456.976,7457.0,True,0,0,0,0,0,True,True,False
