tBeforeMeasure1,tAfterMeasure1,tAfterAlgo1,realValue_WU1,offset1,relativeVal_WU1,realValue_WU_MovAvg1,realValue_WU_Filt1,tBeforeMeasure2,tAfterMeasure2,tAfterAlgo2,realValue_WU2,offset2,relativeVal_WU2,realValue_WU_MovAvg2,realValue_WU_Filt2,tBeforeMeasure3,tAfterMeasure3,tAfterAlgo3,realValue_WU3,offset3,relativeVal_WU3,realValue_WU_MovAvg3,realValue_WU_Filt3,tBeforeMeasure4,tAfterMeasure4,tAfterAlgo4,realValue_WU4,offset4,relativeVal_WU4,realValue_WU_MovAvg4,realValue_WU_Filt4,realValueFiltered,realValue,correctedValueFiltered,bSync,vccReadBits,vccReadVolts,vccGPIO,vccVolts,ratioVCCMAX,B_DEBUG_MODE,B_SERIALPORT,BF_SERIALPORT
175960,176260,177160,72938.25,5421,67517.25,67495.38,67467.27,176260,176560,177160,-15853.25,-73172,57318.75,57310.44,57339.04,176560,176860,177160,58724.0,-6839,65563.0,65544.44,65530.98,176860,177160,177160,161019.0,88531,72488.0,72468.31,72449.37,0,4954.945,4955.0,False,0,0,0,0,0,True,True,False
177286,177586,178486,72935.5,5421,67514.5,67500.56,67474.26,177586,177886,178486,-15841.0,-73172,57331.0,57312.94,57331.93,177886,178186,178486,58714.25,-6839,65553.25,65547.75,65534.32,178186,178486,178486,160932.3,88531,72401.25,72453.75,72454.08,0,4955.068,4955.0,False,0,0,0,0,0,True,True,False
178612,178912,179812,72911.5,5421,67490.5,67510.13,67480.8,178912,179212,179812,-15836.25,-73172,57335.75,57314.25,57327.21,179212,179512,179812,58697.75,-6839,65536.75,65549.19,65537.66,179512,179812,179812,160958.3,88531,72427.25,72451.13,72454.0,0,4955.143,4955.0,False,0,0,0,0,0,True,True,False
179938,180238,181138,72922.75,5421,67501.75,67506.0,67488.09,180238,180538,181138,-15848.5,-73172,57323.5,57327.25,57323.99,180538,180838,181138,58725.25,-6839,65564.25,65554.31,65540.53,180838,181138,181138,160978.8,88531,72447.75,72441.06,72453.29,0,4955.239,4955.0,False,0,0,0,0,0,True,True,False
181262,181562,182462,72925.5,5421,67504.5,67502.81,67492.54,181562,181862,182462,-15847.75,-73172,57324.25,57328.63,57324.8,181862,182162,182462,58718.25,-6839,65557.25,65552.88,65543.95,182162,182462,182462,160968.3,88531,72437.25,72428.38,72450.25,0,4955.339,4955.0,False,0,0,0,0,0,True,True,False
182586,182886,183786,72964.5,5421,67543.5,67510.06,67495.09,182886,183186,183786,-15910.25,-73172,57261.75,57311.31,57325.75,183186,183486,183786,58822.75,-6839,65661.75,65580.0,65546.17,183486,183786,183786,160852.5,88531,72321.5,72408.44,72444.81,0,4955.341,4955.0,False,0,0,0,0,0,True,True,False
183910,184210,185110,73115.5,5421,67694.5,67561.06,67498.81,184210,184510,185110,-16000.5,-73172,57171.5,57270.25,57322.16,184510,184810,185110,58921.75,-6839,65760.75,65636.0,65554.58,184810,185110,185110,160728.8,88531,72197.75,72351.06,72435.77,0,4955.322,4955.0,False,0,0,0,0,0,True,True,False
185235,185535,186435,73235.0,5421,67814.0,67639.13,67514.28,185535,185835,186435,-16105.0,-73172,57067.0,57206.13,57309.26,185835,186135,186435,59027.5,-6839,65866.5,65711.56,65574.81,186135,186435,186435,160673.8,88531,72142.75,72274.81,72414.72,0,4955.309,4955.0,False,0,0,0,0,0,True,True,False
186558,186858,187758,73281.25,5421,67860.25,67728.06,67545.31,186858,187158,187758,-16148.75,-73172,57023.25,57130.88,57283.63,187158,187458,187758,59029.5,-6839,65868.5,65789.38,65608.8,187458,187758,187758,160700.0,88531,72169.0,72207.75,72379.95,0,4955.299,4955.0,False,0,0,0,0,0,True,True,False
187882,188182,189082,73265.25,5421,67844.25,67803.25,67590.73,188182,188482,189082,-16161.5,-73172,57010.5,57068.06,57245.67,188482,188782,189082,59005.5,-6839,65844.5,65835.06,65653.68,188782,189082,189082,160757.5,88531,72226.5,72184.0,72337.15,0,4955.333,4955.0,False,0,0,0,0,0,True,True,False
189207,189507,190407,73240.0,5421,67819.0,67834.38,67643.55,189507,189807,190407,-16103.0,-73172,57069.0,57042.44,57201.53,189807,190107,190407,59002.25,-6839,65841.25,65855.19,65698.76,190107,190407,190407,160735.3,88531,72204.25,72185.63,72299.09,0,4955.456,4955.5,False,0,0,0,0,0,True,True,False
190533,190833,191733,73261.5,5421,67840.5,67841.0,67690.98,190833,191133,191733,-16125.5,-73172,57046.5,57037.31,57161.99,191133,191433,191733,58999.5,-6839,65838.5,65848.19,65737.63,191433,191733,191733,160707.8,88531,72176.75,72194.13,72270.89,0,4955.649,4955.5,False,0,0,0,0,0,True,True,False
191859,192159,193059,73287.0,5421,67866.0,67842.44,67728.26,192159,192459,193059,-16120.5,-73172,57051.5,57044.38,57131.01,192459,192759,193059,58996.75,-6839,65835.75,65840.0,65765.11,192759,193059,193059,160716.3,88531,72185.25,72198.19,72251.81,0,4955.801,4956.0,False,0,0,0,0,0,True,True,False
