tBeforeMeasure1,tAfterMeasure1,tAfterAlgo1,realValue_WU1,offset1,relativeVal_WU1,realValue_WU_MovAvg1,realValue_WU_Filt1,tBeforeMeasure2,tAfterMeasure2,tAfterAlgo2,realValue_WU2,offset2,relativeVal_WU2,realValue_WU_MovAvg2,realValue_WU_Filt2,tBeforeMeasure3,tAfterMeasure3,tAfterAlgo3,realValue_WU3,offset3,relativeVal_WU3,realValue_WU_MovAvg3,realValue_WU_Filt3,tBeforeMeasure4,tAfterMeasure4,tAfterAlgo4,realValue_WU4,offset4,relativeVal_WU4,realValue_WU_MovAvg4,realValue_WU_Filt4,realValueFiltered,realValue,correctedValueFiltered,bSync,vccReadBits,vccReadVolts,vccGPIO,vccVolts,ratioVCCMAX,B_DEBUG_MODE,B_SERIALPORT,BF_SERIALPORT
92289,92589,93489,76727.75,11819,64908.75,64898.19,64911.76,92589,92889,93489,-16909.75,-79331,62421.25,62434.19,62437.24,92889,93189,93489,62499.5,-2321,64820.5,64840.81,64850.27,93189,93489,93489,151325.8,83272,68053.75,68055.13,68035.32,0,4921.395,4921.0,False,0,0,0,0,0,True,True,False
93616,93916,94816,76761.5,11819,64942.5,64906.31,64908.39,93916,94216,94816,-16904.25,-79331,62426.75,62436.13,62436.48,94216,94516,94816,62577.25,-2321,64898.25,64851.0,64847.92,94516,94816,94816,151349.0,83272,68077.0,68063.63,68040.24,0,4921.37,4921.0,False,0,0,0,0,0,True,True,False
94942,95242,96142,76730.25,11819,64911.25,64915.38,64907.87,95242,95542,96142,-16900.75,-79331,62430.25,62428.0,62436.39,95542,95842,96142,62566.25,-2321,64887.25,64863.06,64848.69,95842,96142,96142,151298.0,83272,68026.0,68056.81,68046.05,0,4921.484,4921.5,False,0,0,0,0,0,True,True,False
96265,96565,97465,76775.0,11819,64956.0,64929.63,64909.74,96565,96865,97465,-16878.75,-79331,62452.25,62432.63,62434.31,96865,97165,97465,62539.0,-2321,64860.0,64866.5,64852.26,97165,97465,97465,151334.3,83272,68062.25,68054.75,68048.73,0,4921.592,4921.5,False,0,0,0,0,0,True,True,False
97588,97888,98788,76776.75,11819,64957.75,64941.88,64914.68,97888,98188,98788,-16956.75,-79331,62374.25,62420.88,62433.89,98188,98488,98788,62624.25,-2321,64945.25,64897.69,64855.8,98488,98788,98788,151247.8,83272,67975.75,68035.25,68050.23,0,4921.763,4922.0,False,0,0,0,0,0,True,True,False
98912,99212,100112,76854.75,11819,65035.75,64965.19,64921.44,99212,99512,100112,-16950.25,-79331,62380.75,62409.38,62430.66,99512,99812,100112,62661.0,-2321,64982.0,64918.63,64866.21,99812,100112,100112,151262.0,83272,67990.0,68013.5,68046.51,0,4921.942,4922.0,False,0,0,0,0,0,True,True,False
100235,100535,101435,76776.0,11819,64957.0,64976.63,64932.31,100535,100835,101435,-16894.5,-79331,62436.5,62410.94,62425.37,100835,101135,101435,62598.75,-2321,64919.75,64926.75,64879.24,101135,101435,101435,151323.5,83272,68051.5,68019.88,68038.3,0,4922.112,4922.0,False,0,0,0,0,0,True,True,False
101560,101860,102760,76819.5,11819,65000.5,64987.75,64943.32,101860,102160,102760,-16955.5,-79331,62375.5,62391.75,62421.78,102160,102460,102760,62651.5,-2321,64972.5,64954.88,64891.05,102460,102760,102760,151246.5,83272,67974.5,67997.94,68033.73,0,4922.364,4922.0,False,0,0,0,0,0,True,True,False
102887,103187,104087,76896.0,11819,65077.0,65017.56,64954.37,103187,103487,104087,-16984.75,-79331,62346.25,62384.75,62414.32,103487,103787,104087,62673.75,-2321,64994.75,64967.25,64906.91,103787,104087,104087,151269.8,83272,67997.75,68003.44,68024.84,0,4922.535,4922.5,False,0,0,0,0,0,True,True,False
104212,104512,105412,76834.25,11819,65015.25,65012.44,64970.07,104512,104812,105412,-16890.75,-79331,62440.25,62399.63,62406.97,104812,105112,105412,62600.25,-2321,64921.25,64952.06,64921.91,105112,105412,105412,151338.8,83272,68066.75,68022.63,68019.52,0,4922.835,4923.0,False,0,0,0,0,0,True,True,False
