tBeforeMeasure1,tAfterMeasure1,tAfterAlgo1,realValue_WU1,offset1,relativeVal_WU1,realValue_WU_MovAvg1,realValue_WU_Filt1,tBeforeMeasure2,tAfterMeasure2,tAfterAlgo2,realValue_WU2,offset2,relativeVal_WU2,realValue_WU_MovAvg2,realValue_WU_Filt2,tBeforeMeasure3,tAfterMeasure3,tAfterAlgo3,realValue_WU3,offset3,relativeVal_WU3,realValue_WU_MovAvg3,realValue_WU_Filt3,tBeforeMeasure4,tAfterMeasure4,tAfterAlgo4,realValue_WU4,offset4,relativeVal_WU4,realValue_WU_MovAvg4,realValue_WU_Filt4,realValueFiltered,realValue,correctedValueFiltered,bSync,vccReadBits,vccReadVolts,vccGPIO,vccVolts,ratioVCCMAX,B_DEBUG_MODE,B_SERIALPORT,BF_SERIALPORT
18657,18957,19857,448189.8,172839,275350.8,275350.8,275350.8,18957,19257,19857,174124.0,126344,47780.0,47780.0,47780.0,19257,19557,19857,503282.8,360949,142333.8,142333.8,142333.8,19557,19857,19857,42668.75,-141014,183682.8,183682.8,183682.8,0,3377.787,3378.0,True,0,0,0,0,0,True,True,False
19980,20280,21180,447787.0,172839,274948.0,274948.0,274948.0,20280,20580,21180,174512.8,126344,48168.75,48168.75,48168.75,20580,20880,21180,503221.3,360949,142272.3,142272.3,142272.3,20880,21180,21180,42627.25,-141014,183641.3,183641.3,183641.3,0,3377.346,3377.0,True,0,0,0,0,0,True,True,False
21303,21603,22503,447847.5,172839,275008.5,274963.1,274948.0,21603,21903,22503,174577.5,126344,48233.5,48184.94,48168.75,21903,22203,22503,502986.3,360949,142037.3,142213.5,142272.3,22203,22503,22503,42890.25,-141014,183904.3,183707.0,183641.3,0,3378.138,3378.0,False,0,0,0,0,0,True,True,False
22626,22926,23826,447733.8,172839,274894.8,274949.8,274951.8,22926,23226,23826,174662.8,126344,48318.75,48222.44,48172.77,23226,23526,23826,502893.8,360949,141944.8,142131.6,142257.7,23526,23826,23826,43005.75,-141014,184019.8,183801.6,183657.6,0,3378.12,3378.0,False,0,0,0,0,0,True,True,False
23950,24250,25150,447644.8,172839,274805.8,274914.3,274951.3,24250,24550,25150,174730.3,126344,48386.25,48276.81,48185.12,24550,24850,25150,502816.8,360949,141867.8,142030.5,142226.3,24850,25150,25150,43058.25,-141014,184072.3,183909.4,183693.4,0,3377.899,3378.0,False,0,0,0,0,0,True,True,False
25275,25575,26475,447539.8,172839,274700.8,274852.4,274942.1,25575,25875,26475,174797.8,126344,48453.75,48348.06,48207.91,25875,26175,26475,502735.5,360949,141786.5,141909.1,142177.7,26175,26475,26475,43095.5,-141014,184109.5,184026.4,183747.1,0,3377.495,3377.5,False,0,0,0,0,0,True,True,False
26601,26901,27801,447525.0,172839,274686.0,274771.8,274919.8,26901,27201,27801,174824.5,126344,48480.5,48409.81,48242.74,27201,27501,27801,502723.3,360949,141774.3,141843.3,142110.9,27501,27801,27801,43151.5,-141014,184165.5,184091.8,183816.5,0,3377.785,3378.0,False,0,0,0,0,0,True,True,False
27925,28225,29125,447473.0,172839,274634.0,274706.6,274883.0,28225,28525,29125,174886.3,126344,48542.25,48465.69,48284.26,28525,28825,29125,502666.0,360949,141717.0,141786.4,142044.4,28825,29125,29125,43210.75,-141014,184224.8,184143.0,183884.9,0,3377.862,3378.0,False,0,0,0,0,0,True,True,False
29251,29551,30451,447464.5,172839,274625.5,274661.6,274839.2,29551,29851,30451,174907.8,126344,48563.75,48510.06,48329.35,29851,30151,30451,502624.0,360949,141675.0,141738.2,141980.3,30151,30451,30451,43218.75,-141014,184232.8,184183.1,183949.0,0,3377.763,3378.0,False,0,0,0,0,0,True,True,False
30574,30874,31774,447451.3,172839,274612.3,274639.4,274795.1,30874,31174,31774,174934.8,126344,48590.75,48544.31,48374.26,31174,31474,31774,502592.5,360949,141643.5,141702.4,141920.1,31474,31774,31774,43267.0,-141014,184281.0,184226.0,184007.2,0,3377.926,3378.0,False,0,0,0,0,0,True,True,False
31897,32197,33097,447413.5,172839,274574.5,274611.6,274756.4,32197,32497,33097,174950.0,126344,48606.0,48575.69,48416.52,32497,32797,33097,502611.0,360949,141662.0,141674.4,141866.0,32797,33097,33097,43253.5,-141014,184267.5,184251.5,184061.6,0,3377.84,3378.0,False,0,0,0,0,0,True,True,False
33219,33519,34419,447424.3,172839,274585.3,274599.4,274720.4,33519,33819,34419,174975.5,126344,48631.5,48598.0,48456.08,33819,34119,34419,502544.0,360949,141595.0,141643.9,141818.4,34119,34419,34419,43323.75,-141014,184337.8,184279.8,184108.8,0,3378.048,3378.0,False,0,0,0,0,0,True,True,False
34542,34842,35742,447392.0,172839,274553.0,274581.3,274690.3,34842,35142,35742,174998.8,126344,48654.75,48620.75,48491.35,35142,35442,35742,502509.8,360949,141560.8,141615.3,141775.0,35442,35742,35742,43331.75,-141014,184345.8,184308.0,184151.3,0,3377.874,3378.0,False,0,0,0,0,0,True,True,False
35865,36165,37065,447364.0,172839,274525.0,274559.4,274663.3,36165,36465,37065,174998.0,126344,48654.0,48636.56,48523.51,36465,36765,37065,502568.5,360949,141619.5,141609.3,141735.3,36765,37065,37065,43309.0,-141014,184323.0,184318.5,184190.2,0,3377.909,3378.0,False,0,0,0,0,0,True,True,False
37190,37490,38390,447374.3,172839,274535.3,274549.6,274637.5,37490,37790,38390,175006.5,126344,48662.5,48650.69,48551.61,37790,38090,38390,502547.0,360949,141598.0,141593.3,141704.0,38090,38390,38390,43293.5,-141014,184307.5,184328.5,184222.1,0,3377.825,3378.0,False,0,0,0,0,0,True,True,False
