tBeforeMeasure1,tAfterMeasure1,tAfterAlgo1,realValue_WU1,offset1,relativeVal_WU1,realValue_WU_MovAvg1,realValue_WU_Filt1,tBeforeMeasure2,tAfterMeasure2,tAfterAlgo2,realValue_WU2,offset2,relativeVal_WU2,realValue_WU_MovAvg2,realValue_WU_Filt2,tBeforeMeasure3,tAfterMeasure3,tAfterAlgo3,realValue_WU3,offset3,relativeVal_WU3,realValue_WU_MovAvg3,realValue_WU_Filt3,tBeforeMeasure4,tAfterMeasure4,tAfterAlgo4,realValue_WU4,offset4,relativeVal_WU4,realValue_WU_MovAvg4,realValue_WU_Filt4,realValueFiltered,realValue,correctedValueFiltered,bSync,vccReadBits,vccReadVolts,vccGPIO,vccVolts,ratioVCCMAX,B_DEBUG_MODE,B_SERIALPORT,BF_SERIALPORT
242119,242419,243319,75186.5,37145,38041.5,38045.63,38047.0,242419,242719,243319,13224.0,-2435,15659.0,15623.38,15611.5,242719,243019,243319,31998.75,20198,11800.75,11799.81,11799.5,243019,243319,243319,90249.25,79106,11143.25,11132.38,11128.75,0,1740.219,1740.0,False,0,0,0,0,0,True,True,False
243442,243742,244642,75214.0,37145,38069.0,38051.13,38046.66,243742,244042,244642,13136.25,-2435,15571.25,15613.31,15614.45,244042,244342,244642,32091.75,20198,11893.75,11823.38,11799.58,244342,244642,244642,90220.0,79106,11114.0,11128.69,11129.65,0,1740.295,1740.0,False,0,0,0,0,0,True,True,False
244767,245067,245967,75227.0,37145,38082.0,38059.88,38047.77,245067,245367,245967,13176.5,-2435,15611.5,15613.31,15614.17,245367,245667,245967,31989.5,20198,11791.5,11821.38,11805.49,245667,245967,245967,90242.75,79106,11136.75,11130.69,11129.41,0,1740.385,1740.0,False,0,0,0,0,0,True,True,False
246092,246392,247292,75161.0,37145,38016.0,38052.13,38050.78,246392,246692,247292,13233.0,-2435,15668.0,15627.44,15613.96,246692,246992,247292,31968.75,20198,11770.75,11814.19,11809.44,246992,247292,247292,90263.25,79106,11157.25,11137.81,11129.73,0,1740.543,1740.5,False,0,0,0,0,0,True,True,False
247417,247717,248617,75190.75,37145,38045.75,38053.19,38051.11,247717,248017,248617,13198.0,-2435,15633.0,15620.94,15617.31,248017,248317,248617,32007.25,20198,11809.25,11816.31,11810.62,248317,248617,248617,90273.25,79106,11167.25,11143.81,11131.74,0,1740.701,1741.0,False,0,0,0,0,0,True,True,False
248741,249042,249942,75179.25,37145,38034.25,38044.5,38051.63,249042,249342,249942,13202.5,-2435,15637.5,15637.5,15618.21,249342,249642,249942,31972.75,20198,11774.75,11786.56,11812.04,249642,249942,249942,90293.5,79106,11187.5,11162.19,11134.74,0,1740.854,1741.0,False,0,0,0,0,0,True,True,False
250069,250369,251269,75191.75,37145,38046.75,38035.69,38049.86,250369,250669,251269,13222.25,-2435,15657.25,15648.94,15623.0,250669,250969,251269,31998.75,20198,11800.75,11788.88,11805.71,250969,251269,251269,90259.25,79106,11153.25,11166.31,11141.56,0,1741.047,1741.0,False,0,0,0,0,0,True,True,False
251394,251694,252594,75172.75,37145,38027.75,38038.63,38046.34,251694,251994,252594,13214.25,-2435,15649.25,15644.25,15629.45,251994,252294,252594,31979.5,20198,11781.5,11791.56,11801.52,252294,252594,252594,90282.0,79106,11176.0,11171.0,11147.71,0,1741.208,1741.0,False,0,0,0,0,0,True,True,False
252720,253020,253920,75169.75,37145,38024.75,38033.38,38044.42,253020,253320,253920,13197.75,-2435,15632.75,15644.19,15633.13,253320,253620,253920,31962.25,20198,11764.25,11780.31,11799.05,253620,253920,253920,90294.5,79106,11188.5,11176.31,11153.5,0,1741.381,1741.0,False,0,0,0,0,0,True,True,False
254048,254348,255248,75139.5,37145,37994.5,38023.44,38041.68,254348,254648,255248,13210.75,-2435,15645.75,15646.25,15635.88,254648,254948,255248,31993.0,20198,11795.0,11785.38,11794.39,254948,255248,255248,90264.25,79106,11158.25,11169.0,11159.17,0,1741.478,1741.5,False,0,0,0,0,0,True,True,False
255373,255673,256573,75162.5,37145,38017.5,38016.13,38037.14,255673,255973,256573,13235.25,-2435,15670.25,15649.5,15638.45,255973,256273,256573,31983.0,20198,11785.0,11781.44,11792.15,256273,256573,256573,90288.75,79106,11182.75,11176.38,11161.61,0,1741.422,1741.5,False,0,0,0,0,0,True,True,False
256697,256997,257897,75161.0,37145,38016.0,38013.19,38031.92,256997,257297,257897,13208.5,-2435,15643.5,15648.06,15641.2,257297,257597,257897,31970.25,20198,11772.25,11779.13,11789.49,257597,257897,257897,90249.75,79106,11143.75,11168.31,11165.28,0,1741.382,1741.0,False,0,0,0,0,0,True,True,False
258022,258322,259222,75174.75,37145,38029.75,38014.44,38027.27,258322,258622,259222,13221.75,-2435,15656.75,15654.06,15642.91,258622,258922,259222,31996.25,20198,11798.25,11787.63,11786.91,258922,259222,259222,90270.25,79106,11164.25,11162.25,11166.04,0,1741.245,1741.0,False,0,0,0,0,0,True,True,False
259347,259647,260547,75162.75,37145,38017.75,38020.25,38024.08,259647,259947,260547,13198.25,-2435,15633.25,15650.94,15645.68,259947,260247,260547,31993.0,20198,11795.0,11787.63,11787.09,260247,260547,260547,90307.75,79106,11201.75,11173.13,11165.09,0,1741.153,1741.0,False,0,0,0,0,0,True,True,False
260672,260972,261872,75164.75,37145,38019.75,38020.81,38023.13,260972,261272,261872,13166.75,-2435,15601.75,15633.81,15646.99,261272,261572,261872,31998.75,20198,11800.75,11791.56,11787.22,261572,261872,261872,90261.0,79106,11155.0,11166.19,11167.09,0,1741.213,1741.0,False,0,0,0,0,0,True,True,False
