tBeforeMeasure1,tAfterMeasure1,tAfterAlgo1,realValue_WU1,offset1,relativeVal_WU1,realValue_WU_MovAvg1,realValue_WU_Filt1,tBeforeMeasure2,tAfterMeasure2,tAfterAlgo2,realValue_WU2,offset2,relativeVal_WU2,realValue_WU_MovAvg2,realValue_WU_Filt2,tBeforeMeasure3,tAfterMeasure3,tAfterAlgo3,realValue_WU3,offset3,relativeVal_WU3,realValue_WU_MovAvg3,realValue_WU_Filt3,tBeforeMeasure4,tAfterMeasure4,tAfterAlgo4,realValue_WU4,offset4,relativeVal_WU4,realValue_WU_MovAvg4,realValue_WU_Filt4,realValueFiltered,realValue,correctedValueFiltered,bSync,vccReadBits,vccReadVolts,vccGPIO,vccVolts,ratioVCCMAX,B_DEBUG_MODE,B_SERIALPORT,BF_SERIALPORT
30069,30369,31269,145902.3,35984,109918.3,109918.3,109918.3,30369,30669,31269,42385.5,-459,42844.5,42844.5,42844.5,30669,30969,31269,64150.5,19127,45023.5,45023.5,45023.5,30969,31269,31269,186577.3,80734,105843.3,105843.3,105843.3,0,6298.723,6299.0,True,0,0,0,0,0,True,True,False
31391,31691,32591,145847.5,35984,109863.5,109863.5,109863.5,31691,31991,32591,42414.25,-459,42873.25,42873.25,42873.25,31991,32291,32591,64139.25,19127,45012.25,45012.25,45012.25,32291,32591,32591,186629.5,80734,105895.5,105895.5,105895.5,0,6299.034,6299.0,True,0,0,0,0,0,True,True,False
32713,33013,33913,145824.5,35984,109840.5,109857.8,109863.5,33013,33313,33913,42459.25,-459,42918.25,42884.5,42873.25,33313,33613,33913,64115.75,19127,44988.75,45006.38,45012.25,33613,33913,33913,186657.0,80734,105923.0,105902.4,105895.5,0,6299.034,6299.0,False,0,0,0,0,0,True,True,False
34035,34335,35235,145806.0,35984,109822.0,109847.4,109862.1,34335,34635,35235,42498.25,-459,42957.25,42905.5,42876.05,34635,34935,35235,64112.0,19127,44985.0,44999.56,45010.79,34935,35235,35235,186694.0,80734,105960.0,105918.5,105897.2,0,6299.067,6299.0,False,0,0,0,0,0,True,True,False
35358,35658,36558,145802.0,35984,109818.0,109836.0,109858.4,35658,35958,36558,42518.0,-459,42977.0,42931.44,42883.37,35958,36258,36558,64103.0,19127,44976.0,44990.5,45008.0,36258,36558,36558,186663.5,80734,105929.5,105927.0,105902.5,0,6299.195,6299.0,False,0,0,0,0,0,True,True,False
36679,36979,37879,145760.0,35984,109776.0,109814.1,109852.9,36979,37279,37879,42528.25,-459,42987.25,42959.94,42895.32,37279,37579,37879,64058.25,19127,44931.25,44970.25,45003.65,37579,37879,37879,186706.0,80734,105972.0,105946.1,105908.6,0,6299.364,6299.0,False,0,0,0,0,0,True,True,False
38001,38301,39201,145749.8,35984,109765.8,109765.8,109765.8,38301,38601,39201,701448.0,-459,701907.0,701907.0,701907.0,38601,38901,39201,64041.0,19127,44914.0,44914.0,44914.0,38901,39201,39201,186746.8,80734,106012.8,106012.8,106012.8,0,19968.9,19969.0,True,0,0,0,0,0,True,True,False
39319,39619,40519,145734.8,35984,109750.8,109750.8,109750.8,39619,39919,40519,42523.0,-459,42982.0,42982.0,42982.0,39919,40219,40519,64041.75,19127,44914.75,44914.75,44914.75,40219,40519,40519,186733.8,80734,105999.8,105999.8,105999.8,0,6299.091,6299.0,True,0,0,0,0,0,True,True,False
40640,40940,41840,145713.5,35984,109729.5,109729.5,109729.5,40940,41240,41840,42563.75,-459,43022.75,43022.75,43022.75,41240,41540,41840,64036.5,19127,44909.5,44909.5,44909.5,41540,41840,41840,186724.5,80734,105990.5,105990.5,105990.5,0,6299.195,6299.0,True,0,0,0,0,0,True,True,False
41962,42262,43162,145717.5,35984,109733.5,109730.5,109729.5,42262,42562,43162,42580.25,-459,43039.25,43026.88,43022.75,42562,42862,43162,64054.5,19127,44927.5,44914.0,44909.5,42862,43162,43162,186746.3,80734,106012.3,105995.9,105990.5,0,6299.195,6299.0,False,0,0,0,0,0,True,True,False
43286,43586,44486,145716.5,35984,109732.5,109731.3,109729.8,43586,43886,44486,42563.5,-459,43022.5,43026.81,43023.77,43886,44186,44486,64049.25,19127,44922.25,44917.19,44910.62,44186,44486,44486,186734.5,80734,106000.5,105998.4,105991.9,0,6299.272,6299.0,False,0,0,0,0,0,True,True,False
44610,44910,45810,145724.0,35984,109740.0,109733.9,109730.1,44910,45210,45810,42599.0,-459,43058.0,43035.63,43024.53,45210,45510,45810,64036.0,19127,44909.0,44917.06,44912.25,45510,45810,45810,186767.5,80734,106033.5,106009.2,105993.5,0,6299.364,6299.0,False,0,0,0,0,0,True,True,False
45933,46233,47133,145685.8,35984,109701.8,109726.9,109731.1,46233,46533,47133,42598.0,-459,43057.0,43044.19,43027.29,46533,46833,47133,63993.5,19127,44866.5,44906.31,44913.45,46833,47133,47133,186765.5,80734,106031.5,106019.4,105997.4,0,6299.546,6299.5,False,0,0,0,0,0,True,True,False
47255,47555,48455,145693.3,35984,109709.3,109720.9,109730.0,47555,47855,48455,42597.25,-459,43056.25,43048.44,43031.49,47855,48155,48455,64026.0,19127,44899.0,44899.19,44911.68,48155,48455,48455,186788.3,80734,106054.3,106029.9,106002.9,0,6299.688,6299.5,False,0,0,0,0,0,True,True,False
48577,48877,49777,145678.0,35984,109694.0,109711.3,109727.8,48877,49177,49777,42609.25,-459,43068.25,43059.88,43035.7,49177,49477,49777,64015.25,19127,44888.25,44890.69,44908.57,49477,49777,49777,186787.5,80734,106053.5,106043.2,106009.6,0,6299.805,6300.0,False,0,0,0,0,0,True,True,False
