tBeforeMeasure1,tAfterMeasure1,tAfterAlgo1,realValue_WU1,offset1,relativeVal_WU1,realValue_WU_MovAvg1,realValue_WU_Filt1,tBeforeMeasure2,tAfterMeasure2,tAfterAlgo2,realValue_WU2,offset2,relativeVal_WU2,realValue_WU_MovAvg2,realValue_WU_Filt2,tBeforeMeasure3,tAfterMeasure3,tAfterAlgo3,realValue_WU3,offset3,relativeVal_WU3,realValue_WU_MovAvg3,realValue_WU_Filt3,tBeforeMeasure4,tAfterMeasure4,tAfterAlgo4,realValue_WU4,offset4,relativeVal_WU4,realValue_WU_MovAvg4,realValue_WU_Filt4,realValueFiltered,realValue,correctedValueFiltered,bSync,vccReadBits,vccReadVolts,vccGPIO,vccVolts,ratioVCCMAX,B_DEBUG_MODE,B_SERIALPORT,BF_SERIALPORT
150241,150541,151441,-574.5,-555,-19.5,-14.4375,-7.182211,150541,150841,151441,13082.25,13127,-44.75,-30.8125,-19.61423,150841,151141,151441,95458.25,95445,13.25,2.3125,-0.236174,151141,151441,151441,11740.25,11735,5.25,-3.9375,-5.737666,0,-0.679812,0,False,0,0,0,0,0,True,True,False
151563,151863,152763,-577.75,-555,-22.75,-18.875,-8.985315,151863,152163,152763,13111.25,13127,-15.75,-28.75,-22.39726,152163,152463,152763,95465.5,95445,20.5,6.3125,0.397229,152463,152763,152763,11698.5,11735,-36.5,-15.0,-5.290284,0,-0.752529,0,False,0,0,0,0,0,True,True,False
152884,153184,154084,-574.25,-555,-19.25,-21.1875,-11.44313,153184,153484,154084,13124.25,13127,-2.75,-21.875,-23.97606,153484,153784,154084,95468.0,95445,23.0,16.375,1.867308,153784,154084,154084,11728.75,11735,-6.25,-13.375,-7.703369,0,-0.85583,0,False,0,0,0,0,0,True,True,False
154299,154599,155499,-552.0,-555,3.0,-14.625,-13.86483,154599,154899,155499,13098.0,13127,-29.0,-23.0625,-23.4539,154899,155199,155499,95455.5,95445,10.5,16.8125,5.472799,155199,155499,155499,11761.25,11735,26.25,-2.8125,-9.112899,0,-0.849681,0,False,0,0,0,0,0,True,True,False
155622,155922,156822,-579.0,-555,-24.0,-15.75,-14.05375,155922,156222,156822,13109.25,13127,-17.75,-16.3125,-23.35663,156222,156522,156822,95441.0,95445,-4.0,12.5,8.290973,156522,156822,156822,11734.0,11735,-1.0,-4.375,-7.547107,0,-0.760638,0,False,0,0,0,0,0,True,True,False
156944,157244,158144,-553.25,-555,1.75,-9.625,-14.4753,157244,157544,158144,13115.0,13127,-12.0,-15.375,-21.606,157544,157844,158144,95435.5,95445,-9.5,5.0,9.337011,157844,158144,158144,11726.0,11735,-9.0,2.5,-6.758766,0,-0.695013,0,False,0,0,0,0,0,True,True,False
158264,158564,159464,-571.75,-555,-16.75,-9.0,-13.26989,158564,158864,159464,13091.25,13127,-35.75,-23.625,-20.05746,158864,159164,159464,95458.0,95445,13.0,2.5,8.259166,159164,159464,159464,11695.0,11735,-40.0,-5.9375,-4.457753,0,-0.612509,0,False,0,0,0,0,0,True,True,False
159584,159884,160784,-540.75,-555,14.25,-6.1875,-12.20873,159884,160184,160784,13134.5,13127,7.5,-14.5,-20.94407,160184,160484,160784,95456.25,95445,11.25,2.6875,6.827882,160484,160784,160784,11726.0,11735,-9.0,-14.75,-4.825503,0,-0.646208,0,False,0,0,0,0,0,True,True,False
160905,161205,162105,-548.0,-555,7.0,1.5625,-10.71232,161205,161505,162105,13117.5,13127,-9.5,-12.4375,-19.34258,161505,161805,162105,95439.25,95445,-5.75,2.25,5.798903,161805,162105,162105,11740.5,11735,5.5,-13.125,-7.291966,0,-0.654455,0,False,0,0,0,0,0,True,True,False
162226,162526,163426,-559.5,-555,-4.5,0.0,-7.661746,162526,162826,163426,13115.25,13127,-11.75,-12.375,-17.62651,162826,163126,163426,95434.25,95445,-10.75,1.9375,4.91692,163126,163426,163426,11721.25,11735,-13.75,-14.3125,-8.741608,0,-0.603941,0,False,0,0,0,0,0,True,True,False
163547,163847,164747,-564.5,-555,-9.5,1.8125,-5.757628,163847,164147,164747,13126.75,13127,-0.25,-3.5,-16.32139,164147,164447,164747,95466.25,95445,21.25,4.0,4.176466,164447,164747,164747,11730.0,11735,-5.0,-5.5625,-10.1261,0,-0.581448,0,False,0,0,0,0,0,True,True,False
164869,165169,166069,-579.25,-555,-24.25,-7.8125,-3.87628,165169,165469,166069,13124.0,13127,-3.0,-6.125,-13.13498,165469,165769,166069,95433.0,95445,-12.0,-1.8125,4.132611,165769,166069,166069,11708.5,11735,-26.5,-9.9375,-8.991943,0,-0.4537,0,False,0,0,0,0,0,True,True,False
166191,166491,167391,-571.0,-555,-16.0,-13.5625,-4.85452,166491,166791,167391,13132.75,13127,5.75,-2.3125,-11.39284,166791,167091,167391,95435.75,95445,-9.25,-2.6875,2.655116,167091,167391,167391,11702.75,11735,-32.25,-19.375,-9.226935,0,-0.473379,0,False,0,0,0,0,0,True,True,False
167513,167813,168713,-568.75,-555,-13.75,-15.875,-7.018651,167813,168113,168713,13109.75,13127,-17.25,-3.6875,-9.136171,168113,168413,168713,95438.0,95445,-7.0,-1.75,1.327355,168413,168713,168713,11719.5,11735,-15.5,-19.8125,-11.74896,0,-0.551322,0,False,0,0,0,0,0,True,True,False
168834,169134,170034,-562.25,-555,-7.25,-15.3125,-9.219655,169134,169434,170034,13116.0,13127,-11.0,-6.375,-7.782053,169434,169734,170034,95443.5,95445,-1.5,-7.4375,0.562562,169734,170034,170034,11724.0,11735,-11.0,-21.3125,-13.75293,0,-0.626328,0,False,0,0,0,0,0,True,True,False
