tBeforeMeasure1,tAfterMeasure1,tAfterAlgo1,realValue_WU1,offset1,relativeVal_WU1,realValue_WU_MovAvg1,realValue_WU_Filt1,tBeforeMeasure2,tAfterMeasure2,tAfterAlgo2,realValue_WU2,offset2,relativeVal_WU2,realValue_WU_MovAvg2,realValue_WU_Filt2,tBeforeMeasure3,tAfterMeasure3,tAfterAlgo3,realValue_WU3,offset3,relativeVal_WU3,realValue_WU_MovAvg3,realValue_WU_Filt3,tBeforeMeasure4,tAfterMeasure4,tAfterAlgo4,realValue_WU4,offset4,relativeVal_WU4,realValue_WU_MovAvg4,realValue_WU_Filt4,realValueFiltered,realValue,correctedValueFiltered,bSync,displayState,vccReadBits,vccReadVolts,vccGPIO,vccVolts,ratioVCCMAX,B_DEBUG_MODE,B_SERIALPORT,BF_SERIALPORT
24253,24253,24320,184788,86780,98008,98008,98011.6,24253,24253,24320,200786,198874,1912,1912,1815.561,24253,24305,24320,34501,37415,-2914,-2914,-2905.521,24305,24320,24320,70442,68882,1560,1560,1437.06,0,447.2755,447.0,False,3,0,0,0,0,0,True,True,False
24442,24443,24518,184615,86780,97835,97835,98011.35,24443,24443,24518,200816,198874,1942,1942,1822.21,24443,24482,24518,34412,37415,-3003,-3003,-2906.105,24482,24518,24518,70101,68882,1219,1219,1445.536,0,444.6018,444.5,False,3,0,0,0,0,0,True,True,False
24640,24641,24715,184679,86780,97899,97899,97999.2,24641,24641,24715,200784,198874,1910,1910,1830.468,24641,24658,24715,34368,37415,-3047,-3047,-2912.785,24658,24715,24715,70131,68882,1249,1249,1429.919,0,444.6812,444.5,False,3,0,0,0,0,0,True,True,False
24837,24838,24923,184493,86780,97713,97713,97992.29,24838,24838,24923,200850,198874,1976,1976,1835.95,24838,24923,24923,34316,37415,-3099,-3099,-2922.037,24923,24923,24923,70060,68882,1178,1178,1417.447,0,443.5602,443.5,False,3,0,0,0,0,0,True,True,False
26416,26417,26491,184608,86780,97828,97828,97924.55,26417,26417,26491,200832,198874,1958,1958,1884.512,26417,26423,26491,34385,37415,-3030,-3030,-2980.198,26423,26491,26491,70446,68882,1564,1564,1459.974,0,446.1446,446.0,False,3,0,0,0,0,0,True,True,False
26613,26613,26689,187112,86780,100332,100332,100332.0,26613,26614,26689,200969,198874,2095,2095,2095.0,26614,26688,26689,34345,37415,-3070,-3070,-3070.0,26688,26689,26689,70315,68882,1433,1433,1433.0,0,457.2776,457.0,True,3,0,0,0,0,0,True,True,False
26812,26812,26886,186328,86780,99548,99548,99548.0,26812,26812,26886,200672,198874,1798,1798,1798.0,26812,26864,26886,34909,37415,-2506,-2506,-2506.0,26864,26886,26886,68903,68882,21,21,21.0,0,448.3697,448.0,True,3,0,0,0,0,0,True,True,False
33917,33917,33991,95519,86780,8739,8739,8606.833,33917,33917,33991,294996,198874,96122,96122,96167.6,33917,33922,33991,45295,37415,7880,7880,7831.111,33922,33991,33991,58731,68882,-10151,-10151,-9831.813,0,465.9182,466.0,False,3,0,0,0,0,0,True,True,False
51087,51087,51162,95676,86780,8896,8896,8848.009,51087,51088,51162,294644,198874,95770,95770,95819.2,51088,51127,51162,45664,37415,8249,8249,8160.671,51127,51162,51162,58619,68882,-10263,-10263,-10368.9,0,466.2365,466.0,False,3,0,0,0,0,0,True,True,False
51284,51285,51359,95767,86780,8987,8987,8851.317,51285,51285,51359,294648,198874,95774,95774,95815.8,51285,51304,51359,45681,37415,8266,8266,8166.76,51304,51359,51359,58501,68882,-10381,-10381,-10361.6,0,466.1888,466.0,False,3,0,0,0,0,0,True,True,False
51480,51480,51568,95746,86780,8966,8966,8860.671,51480,51480,51568,294634,198874,95760,95760,95812.92,51480,51568,51568,45550,37415,8135,8135,8173.602,51568,51568,51568,58394,68882,-10488,-10488,-10362.94,0,464.9103,465.0,False,3,0,0,0,0,0,True,True,False
51691,51691,51753,95555,86780,8775,8775,8867.932,51691,51691,51753,294640,198874,95766,95766,95809.27,51691,51745,51753,45604,37415,8189,8189,8170.94,51745,51753,51753,58282,68882,-10600,-10600,-10371.56,0,463.7989,464.0,False,3,0,0,0,0,0,True,True,False
51877,51877,51950,95449,86780,8669,8669,8861.525,51877,51877,51950,294685,198874,95811,95811,95806.29,51877,51921,51950,45624,37415,8209,8209,8172.185,51921,51950,51950,58492,68882,-10390,-10390,-10387.31,0,464.6089,464.5,False,3,0,0,0,0,0,True,True,False
52072,52072,52147,95715,86780,8935,8935,8848.253,52072,52072,52147,294649,198874,95775,95775,95806.61,52072,52098,52147,45661,37415,8246,8246,8174.723,52098,52147,52147,58674,68882,-10208,-10208,-10387.49,0,466.6811,466.5,False,3,0,0,0,0,0,True,True,False
52271,52271,52344,95880,86780,9100,9100,8854.232,52271,52271,52344,294623,198874,95749,95749,95804.43,52271,52274,52344,45698,37415,8283,8283,8179.636,52274,52344,52344,58627,68882,-10255,-10255,-10375.12,0,467.2609,467.0,False,3,0,0,0,0,0,True,True,False
