tBeforeMeasure1,tAfterMeasure1,tAfterAlgo1,realValue_WU1,offset1,relativeVal_WU1,realValue_WU_MovAvg1,realValue_WU_Filt1,tBeforeMeasure2,tAfterMeasure2,tAfterAlgo2,realValue_WU2,offset2,relativeVal_WU2,realValue_WU_MovAvg2,realValue_WU_Filt2,tBeforeMeasure3,tAfterMeasure3,tAfterAlgo3,realValue_WU3,offset3,relativeVal_WU3,realValue_WU_MovAvg3,realValue_WU_Filt3,tBeforeMeasure4,tAfterMeasure4,tAfterAlgo4,realValue_WU4,offset4,relativeVal_WU4,realValue_WU_MovAvg4,realValue_WU_Filt4,realValueFiltered,realValue,correctedValueFiltered,bSync,vccReadBits,vccReadVolts,vccGPIO,vccVolts,ratioVCCMAX,B_DEBUG_MODE,B_SERIALPORT,BF_SERIALPORT
155862,156162,157062,-22348.5,-29838,7489.5,7490.563,7491.411,156162,156462,157062,27298.75,6678,20620.75,20594.75,20572.39,156462,156762,157062,3614.5,-1444,5058.5,5078.625,5078.432,156762,157062,157062,138831.0,94251,44580.0,44569.13,44561.95,0,1611.955,1612.0,False,0,0,0,0,0,True,True,False
157185,157485,158385,-22371.0,-29838,7467.0,7484.188,7491.2,157485,157785,158385,27298.75,6678,20620.75,20607.75,20577.95,157785,158085,158385,3651.25,-1444,5095.25,5083.25,5078.48,158085,158385,158385,138841.3,94251,44590.25,44576.38,44563.73,0,1612.104,1612.0,False,0,0,0,0,0,True,True,False
158509,158809,159709,-22358.5,-29838,7479.5,7485.188,7489.458,158809,159109,159709,27306.75,6678,20628.75,20620.56,20585.35,159109,159409,159709,3640.25,-1444,5084.25,5084.688,5079.666,159409,159709,159709,138786.0,94251,44535.0,44570.31,44566.88,0,1612.311,1612.0,False,0,0,0,0,0,True,True,False
159832,160132,161032,-22408.5,-29838,7429.5,7466.375,7488.396,160132,160432,161032,27310.5,6678,20632.5,20625.69,20594.1,160432,160732,161032,3622.5,-1444,5066.5,5076.125,5080.914,160732,161032,161032,138821.0,94251,44570.0,44568.81,44567.73,0,1612.514,1612.5,False,0,0,0,0,0,True,True,False
161154,161454,162354,-22367.25,-29838,7470.75,7461.688,7482.924,161454,161754,162354,27315.5,6678,20637.5,20629.88,20601.95,161754,162054,162354,3610.75,-1444,5054.75,5075.188,5079.724,162054,162354,162354,138792.5,94251,44541.5,44559.19,44568.0,0,1612.545,1612.5,False,0,0,0,0,0,True,True,False
162477,162777,163677,-22461.75,-29838,7376.25,7439.0,7477.646,162777,163077,163677,27232.5,6678,20554.5,20613.31,20608.89,163077,163377,163677,3615.0,-1444,5059.0,5066.125,5078.596,163377,163677,163677,138879.8,94251,44628.75,44568.81,44565.81,0,1612.51,1612.5,False,0,0,0,0,0,True,True,False
163799,164099,164999,-22430.25,-29838,7407.75,7421.063,7468.042,164099,164399,164999,27303.75,6678,20625.75,20612.56,20609.99,164399,164699,164999,3633.25,-1444,5077.25,5064.375,5075.497,164699,164999,164999,138838.3,94251,44587.25,44581.88,44566.55,0,1612.285,1612.0,False,0,0,0,0,0,True,True,False
165122,165422,166322,-22370.5,-29838,7467.5,7430.563,7456.366,165422,165722,166322,27316.25,6678,20638.25,20614.0,20610.63,165722,166022,166322,3604.5,-1444,5048.5,5059.875,5072.733,166022,166322,166322,138846.3,94251,44595.25,44588.19,44570.36,0,1612.078,1612.0,False,0,0,0,0,0,True,True,False
166447,166747,167647,-22369.0,-29838,7469.0,7430.125,7449.954,166747,167047,167647,27302.75,6678,20624.75,20610.81,20611.47,167047,167347,167647,3612.75,-1444,5056.75,5060.375,5069.538,167347,167647,167647,138852.8,94251,44601.75,44603.25,44574.79,0,1611.988,1612.0,False,0,0,0,0,0,True,True,False
167770,168070,168970,-22362.75,-29838,7475.25,7454.875,7445.026,168070,168370,168970,27279.25,6678,20601.25,20622.5,20611.31,168370,168670,168970,3630.0,-1444,5074.0,5064.125,5067.261,168670,168970,168970,138873.3,94251,44622.25,44601.63,44581.87,0,1611.982,1612.0,False,0,0,0,0,0,True,True,False
169094,169394,170294,-22354.25,-29838,7483.75,7473.875,7447.474,169394,169694,170294,27294.75,6678,20616.75,20620.25,20614.09,169694,169994,170294,3610.5,-1444,5054.5,5058.438,5066.481,169994,170294,170294,138856.5,94251,44605.5,44606.19,44586.78,0,1612.176,1612.0,False,0,0,0,0,0,True,True,False
170417,170717,171617,-22340.75,-29838,7497.25,7481.313,7454.035,170717,171017,171617,27279.25,6678,20601.25,20611.0,20615.62,171017,171317,171617,3614.5,-1444,5058.5,5060.938,5064.482,171317,171617,171617,138859.3,94251,44608.25,44609.44,44591.6,0,1612.402,1612.5,False,0,0,0,0,0,True,True,False
171740,172040,172940,-22327.0,-29838,7511.0,7491.813,7460.814,172040,172340,172940,27296.25,6678,20618.25,20609.38,20614.47,172340,172640,172940,3637.25,-1444,5081.25,5067.063,5063.602,172640,172940,172940,138835.5,94251,44584.5,44605.13,44596.04,0,1612.593,1612.5,False,0,0,0,0,0,True,True,False
173063,173363,174263,-22293.25,-29838,7544.75,7509.188,7468.519,173363,173663,174263,27273.75,6678,20595.75,20608.0,20613.21,173663,173963,174263,3643.0,-1444,5087.0,5070.313,5064.462,173963,174263,174263,138811.0,94251,44560.0,44589.56,44598.29,0,1612.791,1613.0,False,0,0,0,0,0,True,True,False
174385,174685,175585,-22315.0,-29838,7523.0,7519.0,7478.626,174685,174985,175585,27295.75,6678,20617.75,20608.25,20611.91,174985,175285,175585,3633.5,-1444,5077.5,5076.063,5065.916,175285,175585,175585,138837.3,94251,44586.25,44584.75,44596.13,0,1612.959,1613.0,False,0,0,0,0,0,True,True,False
