tBeforeMeasure1,tAfterMeasure1,tAfterAlgo1,realValue_WU1,offset1,relativeVal_WU1,realValue_WU_MovAvg1,realValue_WU_Filt1,tBeforeMeasure2,tAfterMeasure2,tAfterAlgo2,realValue_WU2,offset2,relativeVal_WU2,realValue_WU_MovAvg2,realValue_WU_Filt2,tBeforeMeasure3,tAfterMeasure3,tAfterAlgo3,realValue_WU3,offset3,relativeVal_WU3,realValue_WU_MovAvg3,realValue_WU_Filt3,tBeforeMeasure4,tAfterMeasure4,tAfterAlgo4,realValue_WU4,offset4,relativeVal_WU4,realValue_WU_MovAvg4,realValue_WU_Filt4,realValueFiltered,realValue,correctedValueFiltered,bSync,vccReadBits,vccReadVolts,vccGPIO,vccVolts,ratioVCCMAX,B_DEBUG_MODE,B_SERIALPORT,BF_SERIALPORT
294175,294475,295375,-8364.0,-8350,-14.0,-10.625,4.688388,294475,294775,295375,-60214.0,-60193,-21.0,-16.75,7.234362,294775,295075,295375,-23406.75,-23396,-10.75,-19.0,-23.21064,295075,295375,295375,96836.5,96883,-46.5,-40.8125,-34.14581,0,-0.942511,0,False,0,0,0,0,0,True,True,False
295498,295798,296698,-8356.5,-8350,-6.5,-8.9375,0.882663,295798,296098,296698,-60118.75,-60193,74.25,-0.25,1.273703,296098,296398,296698,-23426.0,-23396,-30.0,-17.3125,-22.1642,296398,296698,296698,96806.25,96883,-76.75,-51.75,-35.80263,0,-1.157775,0,False,0,0,0,0,0,True,True,False
296823,297123,298023,-8354.0,-8350,-4.0,-4.8125,-1.557871,297123,297423,298023,-60210.5,-60193,-17.5,-5.5625,0.895028,297423,297723,298023,-23394.0,-23396,2.0,-9.0625,-20.95844,297723,298023,298023,96801.0,96883,-82.0,-62.375,-39.76591,0,-1.273463,0,False,0,0,0,0,0,True,True,False
298144,298444,299344,-8354.5,-8350,-4.5,-7.25,-2.36672,298444,298744,299344,-60244.75,-60193,-51.75,-4.0,-0.709814,298744,299044,299344,-23417.5,-23396,-21.5,-15.0625,-18.00203,299044,299344,299344,96776.75,96883,-106.25,-77.875,-45.38478,0,-1.378767,0,False,0,0,0,0,0,True,True,False
299466,299766,300666,-8330.0,-8350,20.0,1.25,-3.580326,299766,300066,300666,-60225.0,-60193,-32.0,-6.75,-1.5275,300066,300366,300666,-23381.5,-23396,14.5,-8.75,-17.27149,300366,300666,300666,96780.75,96883,-102.25,-91.8125,-53.45934,0,-1.573255,0,False,0,0,0,0,0,True,True,False
300787,301087,301987,-8351.25,-8350,-1.25,2.5625,-2.37988,301087,301387,301987,-60255.5,-60193,-62.5,-40.9375,-2.82541,301387,301687,301987,-23392.0,-23396,4.0,-0.25,-15.15371,301687,301987,301987,96810.0,96883,-73.0,-90.875,-62.99097,0,-1.729076,0,False,0,0,0,0,0,True,True,False
302108,302408,303308,-8337.75,-8350,12.25,6.625,-1.151587,302408,302708,303308,-60198.5,-60193,-5.5,-37.9375,-12.29713,302708,303008,303308,-23422.5,-23396,-26.5,-7.375,-11.4498,303008,303308,303308,96870.0,96883,-13.0,-73.625,-69.92079,0,-1.967004,0,False,0,0,0,0,0,True,True,False
303430,303730,304630,-8330.5,-8350,19.5,12.625,0.781072,303730,304030,304630,-60143.5,-60193,49.5,-12.625,-18.66934,304030,304330,304630,-23432.5,-23396,-36.5,-11.125,-10.43712,304330,304630,304630,96847.0,96883,-36.0,-56.0625,-70.84137,0,-2.057191,0,False,0,0,0,0,0,True,True,False
304754,305054,305954,-8347.5,-8350,2.5,8.25,3.724557,305054,305354,305954,-60211.25,-60193,-18.25,-9.1875,-17.16719,305354,305654,305954,-23406.25,-23396,-10.25,-17.3125,-10.60807,305654,305954,305954,96819.25,96883,-63.75,-46.4375,-67.16849,0,-1.892321,0,False,0,0,0,0,0,True,True,False
306077,306377,307277,-8331.75,-8350,18.25,13.125,4.849232,306377,306677,307277,-60195.5,-60193,-2.5,5.8125,-15.18405,306677,306977,307277,-23421.5,-23396,-25.5,-24.6875,-12.27427,306977,307277,307277,96822.0,96883,-61.0,-43.4375,-62.01637,0,-1.755535,0,False,0,0,0,0,0,True,True,False
