tBeforeMeasure1,tAfterMeasure1,tAfterAlgo1,realValue_WU1,offset1,relativeVal_WU1,realValue_WU_MovAvg1,realValue_WU_Filt1,tBeforeMeasure2,tAfterMeasure2,tAfterAlgo2,realValue_WU2,offset2,relativeVal_WU2,realValue_WU_MovAvg2,realValue_WU_Filt2,tBeforeMeasure3,tAfterMeasure3,tAfterAlgo3,realValue_WU3,offset3,relativeVal_WU3,realValue_WU_MovAvg3,realValue_WU_Filt3,realValue_WU_AngleAdj,realValueFiltered,realValue,correctedValueFiltered,myAx,myAy,myAz,myGx,myGy,myGz,thetadeg,phideg,myTmp,bSync,vccReadBits,vccReadVolts,vccGPIO,vccVolts,ratioVCCMAX,B_DEBUG_MODE,B_SERIALPORT,BF_SERIALPORT
25758,26058,26058,-180758.8,-183367,2608.25,2589.125,2582.75,26058,26358,26358,-63457.0,-67962,4505.0,4514.938,4518.25,26358,26658,26658,-220341.8,-222459,2117.25,2097.313,2096.633,0,0,183.9527,184,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
26777,27077,27077,-180761.8,-183367,2605.25,2594.75,2584.334,27077,27377,27379,-63437.0,-67962,4525.0,4516.625,4517.427,27379,27679,27679,-220343.5,-222459,2115.5,2101.688,2096.802,0,0,183.9713,184,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
27796,28096,28096,-180777.8,-183367,2589.25,2596.375,2586.923,28096,28396,28396,-63444.25,-67962,4517.75,4516.5,4517.228,28396,28696,28696,-220366.0,-222459,2093.0,2100.438,2098.016,0,0,184.0433,184,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
28813,29113,29113,-180750.3,-183367,2616.75,2604.875,2589.272,29113,29413,29413,-63465.75,-67962,4496.25,4511.0,4517.047,29413,29713,29713,-220353.5,-222459,2105.5,2107.813,2098.618,0,0,184.0988,184,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
29832,30132,30132,-180791.8,-183367,2575.25,2596.625,2593.15,30132,30432,30432,-63443.75,-67962,4518.25,4514.313,4515.544,30432,30732,30732,-220364.0,-222459,2095.0,2102.25,2100.903,0,0,184.1919,184,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
30849,31149,31149,-180766.5,-183367,2600.5,2595.438,2594.014,31149,31449,31449,-63445.0,-67962,4517.0,4512.313,4515.238,31449,31749,31749,-220364.5,-222459,2094.5,2097.0,2101.238,0,0,184.2098,184,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
31865,32165,32165,-180806.0,-183367,2561.0,2588.375,2594.367,32165,32465,32465,-63453.0,-67962,4509.0,4510.125,4514.511,32465,32765,32765,-220360.0,-222459,2099.0,2098.5,2100.185,0,0,184.1812,184,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
32882,33182,33182,-180778.3,-183367,2588.75,2581.375,2592.878,33182,33482,33482,-63444.5,-67962,4517.5,4515.438,4513.421,33482,33782,33782,-220369.0,-222459,2090.0,2094.625,2099.766,0,0,184.1213,184,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
33899,34199,34199,-180760.3,-183367,2606.75,2589.25,2590.02,34199,34499,34499,-63445.25,-67962,4516.75,4515.063,4513.922,34499,34799,34799,-220321.5,-222459,2137.5,2105.25,2098.488,0,0,184.0486,184,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
34916,35216,35216,-180769.3,-183367,2597.75,2588.563,2589.828,35216,35516,35516,-63483.0,-67962,4479.0,4505.563,4514.206,35516,35816,35816,-220381.0,-222459,2078.0,2101.125,2100.169,0,0,184.0841,184,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
35933,36233,36233,-180759.0,-183367,2608.0,2600.313,2589.514,36233,36533,36533,-63465.75,-67962,4496.25,4502.375,4512.058,36533,36833,36833,-220362.8,-222459,2096.25,2100.438,2100.406,0,0,184.0396,184,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
36951,37251,37251,-180776.8,-183367,2590.25,2600.688,2592.198,37251,37551,37551,-63449.5,-67962,4512.5,4501.125,4509.651,37551,37851,37851,-220384.0,-222459,2075.0,2096.688,2100.414,0,0,184.0453,184,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
37970,38270,38270,-180777.5,-183367,2589.5,2596.375,2594.307,38270,38570,38570,-63467.0,-67962,4495.0,4495.688,4507.533,38570,38870,38870,-220345.8,-222459,2113.25,2090.625,2099.488,0,0,184.0266,184,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
38987,39287,39287,-180776.5,-183367,2590.5,2594.563,2594.821,39287,39587,39587,-63449.75,-67962,4512.25,4504.0,4504.589,39587,39887,39887,-220361.0,-222459,2098.0,2095.625,2097.285,0,0,183.9339,184,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
40003,40303,40303,-180822.3,-183367,2544.75,2578.75,2594.757,40303,40603,40603,-63434.0,-67962,4528.0,4511.938,4504.442,40603,40903,40903,-220377.5,-222459,2081.5,2091.938,2096.873,0,0,183.9214,184,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
