tBeforeMeasure1,tAfterMeasure1,tAfterAlgo1,realValue_WU1,offset1,relativeVal_WU1,realValue_WU_MovAvg1,realValue_WU_Filt1,tBeforeMeasure2,tAfterMeasure2,tAfterAlgo2,realValue_WU2,offset2,relativeVal_WU2,realValue_WU_MovAvg2,realValue_WU_Filt2,tBeforeMeasure3,tAfterMeasure3,tAfterAlgo3,realValue_WU3,offset3,relativeVal_WU3,realValue_WU_MovAvg3,realValue_WU_Filt3,realValue_WU_AngleAdj,realValueFiltered,realValue,correctedValueFiltered,myAx,myAy,myAz,myGx,myGy,myGz,thetadeg,phideg,myTmp,bSync,vccReadBits,vccReadVolts,vccGPIO,vccVolts,ratioVCCMAX,B_DEBUG_MODE,B_SERIALPORT,BF_SERIALPORT
5401201,5401501,5401501,-181745.8,-181785,39.25,26.375,27.91348,5401501,5401801,5401801,-67219.25,-67254,34.75,16.75,16.15105,5401801,5402101,5402101,-216429.5,-216482,52.5,67.0,72.97528,0,0,2.340796,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
5402218,5402518,5402518,-181769.0,-181785,16.0,30.75,27.53113,5402518,5402818,5402818,-67215.25,-67254,38.75,24.25,16.29991,5402818,5403118,5403118,-216422.3,-216482,59.75,64.5,71.49029,0,0,2.306427,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
5403237,5403537,5403537,-181782.8,-181785,2.25,20.3125,28.33109,5403537,5403837,5403837,-67199.0,-67254,55.0,32.1875,18.27568,5403837,5404137,5404137,-216400.3,-216482,81.75,68.875,69.75304,0,0,2.327197,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
5404256,5404556,5404556,-181764.5,-181785,20.5,19.5,26.33829,5404556,5404856,5404856,-67221.0,-67254,33.0,40.375,21.73309,5404856,5405156,5405156,-216391.8,-216482,90.25,71.0625,69.53483,0,0,2.352124,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
5405272,5405572,5405572,-181790.5,-181785,-5.5,8.3125,24.63882,5405572,5405872,5405872,-67253.75,-67254,0.25,31.75,26.36603,5405872,5406172,5406172,-216392.5,-216482,89.5,80.3125,69.91449,0,0,2.418387,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
5406291,5406591,5406591,-181780.5,-181785,4.5,5.4375,20.58136,5406591,5406891,5406891,-67232.0,-67254,22.0,27.5625,27.70407,5406891,5407191,5407191,-216425.3,-216482,56.75,79.5625,72.49863,0,0,2.415681,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
5407307,5407607,5407607,-181751.8,-181785,33.25,13.1875,16.81777,5407607,5407907,5407907,-67235.0,-67254,19.0,18.5625,27.66888,5407907,5408207,5408207,-216410.3,-216482,71.75,77.0625,74.25417,0,0,2.374816,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
5408324,5408624,5408624,-181760.5,-181785,24.5,14.1875,15.91556,5408624,5408924,5408924,-67201.75,-67254,52.25,23.375,25.40574,5408924,5409224,5409224,-216422.0,-216482,60.0,69.5,74.9521,0,0,2.325468,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
5409342,5409642,5409642,-181781.8,-181785,3.25,16.375,15.4861,5409642,5409942,5409942,-67238.5,-67254,15.5,27.1875,24.90106,5409942,5410242,5410242,-216427.0,-216482,55.0,60.875,73.59713,0,0,2.279686,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
5410358,5410658,5410658,-181766.0,-181785,19.0,20.0,15.70701,5410658,5410958,5410958,-67256.5,-67254,-2.5,21.0625,25.46929,5410958,5411258,5411258,-216441.3,-216482,40.75,56.875,70.43539,0,0,2.232234,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
5411374,5411674,5411674,-181805.8,-181785,-20.75,6.5,16.77392,5411674,5411974,5411974,-67239.25,-67254,14.75,20.0,24.3741,5411974,5412274,5412274,-216392.3,-216482,89.75,61.375,67.06533,0,0,2.164267,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
5412392,5412692,5412692,-181816.5,-181785,-31.5,-7.5,14.22062,5412692,5412992,5412992,-67237.5,-67254,16.5,11.0625,23.28704,5412992,5413292,5413292,-216406.0,-216482,76.0,65.375,65.65115,0,0,2.063176,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
5413409,5413709,5413709,-181772.5,-181785,12.5,-5.1875,8.82255,5413709,5414009,5414009,-67238.0,-67254,16.0,11.1875,20.24896,5414009,5414309,5414310,-216402.5,-216482,79.5,71.5,65.58253,0,0,1.893081,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
5414426,5414726,5414726,-181813.3,-181785,-28.25,-17.0,5.340734,5414726,5415026,5415026,-67249.25,-67254,4.75,13.0,17.99698,5415026,5415326,5415326,-216395.3,-216482,86.75,83.0,67.05315,0,0,1.807817,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
5415445,5415745,5415745,-181769.8,-181785,15.25,-8.0,-0.211445,5415745,5416045,5416045,-67218.5,-67254,35.5,18.1875,16.75512,5416045,5416345,5416345,-216416.8,-216482,65.25,76.875,71.01631,0,0,1.759658,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
