tBeforeMeasure1,tAfterMeasure1,tAfterAlgo1,realValue_WU1,offset1,relativeVal_WU1,realValue_WU_MovAvg1,realValue_WU_Filt1,tBeforeMeasure2,tAfterMeasure2,tAfterAlgo2,realValue_WU2,offset2,relativeVal_WU2,realValue_WU_MovAvg2,realValue_WU_Filt2,tBeforeMeasure3,tAfterMeasure3,tAfterAlgo3,realValue_WU3,offset3,relativeVal_WU3,realValue_WU_MovAvg3,realValue_WU_Filt3,realValue_WU_AngleAdj,realValueFiltered,realValue,correctedValueFiltered,myAx,myAy,myAz,myGx,myGy,myGz,thetadeg,phideg,myTmp,bSync,vccReadBits,vccReadVolts,vccGPIO,vccVolts,ratioVCCMAX,B_DEBUG_MODE,B_SERIALPORT,BF_SERIALPORT
70912,71212,71212,-170493.5,-184351,13857.5,13860.31,13856.69,71212,71512,71512,-47209.5,-69634,22424.5,22416.75,22416.88,71512,71812,71812,-231405.5,-240949,9543.5,9547.25,9528.794,0,0,916.0474,916,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
71929,72229,72229,-170507.8,-184351,13843.25,13853.38,13857.59,72229,72529,72529,-47211.25,-69634,22422.75,22422.06,22416.85,72529,72829,72829,-231429.5,-240949,9519.5,9542.813,9533.381,0,0,916.1566,916,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
72946,73246,73261,-170473.5,-184351,13877.5,13858.19,13856.55,73261,73561,73561,-47200.0,-69634,22434.0,22422.75,22418.14,73561,73861,73861,-231416.5,-240949,9532.5,9537.063,9535.725,0,0,916.2083,916,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
73978,74278,74278,-170494.8,-184351,13856.25,13858.63,13856.95,74278,74578,74578,-47243.5,-69634,22390.5,22417.94,22419.29,74578,74878,74878,-231423.5,-240949,9525.5,9530.25,9536.058,0,0,916.246,916,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
74997,75297,75297,-170490.8,-184351,13860.25,13859.31,13857.37,75297,75597,75597,-47198.75,-69634,22435.25,22420.63,22418.95,75597,75897,75897,-231429.3,-240949,9519.75,9524.313,9534.614,0,0,916.2187,916,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
76014,76314,76314,-170487.3,-184351,13863.75,13864.44,13857.85,76314,76614,76614,-47217.5,-69634,22416.5,22419.06,22419.37,76614,76914,76914,-231422.3,-240949,9526.75,9526.125,9532.055,0,0,916.1855,916,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
77031,77331,77331,-170470.3,-184351,13880.75,13865.25,13859.49,77331,77631,77631,-47205.0,-69634,22429.0,22417.81,22419.29,77631,77931,77931,-231410.8,-240949,9538.25,9527.563,9530.581,0,0,916.1873,916,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
78049,78349,78349,-170481.8,-184351,13869.25,13868.5,13860.92,78349,78649,78649,-47215.25,-69634,22418.75,22424.88,22418.93,78649,78949,78949,-231420.0,-240949,9529.0,9528.438,9529.831,0,0,916.1936,916,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
79066,79366,79366,-170485.8,-184351,13865.25,13869.75,13862.8,79366,79666,79666,-47227.5,-69634,22406.5,22417.69,22420.4,79666,79966,79966,-231425.5,-240949,9523.5,9529.375,9529.485,0,0,916.2539,916,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
80083,80383,80383,-170494.0,-184351,13857.0,13868.06,13864.53,80383,80683,80683,-47223.25,-69634,22410.75,22416.25,22419.73,80683,80983,80983,-231395.8,-240949,9553.25,9536.0,9529.458,0,0,916.2744,916,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
81102,81402,81402,-170505.8,-184351,13845.25,13859.19,13865.41,81402,81702,81702,-47206.75,-69634,22427.25,22415.81,22418.87,81702,82002,82002,-231428.8,-240949,9520.25,9531.5,9531.084,0,0,916.3072,916,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
82119,82419,82419,-170501.0,-184351,13850.0,13854.38,13863.86,82419,82719,82719,-47216.0,-69634,22418.0,22415.63,22418.11,82719,83019,83019,-231407.0,-240949,9542.0,9534.75,9531.188,0,0,916.2631,916,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
83135,83435,83435,-170488.5,-184351,13862.5,13853.69,13861.51,83435,83735,83735,-47241.75,-69634,22392.25,22412.06,22417.49,83735,84035,84035,-231407.0,-240949,9542.0,9539.375,9532.073,0,0,916.2214,916,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
84156,84456,84456,-170487.3,-184351,13863.75,13855.38,13859.56,84456,84756,84756,-47218.75,-69634,22415.25,22413.19,22416.14,84756,85056,85056,-231403.8,-240949,9545.25,9537.375,9533.888,0,0,916.1919,916,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
85174,85474,85474,-170500.5,-184351,13850.5,13856.69,13858.52,85474,85774,85774,-47225.5,-69634,22408.5,22408.5,22415.41,85774,86074,86074,-231403.3,-240949,9545.75,9543.75,9534.755,0,0,916.1736,916,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
