tBeforeMeasure1,tAfterMeasure1,tAfterAlgo1,realValue_WU1,offset1,relativeVal_WU1,realValue_WU_MovAvg1,realValue_WU_Filt1,tBeforeMeasure2,tAfterMeasure2,tAfterAlgo2,realValue_WU2,offset2,relativeVal_WU2,realValue_WU_MovAvg2,realValue_WU_Filt2,tBeforeMeasure3,tAfterMeasure3,tAfterAlgo3,realValue_WU3,offset3,relativeVal_WU3,realValue_WU_MovAvg3,realValue_WU_Filt3,realValue_WU_AngleAdj,realValueFiltered,realValue,correctedValueFiltered,myAx,myAy,myAz,myGx,myGy,myGz,thetadeg,phideg,myTmp,bSync,vccReadBits,vccReadVolts,vccGPIO,vccVolts,ratioVCCMAX,B_DEBUG_MODE,B_SERIALPORT,BF_SERIALPORT
241346,241646,241646,1735.0,1711,24.0,21.6875,3.507336,241646,241946,241946,-85475.25,-85485,9.75,13.9375,2.74023,241946,242246,242246,-200979.8,-201040,60.25,42.6875,24.74493,0,0,0.61985,0.0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
242363,242663,242663,1764.0,1711,53.0,32.125,8.025519,242663,242963,242963,-85460.25,-85485,24.75,13.8125,5.523006,242963,243263,243263,-200965.5,-201040,74.5,56.0625,29.20407,0,0,0.855052,0.0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
243379,243679,243679,1712.25,1711,1.25,28.0625,14.01479,243679,243979,243979,-85479.75,-85485,5.25,11.3125,7.583134,243979,244279,244279,-200981.8,-201040,58.25,61.125,35.879,0,0,1.149538,0.0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
244395,244695,244695,1748.75,1711,37.75,29.0,17.50596,244695,244995,244995,-85465.75,-85485,19.25,14.75,8.509966,244995,245295,245295,-200993.3,-201040,46.75,59.9375,42.15321,0,0,1.363383,0.0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
245413,245713,245713,1737.75,1711,26.75,29.6875,20.36249,245713,246013,246013,-85471.25,-85485,13.75,15.75,10.06076,246013,246313,246313,-200956.3,-201040,83.75,65.8125,46.57301,0,0,1.539925,0.0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
246430,246730,246730,1732.0,1711,21.0,21.6875,22.67997,246730,247030,247030,-85456.25,-85485,28.75,16.75,11.47466,247030,247330,247330,-163637.0,-201040,37403.0,37403.0,37403.0,0,0,748.7431,749.0,0,0,0,0,0,0,0,0,0,True,0,0,0,0,0,True,True,False
247444,247744,247744,1731.5,1711,20.5,26.5,22.43332,247744,248044,248044,-85484.75,-85485,0.25,15.5,12.7857,248044,248344,248344,-24345.25,-201040,176694.8,176694.8,176694.8,0,0,3534.599,3534.5,0,0,0,0,0,0,0,0,0,True,0,0,0,0,0,True,True,False
248463,248763,248763,1748.25,1711,37.25,26.375,23.44398,248763,249063,249063,-85467.5,-85485,17.5,15.0625,13.46027,249063,249363,249363,-201411.5,-201040,-371.5,-371.5,-371.5,0,0,8.168085,8.0,0,0,0,0,0,0,0,0,0,True,0,0,0,0,0,True,True,False
249479,249779,249779,1732.25,1711,21.25,25.0,24.17241,249779,250079,250079,-85163.5,-85485,321.5,92.0,13.85846,250079,250379,250379,-201402.8,-201040,-362.75,-362.75,-362.75,0,0,8.015617,8.0,0,0,0,0,0,0,0,0,0,True,0,0,0,0,0,True,True,False
250495,250795,250795,1732.75,1711,21.75,25.1875,24.37808,250795,251095,251095,47680.5,-85485,133165.5,133165.5,133165.5,251095,251395,251395,-201357.3,-201040,-317.25,-351.375,-362.75,0,0,2671.052,2671.0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
251512,251812,251812,1754.75,1711,43.75,31.0,24.57924,251812,252112,252112,39880.0,-85485,125365.0,125365.0,125365.0,252112,252412,252412,-201338.3,-201040,-298.25,-335.25,-359.9231,0,0,2514.99,2515.0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
252528,252828,252828,1738.0,1711,27.0,28.4375,26.17495,252828,253128,253128,-85763.75,-85485,-278.75,-278.75,-278.75,253128,253428,253428,-201300.5,-201040,-260.5,-309.6875,-353.7913,0,0,13.17432,13.0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
253546,253846,253846,1748.25,1711,37.25,32.4375,26.73724,253846,254146,254146,-85775.75,-85485,-290.75,-290.75,-290.75,254146,254446,254446,-201309.3,-201040,-269.25,-286.3125,-342.8305,0,0,13.20636,13.0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
254563,254863,254863,1715.25,1711,4.25,28.0625,28.15389,254863,255163,255163,-85754.75,-85485,-269.75,-285.5,-290.75,255163,255463,255463,-201272.0,-201040,-232.0,-265.0,-328.7845,0,0,12.95377,13.0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
255579,255879,255879,1714.75,1711,3.75,18.0625,28.13118,255879,256179,256179,-85764.75,-85485,-279.75,-282.75,-289.4453,256179,256479,256479,-201236.0,-201040,-196.0,-239.4375,-312.9326,0,0,12.61018,12.5,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
