tBeforeMeasure1,tAfterMeasure1,tAfterAlgo1,realValue_WU1,offset1,relativeVal_WU1,realValue_WU_MovAvg1,realValue_WU_Filt1,tBeforeMeasure2,tAfterMeasure2,tAfterAlgo2,realValue_WU2,offset2,relativeVal_WU2,realValue_WU_MovAvg2,realValue_WU_Filt2,tBeforeMeasure3,tAfterMeasure3,tAfterAlgo3,realValue_WU3,offset3,relativeVal_WU3,realValue_WU_MovAvg3,realValue_WU_Filt3,realValue_WU_AngleAdj,realValueFiltered,realValue,correctedValueFiltered,myAx,myAy,myAz,myGx,myGy,myGz,thetadeg,phideg,myTmp,bSync,vccReadBits,vccReadVolts,vccGPIO,vccVolts,ratioVCCMAX,B_DEBUG_MODE,B_SERIALPORT,BF_SERIALPORT
71441,71741,71741,-64447.5,-183521,119073.5,119076.8,119002.9,71741,72041,72050,109599.5,-68179,177778.5,177805.1,177816.3,72050,72350,72350,-154752.8,-222361,67608.25,67520.0,67486.75,0,0,7286.119,7286.0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
72467,72767,72767,-64522.5,-183521,118998.5,119051.9,119021.3,72767,73067,73067,109611.0,-68179,177790.0,177798.4,177813.5,73067,73367,73367,-154775.0,-222361,67586.0,67550.56,67495.02,0,0,7286.596,7286.5,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
73484,73784,73784,-64536.75,-183521,118984.3,119039.0,119028.9,73784,74084,74084,109603.5,-68179,177782.5,177788.8,177809.8,74084,74384,74384,-154759.0,-222361,67602.0,67566.94,67508.82,0,0,7286.949,7287.0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
74502,74802,74802,-64630.25,-183521,118890.8,118986.8,119031.4,74802,75102,75102,109625.0,-68179,177804.0,177788.8,177804.5,75102,75402,75402,-154783.3,-222361,67577.75,67593.5,67523.27,0,0,7287.184,7287.0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
75519,75819,75819,-64471.25,-183521,119049.8,118980.8,119020.3,75819,76119,76119,109608.3,-68179,177787.3,177790.9,177800.6,76119,76419,76419,-154887.8,-222361,67473.25,67559.75,67540.72,0,0,7287.233,7287.0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
76537,76837,76837,-64504.75,-183521,119016.3,118985.3,119010.5,76837,77137,77137,109651.3,-68179,177830.3,177801.0,177798.2,77137,77437,77437,-154877.8,-222361,67483.25,67534.06,67545.45,0,0,7287.084,7287.0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
77556,77856,77856,-64518.75,-183521,119002.3,118989.8,119004.2,77856,78156,78156,109632.8,-68179,177811.8,177808.3,177798.9,78156,78456,78456,-154898.0,-222361,67463.0,67499.31,67542.63,0,0,7286.915,7287.0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
78573,78873,78873,-64522.75,-183521,118998.3,119016.6,119000.6,78873,79173,79173,109627.3,-68179,177806.3,177808.9,177801.3,79173,79473,79473,-154919.5,-222361,67441.5,67465.25,67531.86,0,0,7286.675,7286.5,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
79593,79893,79893,-64561.0,-183521,118960.0,118994.2,119004.6,79893,80193,80194,109602.3,-68179,177781.3,177807.4,177803.1,80194,80494,80494,-154828.0,-222361,67533.0,67480.19,67515.3,0,0,7286.461,7286.5,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
80611,80911,80911,-64522.75,-183521,118998.3,118989.7,119002.0,80911,81211,81211,109616.3,-68179,177795.3,177798.6,177804.2,81211,81511,81511,-154872.3,-222361,67488.75,67481.56,67506.58,0,0,7286.256,7286.0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
81628,81928,81928,94430.25,-183521,277951.3,277951.3,277951.3,81928,82228,82228,109623.0,-68179,177802.0,177796.2,177802.8,82228,82528,82528,-154993.0,-222361,67368.0,67457.81,67500.36,0,0,10465.09,10465.0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
82650,82950,82950,-64528.5,-183521,118992.5,118992.5,118992.5,82950,83250,83250,109590.5,-68179,177769.5,177787.0,177801.2,83250,83550,83550,-154874.5,-222361,67486.5,67469.06,67489.79,0,0,7285.669,7285.5,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
83667,83967,83967,-64605.5,-183521,118915.5,118915.5,118915.5,83967,84267,84267,109579.8,-68179,177758.8,177781.4,177797.7,84267,84567,84568,-154858.3,-222361,67502.75,67461.5,67484.64,0,0,7283.956,7284.0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
84684,84984,84984,-64528.5,-183521,118992.5,118934.8,118915.5,84984,85284,85284,109586.8,-68179,177765.8,177774.0,177793.6,85284,85584,85584,-154899.8,-222361,67461.25,67454.63,67478.89,0,0,7283.76,7284.0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
85701,86001,86001,-64564.25,-183521,118956.8,118945.1,118920.3,86001,86301,86301,109634.3,-68179,177813.3,177776.8,177788.7,86301,86601,86601,-154957.8,-222361,67403.25,67463.44,67472.86,0,0,7283.638,7283.5,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,True,True,False
