tBeforeMeasure1,tAfterMeasure1,tAfterAlgo1,realValue_WU1,offset1,relativeVal_WU1,realValue_WU_MovAvg1,realValue_WU_Filt1,tBeforeMeasure2,tAfterMeasure2,tAfterAlgo2,realValue_WU2,offset2,relativeVal_WU2,realValue_WU_MovAvg2,realValue_WU_Filt2,tBeforeMeasure3,tAfterMeasure3,tAfterAlgo3,realValue_WU3,offset3,relativeVal_WU3,realValue_WU_MovAvg3,realValue_WU_Filt3,realValue_WU_AngleAdj,realValueFiltered,realValue,correctedValueFiltered,myAx,myAy,myAz,myGx,myGy,myGz,thetadeg,phideg,myTmp,bSync,vccReadBits,vccReadVolts,vccGPIO,vccVolts,ratioVCCMAX,B_DEBUG_MODE,B_SERIALPORT,BF_SERIALPORT
117205,117505,117505,-179681.0,-182944,3263.0,3263.0,3263.0,117505,117805,117805,-64068.75,-67909,3840.25,3848.875,3851.75,117805,118105,118105,-214409.5,-216627,2217.5,2209.813,2207.25,0,0,186.44,186.5,0,0,0,0,0,0,0,0,0,False,0.0,0.0,0.0,0.0,0,True,True,False
118222,118522,118522,-179701.5,-182944,3242.5,3257.875,3263.0,118522,118822,118822,-64091.0,-67909,3818.0,3840.438,3851.036,118822,119122,119122,-214392.8,-216627,2234.25,2216.563,2207.887,0,0,186.4385,186.5,0,0,0,0,0,0,0,0,0,False,0.0,0.0,0.0,0.0,0,True,True,False
119239,119539,119539,-179719.8,-182944,3224.25,3248.188,3261.726,119539,119839,119839,-64092.5,-67909,3816.5,3831.625,3848.402,119839,120139,120139,-214402.3,-216627,2224.75,2220.938,2210.043,0,0,186.4034,186.5,0,0,0,0,0,0,0,0,0,False,0.0,0.0,0.0,0.0,0,True,True,False
120258,120558,120558,-179732.3,-182944,3211.75,3235.375,3258.362,120558,120858,120858,-64097.5,-67909,3811.5,3821.563,3844.232,120858,121158,121158,-214407.5,-216627,2219.5,2224.0,2212.75,0,0,186.3069,186.0,0,0,0,0,0,0,0,0,0,False,0.0,0.0,0.0,0.0,0,True,True,False
121275,121575,121575,-179708.8,-182944,3235.25,3228.438,3252.649,121575,121875,121875,-64075.75,-67909,3833.25,3819.813,3838.598,121875,122175,122175,-214423.8,-216627,2203.25,2220.438,2215.546,0,0,186.1359,186.0,0,0,0,0,0,0,0,0,0,False,0.0,0.0,0.0,0.0,0,True,True,False
122294,122594,122594,-179715.8,-182944,3228.25,3224.875,3246.632,122594,122894,122894,-64100.75,-67909,3808.25,3817.375,3833.93,122894,123194,123194,-214423.3,-216627,2203.75,2212.813,2216.762,0,0,185.9465,186.0,0,0,0,0,0,0,0,0,0,False,0.0,0.0,0.0,0.0,0,True,True,False
123313,123613,123613,-179733.8,-182944,3210.25,3221.375,3241.225,123613,123913,123913,-64092.5,-67909,3816.5,3817.375,3829.815,123913,124213,124213,-214411.5,-216627,2215.5,2210.5,2215.781,0,0,185.7364,186.0,0,0,0,0,0,0,0,0,0,False,2.3,0.001853,0.002026,0.006256,0,True,True,False
124333,124633,124633,-179705.0,-182944,3239.0,3228.188,3236.292,124633,124933,124933,-64086.0,-67909,3823.0,3820.25,3826.724,124933,125233,125233,-214410.8,-216627,2216.25,2209.688,2214.468,0,0,185.5497,185.5,0,0,0,0,0,0,0,0,0,False,0.0,0.0,0.0,0.0,0,True,True,False
125352,125652,125652,-179722.5,-182944,3221.5,3224.75,3234.278,125652,125952,125953,-64107.75,-67909,3801.25,3812.25,3825.115,125953,126253,126253,-214402.0,-216627,2225.0,2215.125,2213.28,0,0,185.4535,185.5,0,0,0,0,0,0,0,0,0,False,0.0,0.0,0.0,0.0,0,True,True,False
126370,126670,126670,-179721.5,-182944,3222.5,3223.313,3231.91,126670,126970,126970,-64113.0,-67909,3796.0,3809.188,3821.918,126970,127270,127270,-214397.0,-216627,2230.0,2221.688,2213.739,0,0,185.3513,185.0,0,0,0,0,0,0,0,0,0,False,0.0,0.0,0.0,0.0,0,True,True,False
127387,127687,127687,-179746.0,-182944,3198.0,3220.25,3229.773,127687,127987,127987,-64081.25,-67909,3827.75,3812.0,3818.754,127987,128287,128287,-214383.3,-216627,2243.75,2228.75,2215.714,0,0,185.2849,185.0,0,0,0,0,0,0,0,0,0,False,0.0,0.0,0.0,0.0,0,True,True,False
128407,128707,128707,-179733.3,-182944,3210.75,3213.188,3227.406,128707,129007,129007,-64095.5,-67909,3813.5,3809.625,3817.076,129007,129307,129307,-214408.0,-216627,2219.0,2229.438,2218.954,0,0,185.2687,185.0,0,0,0,0,0,0,0,0,0,False,0.0,0.0,0.0,0.0,0,True,True,False
129423,129723,129723,-179714.3,-182944,3229.75,3215.25,3223.873,129723,130023,130023,-64091.5,-67909,3817.5,3813.688,3815.224,130023,130323,130323,-214408.0,-216627,2219.0,2227.938,2221.56,0,0,185.2131,185.0,0,0,0,0,0,0,0,0,0,False,0.0,0.0,0.0,0.0,0,True,True,False
130440,130740,130740,-179736.5,-182944,3207.5,3211.5,3221.73,130740,131040,131040,-64113.25,-67909,3795.75,3813.625,3814.842,131040,131340,131340,-214430.5,-216627,2196.5,2219.563,2223.145,0,0,185.1943,185.0,0,0,0,0,0,0,0,0,0,False,0.0,0.0,0.0,0.0,0,True,True,False
131458,131758,131758,-179729.8,-182944,3214.25,3215.563,3219.188,131758,132058,132058,-64092.5,-67909,3816.5,3810.813,3814.54,132058,132358,132358,-214412.8,-216627,2214.25,2212.188,2222.254,0,0,185.1196,185.0,0,0,0,0,0,0,0,0,0,False,0.0,0.0,0.0,0.0,0,True,True,False
